lemma,stem,part_of_speech_id
aaba',aaba'w,vta
aaba'amaw,aaba'amaw,vta
aaba'an,aaba',vti
aaba'igaade,aaba'igaade,vii
aaba'igaazo,aaba'igaazo,vai
aaba'ige,aaba'ige,vai
aaba'odizo,aaba'odizo,vai
aaba'oodoo,aaba'oodoo,vai
aaba'oodoon,aaba'ood,vti2
aaba'oozh,aaba'ooN,vta
aabaabiigin,aabaabiigin,vta
aabaabiiginan,aabaabiigin,vti
aabaabiigise,aabaabiigise,vii
aabaabika',aabaabika'w,vta
aabaabika'amaw,aabaabika'amaw,vta
aabaabika'an,aabaabika',vti
aabaabika'igaade,aabaabika'igaade,vii
aabaabika'iganike,aabaabika'iganike,vai
aabaabika'ige,aabaabika'ige,vai
aabaakawaanimad,aabaakawaanimad,vii
aabaakawad,aabaakawad,vii
aabaakawi',aabaakawi',vta
aabaakawi-ayaa,aabaakawiayaa,vai
aabaakawizi,aabaakawizi,vai
aabadad,aabadad,vii
aabadizi,aabadizi,vai
aabaji',aabaji',vta
aabajichigaade,aabajichigaade,vii
aabajichigaazo,aabajichigaazo,vai
aabajichige,aabajichige,vai
aabajitamaw,aabajitamaw,vta
aabajitoon,aabajit,vti2
aabamibagizo,aabamibagizo,vai
aabamigaabawi,aabamigaabawi,vai
aabanaabam,aabanaabam,vta
aabanaabandan,aabanaaband,vti
aabanaabi,aabanaabi,vai
aabashkwemaginan,aabashkwemagin,vti
aabatebizh,aabatebiN,vta
aabawaa,aabawaa,vii
aabawaasige,aabawaasige,vai
aabawaate,aabawaate,vii
aabibidoon,aabibid,vti2
aabibizh,aabibiN,vta
aabida'amaazo,aabida'amaazo,vai
aabidaanagidoon,aabidaanagidoon,vai
aabidaanagidoone,aabidaanagidoone,vai
aabidaanimad,aabidaanimad,vii
aabidaapi,aabidaapi,vai
aabidademo,aabidademo,vai
aabidakamigizi,aabidakamigizi,vai
aabidanokii,aabidanokii,vai
aabidwewebide,aabidwewebide,vii
aabidwewebizo,aabidwewebizo,vai
aabiigin,aabiigin,vta
aabiiginan,aabiigin,vti
aabiiginige,aabiiginige,vai
aabiindaganaam,aabiindaganaam,vta
aabiinji',aabiinji',vta
aabiinji'idiwag,aabiinji'idi,vai
aabiinjitoon,aabiinjit,vti2
aabiinzom,aabiinzom,vta
aabiinzonge,aabiinzonge,vai
aabijibatoo,aabijibatoo,vai
aabijibide,aabijibide,vii
aabijibiisaa,aabijibiisaa,vii
aabijibizo,aabijibizo,vai
aabijiibaa,aabijiibaa,vai
aabijijiwan,aabijijiwan,vii
aabijitaa,aabijitaa,vai
aabise,aabise,vai
aabise,aabise,vii
aabishkaa,aabishkaa,vai
aabishkaa,aabishkaa,vii
aabiskobidoon,aabiskobid,vti2
aabiskobizh,aabiskobiN,vta
aabiskon,aabiskon,vta
aabiskonan,aabiskon,vti
aabiskonigaade,aabiskonigaade,vii
aabiskonigaazo,aabiskonigaazo,vai
aabiskonige,aabiskonige,vai
aabiskose,aabiskose,vai
aabiskose,aabiskose,vii
aabiskwam,aabiskwam,vta
aabiskwandan,aabiskwand,vti
aabiskwegin,aabiskwegin,vta
aabiskweginamaw,aabiskweginamaw,vta
aabiskweginan,aabiskwegin,vti
aabiskweginigaade,aabiskweginigaade,vii
aabiskweginigaazo,aabiskweginigaazo,vai
aabita-biboon,aabitabiboon,vii
aabita-niibin,aabitaniibin,vii
aabita-niibinoke,aabitaniibinoke,vai
aabitaa-dibikad,aabitaadibikad,vii
aabitawaabikizi,aabitawaabikizi,vai
aabitawaasige,aabitawaasige,vai
aabitawaginzo,aabitawaginzo,vai
aabitawam,aabitawam,vta
aabitawandan,aabitawand,vti
aabitawangizo,aabitawangizo,vai
aabitawise,aabitawise,vii
aabitoobadoon,aabitoobad,vti2
aabitoobazh,aabitoobaN,vta
aabitoobii,aabitoobii,vai
aabitoobii,aabitoobii,vii
aabitoojiin,aabitoojiin,vta
aabitoojiinidiwag,aabitoojiinidi,vai
aabitoojiipizh,aabitoojiipiN,vta
aabitoose,aabitoose,vii
aabitooshkina',aabitooshkina',vta
aabitooshkinadoon,aabitooshkinad,vti2
aabitooshkinatoon,aabitooshkinat,vti2
aabitooshkine,aabitooshkine,vai
aabitooshkine,aabitooshkine,vii
aabiziingwashi,aabiziingwashi,vai
aabiziishin,aabiziishin,vai
aabooda'an,aabooda',vti
aabooda'inagizhii,aabooda'inagizhii,vai
aabooda'wi,aabooda'w,vta
aaboodagoojin,aaboodagoojin,vai
aaboodazhigane,aaboodazhigane,vai
aaboodin,aaboodin,vta
aaboodinan,aaboodin,vti
aaboojibidoon,aaboojibid,vti2
aaboojibizh,aaboojibiN,vta
aaboojigwaadan,aaboojigwaad,vti
aaboojigwaade,aaboojigwaade,vii
aaboojigwaazh,aaboojigwaaN,vta
aaboojigwaazo,aaboojigwaazo,vai
aaboojiigin,aaboojiigin,vta
aaboojiiginan,aaboojiigin,vti
aaboojiiginigaade,aaboojiiginigaade,vii
aaboojiiginigaazo,aaboojiiginigaazo,vai
aaboojiiginige,aaboojiiginige,vai
aaboojishim,aaboojishim,vta
aaboojisidoon,aaboojisid,vti2
aaboojiweba'an,aaboojiweba',vti
aaboozikaa,aaboozikaa,vai
aaboozikaa,aaboozikaa,vii
aaboozikan,aaboozik,vti
aaboozikaw,aaboozikaw,vta
aada',aada'w,vta
aada'owe,aada'owe,vai
aadaabikishin,aadaabikishin,vai
aadaagone,aadaagone,vai
