,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,NONE,NONE,ProxSg,ninaan,n<<naan>>,JDN-2010-Nouns
1,NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,NONE,NONE,ProxSg,ninaaninaan,n<<naan>>inaan,JDN-2010-Nouns
2,NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,NONE,NONE,ProxSg,ginaaninaan,g<<naan>>inaan,JDN-2010-Nouns
3,NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,NONE,NONE,ProxSg,ginaan,g<<naan>>,JDN-2010-Nouns
4,NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,NONE,NONE,ProxSg,ginaaniwaa,g<<naan>>iwaa,JDN-2010-Nouns
5,NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,ninaanag,n<<naan>>ag,JDN-2010-Nouns
6,NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,NONE,NONE,ProxPl,ninaaninaanig,n<<naan>>inaanig,JDN-2010-Nouns
7,NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,NONE,NONE,ProxPl,ginaaninaanig,g<<naan>>inaanig,JDN-2010-Nouns
8,NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,NONE,NONE,ProxPl,ginaanag,g<<naan>>ag,JDN-2010-Nouns
9,NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,NONE,NONE,ProxPl,ginaaniwaag,g<<naan>>iwaag,JDN-2010-Nouns
10,NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,ninaanan,n<<naan>>an,JDN-2010-Nouns
11,NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,NONE,NONE,ObvSg,ninaaninaanin,n<<naan>>inaanin,JDN-2010-Nouns
