Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,niniigi'igoonsing,n<<niigi'igw2>>oonsing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,niniigi'igoonzhishing,n<<niigi'igw2>>oonzhishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,niniigi'igoonsiming,n<<niigi'igw2>>oonsiming,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,niniigi'igoonsimishing,n<<niigi'igw2>>oonsimishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,niniigi'igong,n<<niigi'igw2>>ong,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,niniigi'igoshing,n<<niigi'igw2>>oshing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,niniigi'igoming,n<<niigi'igw2>>oming,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,Poss,Pej,NONE,Loc,niniigi'igomishing,n<<niigi'igw2>>omishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,niniigi'igoonsa',n<<niigi'igw2>>oonsa',JDN-2010-Nouns,niniigi'igoonsan,n<<niigi'igw2>>oonsan,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,Pej,NONE,ObvPl,niniigi'igoonzhisha',n<<niigi'igw2>>oonzhisha',JDN-2010-Nouns,niniigi'igoonzhishan,n<<niigi'igw2>>oonzhishan,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,niniigi'igoonsima',n<<niigi'igw2>>oonsima',JDN-2010-Nouns,niniigi'igoonsiman,n<<niigi'igw2>>oonsiman,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,Pej,NONE,ObvPl,niniigi'igoonsimisha',n<<niigi'igw2>>oonsimisha',JDN-2010-Nouns,niniigi'igoonsimishan,n<<niigi'igw2>>oonsimishan,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,niniigi'igoo',n<<niigi'igw2>>oo',JDN-2010-Nouns,niniigi'igoon,n<<niigi'igw2>>oon,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,niniigi'igosha',n<<niigi'igw2>>osha',JDN-2010-Nouns,niniigi'igoshan,n<<niigi'igw2>>oshan,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,niniigi'igoma',n<<niigi'igw2>>oma',JDN-2010-Nouns,niniigi'igoman,n<<niigi'igw2>>oman,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,niniigi'igomisha',n<<niigi'igw2>>omisha',JDN-2010-Nouns,niniigi'igomishan,n<<niigi'igw2>>omishan,JDN-2010-Nouns,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,NONE,NONE,ObvSg,niniigi'igoonsan,n<<niigi'igw2>>oonsan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,Pej,NONE,ObvSg,niniigi'igoonzhishan,n<<niigi'igw2>>oonzhishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,NONE,NONE,ObvSg,niniigi'igoonsiman,n<<niigi'igw2>>oonsiman,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,Pej,NONE,ObvSg,niniigi'igoonsimishan,n<<niigi'igw2>>oonsimishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,niniigi'igoon,n<<niigi'igw2>>oon,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,Pej,NONE,ObvSg,niniigi'igoshan,n<<niigi'igw2>>oshan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,Poss,NONE,NONE,ObvSg,niniigi'igoman,n<<niigi'igw2>>oman,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,Poss,Pej,NONE,ObvSg,niniigi'igomishan,n<<niigi'igw2>>omishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,NONE,NONE,ProxPl,niniigi'igoonsag,n<<niigi'igw2>>oonsag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,NONE,Pej,NONE,ProxPl,niniigi'igoonzhishag,n<<niigi'igw2>>oonzhishag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,NONE,NONE,ProxPl,niniigi'igoonsimag,n<<niigi'igw2>>oonsimag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,Dim,Poss,Pej,NONE,ProxPl,niniigi'igoonsimishag,n<<niigi'igw2>>oonsimishag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cw,niigi'igw,niigi'igw2,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,niniigi'igoog,n<<niigi'igw2>>oog,JDN-2010-Nouns,,,,,,
