Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nishkanzhiing,n<<shkanzhy2>>iing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nishkanzhiiming,n<<shkanzhy2>>iiming,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nishkanzhiinsing,n<<shkanzhy2>>iinsing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nishkanzhiinsiming,n<<shkanzhy2>>iinsiming,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nishkanzhiishing,n<<shkanzhy2>>iishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nishkanzhiimishing,n<<shkanzhy2>>iimishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nishkanzhiinzhishing,n<<shkanzhy2>>iinzhishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nishkanzhiinsimishing,n<<shkanzhy2>>iinsimishing,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nishkanzhii',n<<shkanzhy2>>ii',JDN-2010-Nouns,nishkanzhiin,n<<shkanzhy2>>iin,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nishkanzhiima',n<<shkanzhy2>>iima',JDN-2010-Nouns,nishkanzhiiman,n<<shkanzhy2>>iiman,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,nishkanzhiinsa',n<<shkanzhy2>>iinsa',JDN-2010-Nouns,nishkanzhiinsan,n<<shkanzhy2>>iinsan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,nishkanzhiinsima',n<<shkanzhy2>>iinsima',JDN-2010-Nouns,nishkanzhiinsiman,n<<shkanzhy2>>iinsiman,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,nishkanzhiisha',n<<shkanzhy2>>iisha',JDN-2010-Nouns,nishkanzhiishan,n<<shkanzhy2>>iishan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,nishkanzhiimisha',n<<shkanzhy2>>iimisha',JDN-2010-Nouns,nishkanzhiimishan,n<<shkanzhy2>>iimishan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,Pej,NONE,ObvPl,nishkanzhiinzhisha',n<<shkanzhy2>>iinzhisha',JDN-2010-Nouns,nishkanzhiinzhishan,n<<shkanzhy2>>iinzhishan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,Pej,NONE,ObvPl,nishkanzhiinsimisha',n<<shkanzhy2>>iinsimisha',JDN-2010-Nouns,nishkanzhiinsimishan,n<<shkanzhy2>>iinsimishan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,nishkanzhiin,n<<shkanzhy2>>iin,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,NONE,ObvSg,nishkanzhiiman,n<<shkanzhy2>>iiman,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,NONE,ObvSg,nishkanzhiinsan,n<<shkanzhy2>>iinsan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,NONE,ObvSg,nishkanzhiinsiman,n<<shkanzhy2>>iinsiman,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,Pej,NONE,ObvSg,nishkanzhiishan,n<<shkanzhy2>>iishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,Pej,NONE,ObvSg,nishkanzhiimishan,n<<shkanzhy2>>iimishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,Pej,NONE,ObvSg,nishkanzhiinzhishan,n<<shkanzhy2>>iinzhishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,Pej,NONE,ObvSg,nishkanzhiinsimishan,n<<shkanzhy2>>iinsimishan,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,nishkanzhiig,n<<shkanzhy2>>iig,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,NONE,ProxPl,nishkanzhiimag,n<<shkanzhy2>>iimag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,NONE,ProxPl,nishkanzhiinsag,n<<shkanzhy2>>iinsag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,NONE,ProxPl,nishkanzhiinsimag,n<<shkanzhy2>>iinsimag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,Pej,NONE,ProxPl,nishkanzhiishag,n<<shkanzhy2>>iishag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,Pej,NONE,ProxPl,nishkanzhiimishag,n<<shkanzhy2>>iimishag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,Pej,NONE,ProxPl,nishkanzhiinzhishag,n<<shkanzhy2>>iinzhishag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,Pej,NONE,ProxPl,nishkanzhiinsimishag,n<<shkanzhy2>>iinsimishag,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,NONE,ProxSg,nishkanzh,n<<shkanzhy2>>,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,NONE,ProxSg,nishkanzhiim,n<<shkanzhy2>>iim,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,NONE,ProxSg,nishkanzhiins,n<<shkanzhy2>>iins,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,NONE,ProxSg,nishkanzhiinsim,n<<shkanzhy2>>iinsim,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,Pej,NONE,ProxSg,nishkanzhiish,n<<shkanzhy2>>iish,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,Pej,NONE,ProxSg,nishkanzhiimish,n<<shkanzhy2>>iimish,JDN-2010-Nouns,,,,,,
