Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,NONE,NONE,NONE,ProxSg,nidawemaa,ni<<dawemaaw2>>,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,NONE,NONE,NONE,ProxSg,nidawemaanaan,ni<<dawemaaw2>>naan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,NONE,NONE,NONE,ProxSg,gidawemaanaan,gi<<dawemaaw2>>naan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,NONE,NONE,NONE,ProxSg,gidawemaa,gi<<dawemaaw2>>,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,NONE,NONE,NONE,ProxSg,gidawemaawaa,gi<<dawemaaw2>>waa,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,nidawemaag,ni<<dawemaaw2>>g,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,NONE,NONE,NONE,ProxPl,nidawemaanaanig,ni<<dawemaaw2>>naanig,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,NONE,NONE,NONE,ProxPl,gidawemaanaanig,gi<<dawemaaw2>>naanig,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,NONE,NONE,NONE,ProxPl,gidawemaag,gi<<dawemaaw2>>g,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,NONE,NONE,NONE,ProxPl,gidawemaawaag,gi<<dawemaaw2>>waag,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,nidawemaan,ni<<dawemaaw2>>n,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,NONE,NONE,NONE,ObvSg,nidawemaanaanin,ni<<dawemaaw2>>naanin,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,NONE,NONE,NONE,ObvSg,gidawemaanaanin,gi<<dawemaaw2>>naanin,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,NONE,NONE,NONE,ObvSg,gidawemaan,gi<<dawemaaw2>>n,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,NONE,NONE,NONE,ObvSg,gidawemaawaan,gi<<dawemaaw2>>waan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgProxPoss,NONE,NONE,NONE,NONE,ObvSg,odawemaan,o<<dawemaaw2>>n,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlProxPoss,NONE,NONE,NONE,NONE,ObvSg,odawemaawaan,o<<dawemaaw2>>waan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgObvPoss,NONE,NONE,NONE,NONE,ObvSg,odawemaani,o<<dawemaaw2>>niw1,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlObvPoss,NONE,NONE,NONE,NONE,ObvSg,odawemaani,o<<dawemaaw2>>niw1,GUESS
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nidawemaa',ni<<dawemaaw2>>',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,nidawemaanaani',ni<<dawemaaw2>>naani',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gidawemaanaani',gi<<dawemaaw2>>naani',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gidawemaa',gi<<dawemaaw2>>',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gidawemaawaa',gi<<dawemaaw2>>waa',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,odawemaa',o<<dawemaaw2>>',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,odawemaawaa',o<<dawemaaw2>>waa',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,odawemaani,o<<dawemaaw2>>niw1,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,odawemaani,o<<dawemaaw2>>niw1,GUESS
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,NONE,NONE,NONE,Loc,nidawemaang,ni<<dawemaaw2>>ng,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,NONE,NONE,NONE,Loc,nidawemaanaang,ni<<dawemaaw2>>naang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,NONE,NONE,NONE,Loc,gidawemaanaang,gi<<dawemaaw2>>naang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidawemaang,gi<<dawemaaw2>>ng,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidawemaawaang,gi<<dawemaaw2>>waang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odawemaang,o<<dawemaaw2>>ng,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odawemaawaang,o<<dawemaaw2>>waang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odawemaaning,o<<dawemaaw2>>ning,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odawemaaning,o<<dawemaaw2>>ning,GUESS
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,Poss,NONE,NONE,ProxSg,nidawemaam,ni<<dawemaaw2>>m,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,Poss,NONE,NONE,ProxSg,nidawemaaminaan,ni<<dawemaaw2>>minaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,Poss,NONE,NONE,ProxSg,gidawemaaminaan,gi<<dawemaaw2>>minaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,Poss,NONE,NONE,ProxSg,gidawemaaminaan,gi<<dawemaaw2>>minaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,Poss,NONE,NONE,ProxSg,gidawemaamiwaa,gi<<dawemaaw2>>miwaa,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,Poss,NONE,NONE,ProxPl,nidawemaamag,ni<<dawemaaw2>>mag,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,Poss,NONE,NONE,ProxPl,nidawemaaminaanig,ni<<dawemaaw2>>minaanig,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,Poss,NONE,NONE,ProxPl,gidawemaaminaanig,gi<<dawemaaw2>>minaanig,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,Poss,NONE,NONE,ProxPl,gidawemaamag,gi<<dawemaaw2>>mag,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,Poss,NONE,NONE,ProxPl,gidawemaamiwaag,gi<<dawemaaw2>>miwaag,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,Poss,NONE,NONE,ObvSg,nidawemaaman,ni<<dawemaaw2>>man,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,Poss,NONE,NONE,ObvSg,nidawemaaminaanin,ni<<dawemaaw2>>minaanin,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,Poss,NONE,NONE,ObvSg,gidawemaaminaanin,gi<<dawemaaw2>>minaanin,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,Poss,NONE,NONE,ObvSg,gidawemaaman,gi<<dawemaaw2>>man,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,Poss,NONE,NONE,ObvSg,gidawemaamiwaan,gi<<dawemaaw2>>miwaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgProxPoss,NONE,Poss,NONE,NONE,ObvSg,odawemaaman,o<<dawemaaw2>>man,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlProxPoss,NONE,Poss,NONE,NONE,ObvSg,odawemaamiwaan,o<<dawemaaw2>>miwaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgObvPoss,NONE,Poss,NONE,NONE,ObvSg,odawemaamini,o<<dawemaaw2>>miniw1,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlObvPoss,NONE,Poss,NONE,NONE,ObvSg,odawemaamini,o<<dawemaaw2>>miniw1,GUESS
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nidawemaama',ni<<dawemaaw2>>ma',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,Poss,NONE,NONE,ObvPl,nidawemaaminaani',ni<<dawemaaw2>>minaani',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,Poss,NONE,NONE,ObvPl,gidawemaaminaani',gi<<dawemaaw2>>minaani',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,Poss,NONE,NONE,ObvPl,gidawemaama',gi<<dawemaaw2>>ma',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gidawemaamiwaa',gi<<dawemaaw2>>miwaa',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgProxPoss,NONE,Poss,NONE,NONE,ObvPl,odawemaama',o<<dawemaaw2>>ma',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlProxPoss,NONE,Poss,NONE,NONE,ObvPl,odawemaamiwaa',o<<dawemaaw2>>miwaa',JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgObvPoss,NONE,Poss,NONE,NONE,ObvPl,odawemaamini,o<<dawemaaw2>>miniw1,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlObvPoss,NONE,Poss,NONE,NONE,ObvPl,odawemaamini,o<<dawemaaw2>>miniw1,GUESS
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,NONE,Poss,NONE,NONE,Loc,nidawemaaming,ni<<dawemaaw2>>ming,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,NONE,Poss,NONE,NONE,Loc,nidawemaaminaang,ni<<dawemaaw2>>minaang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,NONE,Poss,NONE,NONE,Loc,gidawemaaminaang,gi<<dawemaaw2>>minaang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidawemaaming,gi<<dawemaaw2>>ming,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidawemaamiwaang,gi<<dawemaaw2>>miwaang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odawemaaming,o<<dawemaaw2>>ming,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odawemaamiwaang,o<<dawemaaw2>>miwaang,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odawemaamining,o<<dawemaaw2>>mining,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odawemaamining,o<<dawemaaw2>>mining,GUESS
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,1SgPoss,Dim,NONE,NONE,NONE,ProxSg,nidawemaans,ni<<dawemaaw2>>ns,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,ExclPoss,Dim,NONE,NONE,NONE,ProxSg,nidawemaansinaan,ni<<dawemaaw2>>nsinaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,InclPoss,Dim,NONE,NONE,NONE,ProxSg,gidawemaansinaan,gi<<dawemaaw2>>nsinaan,JDN-2010-Nouns
NAD,NAD_VV,dawemaa,<<dawemaaw2>>,2SgPoss,Dim,NONE,NONE,NONE,ProxSg,gidawemaans,gi<<dawemaaw2>>ns,JDN-2010-Nouns
