Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_VV,dawemaaw,dawemaaw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nidawemaang,n<<dawemaaw2>>ng,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nidawemaanaang,n<<dawemaaw2>>naang,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidawemaanaang,g<<dawemaaw2>>naang,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidawemaang,g<<dawemaaw2>>ng,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidawemaawaang,g<<dawemaaw2>>waang,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odawemaang,w<<dawemaaw2>>ng,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odawemaawaang,w<<dawemaaw2>>waang,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odawemaaning,w<<dawemaaw2>>ning,JDN-2010-Nouns,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odawemaaning,w<<dawemaaw2>>ning,GUESS,,,,,,
NAD,NAD_VV,dawemaaw,dawemaaw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nidawemaaming,n<<dawemaaw2>>ming,JDN-2010-Nouns,,,,,,
