,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
0,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,NONE,NONE,NONE,ProxSg,nindaangoshenh,n<<daangosheny1>>,JDN-2010-Nouns,,,
1,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,NONE,NONE,NONE,ProxSg,nindaangoshenyinaan,n<<daangosheny1>>inaan,JDN-2010-Nouns,,,
2,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,NONE,NONE,NONE,ProxSg,gidaangoshenyinaan,g<<daangosheny1>>inaan,JDN-2010-Nouns,,,
3,NAD,NAD_VVny,daangosheny,daangosheny1,2SgPoss,NONE,NONE,NONE,NONE,ProxSg,gidaangoshenh,g<<daangosheny1>>,JDN-2010-Nouns,,,
4,NAD,NAD_VVny,daangosheny,daangosheny1,2PlPoss,NONE,NONE,NONE,NONE,ProxSg,gidaangoshenyiwaa,g<<daangosheny1>>iwaa,JDN-2010-Nouns,,,
5,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,nindaangoshenyag,n<<daangosheny1>>ag,JDN-2010-Nouns,,,
6,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,NONE,NONE,NONE,ProxPl,nindaangoshenyinaanig,n<<daangosheny1>>inaanig,JDN-2010-Nouns,,,
7,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,NONE,NONE,NONE,ProxPl,gidaangoshenyinaanig,g<<daangosheny1>>inaanig,JDN-2010-Nouns,,,
8,NAD,NAD_VVny,daangosheny,daangosheny1,2SgPoss,NONE,NONE,NONE,NONE,ProxPl,gidaangoshenyag,g<<daangosheny1>>ag,JDN-2010-Nouns,,,
9,NAD,NAD_VVny,daangosheny,daangosheny1,2PlPoss,NONE,NONE,NONE,NONE,ProxPl,gidaangoshenyiwaag,g<<daangosheny1>>iwaag,JDN-2010-Nouns,,,
10,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,nindaangoshenyan,n<<daangosheny1>>an,JDN-2010-Nouns,,,
11,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,NONE,NONE,NONE,ObvSg,nindaangoshenyinaanin,n<<daangosheny1>>inaanin,JDN-2010-Nouns,,,
12,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,NONE,NONE,NONE,ObvSg,gidaangoshenyinaanin,g<<daangosheny1>>inaanin,JDN-2010-Nouns,,,
13,NAD,NAD_VVny,daangosheny,daangosheny1,2SgPoss,NONE,NONE,NONE,NONE,ObvSg,gidaangoshenyan,g<<daangosheny1>>an,JDN-2010-Nouns,,,
14,NAD,NAD_VVny,daangosheny,daangosheny1,2PlPoss,NONE,NONE,NONE,NONE,ObvSg,gidaangoshenyiwaan,g<<daangosheny1>>iwaan,JDN-2010-Nouns,,,
15,NAD,NAD_VVny,daangosheny,daangosheny1,3SgProxPoss,NONE,NONE,NONE,NONE,ObvSg,odaangoshenyan,w<<daangosheny1>>an,JDN-2010-Nouns,,,
16,NAD,NAD_VVny,daangosheny,daangosheny1,3PlProxPoss,NONE,NONE,NONE,NONE,ObvSg,odaangoshenyiwaan,w<<daangosheny1>>iwaan,JDN-2010-Nouns,,,
17,NAD,NAD_VVny,daangosheny,daangosheny1,3SgObvPoss,NONE,NONE,NONE,NONE,ObvSg,odaangoshenyini,w<<daangosheny1>>iniw1,JDN-2010-Nouns,,,
18,NAD,NAD_VVny,daangosheny,daangosheny1,3PlObvPoss,NONE,NONE,NONE,NONE,ObvSg,odaangoshenyini,w<<daangosheny1>>iniw1,GUESS,,,
19,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nindaangoshenya',n<<daangosheny1>>a',JDN-2010-Nouns,,,
20,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,nindaangoshenyinaani',n<<daangosheny1>>inaani',JDN-2010-Nouns,,,
21,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gidaangoshenyinaani',g<<daangosheny1>>inaani',JDN-2010-Nouns,,,
22,NAD,NAD_VVny,daangosheny,daangosheny1,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gidaangoshenya',g<<daangosheny1>>a',JDN-2010-Nouns,,,
23,NAD,NAD_VVny,daangosheny,daangosheny1,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gidaangoshenyiwaa',g<<daangosheny1>>iwaa',JDN-2010-Nouns,,,
24,NAD,NAD_VVny,daangosheny,daangosheny1,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,odaangoshenya',w<<daangosheny1>>a',JDN-2010-Nouns,,,
25,NAD,NAD_VVny,daangosheny,daangosheny1,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,odaangoshenyiwaa',w<<daangosheny1>>iwaa',JDN-2010-Nouns,,,
26,NAD,NAD_VVny,daangosheny,daangosheny1,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,odaangoshenyini,w<<daangosheny1>>iniw1,JDN-2010-Nouns,,,
27,NAD,NAD_VVny,daangosheny,daangosheny1,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,odaangoshenyini,w<<daangosheny1>>iniw1,GUESS,,,
28,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindaangoshenying,n<<daangosheny1>>ing,JDN-2010-Nouns,,,
29,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindaangoshenyinaang,n<<daangosheny1>>inaang,JDN-2010-Nouns,,,
30,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,NONE,NONE,NONE,Loc,gidaangoshenyinaang,g<<daangosheny1>>inaang,JDN-2010-Nouns,,,
31,NAD,NAD_VVny,daangosheny,daangosheny1,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidaangoshenying,g<<daangosheny1>>ing,JDN-2010-Nouns,,,
32,NAD,NAD_VVny,daangosheny,daangosheny1,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidaangoshenyiwaang,g<<daangosheny1>>iwaang,JDN-2010-Nouns,,,
33,NAD,NAD_VVny,daangosheny,daangosheny1,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odaangoshenying,w<<daangosheny1>>ing,JDN-2010-Nouns,,,
34,NAD,NAD_VVny,daangosheny,daangosheny1,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odaangoshenyiwaang,w<<daangosheny1>>iwaang,JDN-2010-Nouns,,,
35,NAD,NAD_VVny,daangosheny,daangosheny1,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odaangoshenyining,w<<daangosheny1>>ining,JDN-2010-Nouns,,,
36,NAD,NAD_VVny,daangosheny,daangosheny1,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odaangoshenyining,w<<daangosheny1>>ining,GUESS,,,
37,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,Poss,NONE,NONE,ProxSg,nindaangoshenyim,n<<daangosheny1>>im,JDN-2010-Nouns,,,
38,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,Poss,NONE,NONE,ProxSg,nindaangoshenyiminaan,n<<daangosheny1>>iminaan,JDN-2010-Nouns,,,
39,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,Poss,NONE,NONE,ProxSg,gidaangoshenyiminaan,g<<daangosheny1>>iminaan,JDN-2010-Nouns,,,
40,NAD,NAD_VVny,daangosheny,daangosheny1,2SgPoss,NONE,Poss,NONE,NONE,ProxSg,gidaangoshenyiminaan,g<<daangosheny1>>iminaan,JDN-2010-Nouns,,,
41,NAD,NAD_VVny,daangosheny,daangosheny1,2PlPoss,NONE,Poss,NONE,NONE,ProxSg,gidaangoshenyimiwaa,g<<daangosheny1>>imiwaa,JDN-2010-Nouns,,,
42,NAD,NAD_VVny,daangosheny,daangosheny1,1SgPoss,NONE,Poss,NONE,NONE,ProxPl,nindaangoshenyimag,n<<daangosheny1>>imag,JDN-2010-Nouns,,,
43,NAD,NAD_VVny,daangosheny,daangosheny1,ExclPoss,NONE,Poss,NONE,NONE,ProxPl,nindaangoshenyiminaanig,n<<daangosheny1>>iminaanig,JDN-2010-Nouns,,,
44,NAD,NAD_VVny,daangosheny,daangosheny1,InclPoss,NONE,Poss,NONE,NONE,ProxPl,gidaangoshenyiminaanig,g<<daangosheny1>>iminaanig,JDN-2010-Nouns,,,
