,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
28,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,NONE,NONE,NONE,Loc,nimaamaaying,n<<maamaay1>>ing,JDN-2010-Nouns,,,
29,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,NONE,NONE,NONE,Loc,nimaamaayinaang,n<<maamaay1>>inaang,JDN-2010-Nouns,,,
30,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,NONE,NONE,NONE,Loc,gimaamaayinaang,g<<maamaay1>>inaang,JDN-2010-Nouns,,,
31,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,NONE,NONE,NONE,Loc,gimaamaaying,g<<maamaay1>>ing,JDN-2010-Nouns,,,
32,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,NONE,NONE,NONE,Loc,gimaamaayiwaang,g<<maamaay1>>iwaang,JDN-2010-Nouns,,,
33,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,omaamaaying,w<<maamaay1>>ing,JDN-2010-Nouns,,,
34,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,omaamaayiwaang,w<<maamaay1>>iwaang,JDN-2010-Nouns,,,
35,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,omaamaayining,w<<maamaay1>>ining,JDN-2010-Nouns,,,
36,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,omaamaayining,w<<maamaay1>>ining,GUESS,,,
65,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,Poss,NONE,NONE,Loc,nimaamaayiming,n<<maamaay1>>iming,JDN-2010-Nouns,,,
66,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,Poss,NONE,NONE,Loc,nimaamaayiminaang,n<<maamaay1>>iminaang,JDN-2010-Nouns,,,
67,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,Poss,NONE,NONE,Loc,gimaamaayiminaang,g<<maamaay1>>iminaang,JDN-2010-Nouns,,,
68,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,Poss,NONE,NONE,Loc,gimaamaayiming,g<<maamaay1>>iming,JDN-2010-Nouns,,,
69,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,Poss,NONE,NONE,Loc,gimaamaayimiwaang,g<<maamaay1>>imiwaang,JDN-2010-Nouns,,,
70,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,omaamaayiming,w<<maamaay1>>iming,JDN-2010-Nouns,,,
71,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,omaamaayimiwaang,w<<maamaay1>>imiwaang,JDN-2010-Nouns,,,
72,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,omaamaayimining,w<<maamaay1>>imining,JDN-2010-Nouns,,,
73,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,omaamaayimining,w<<maamaay1>>imining,GUESS,,,
102,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,NONE,NONE,NONE,Loc,nimaamaayensing,n<<maamaay1>>ensing,JDN-2010-Nouns,,,
103,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,NONE,NONE,NONE,Loc,nimaamaayensinaang,n<<maamaay1>>ensinaang,JDN-2010-Nouns,,,
104,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,NONE,NONE,NONE,Loc,gimaamaayensinaang,g<<maamaay1>>ensinaang,JDN-2010-Nouns,,,
105,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,NONE,NONE,NONE,Loc,gimaamaayensing,g<<maamaay1>>ensing,JDN-2010-Nouns,,,
106,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimaamaayensiwaang,g<<maamaay1>>ensiwaang,JDN-2010-Nouns,,,
107,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,omaamaayensing,w<<maamaay1>>ensing,JDN-2010-Nouns,,,
108,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,omaamaayensiwaang,w<<maamaay1>>ensiwaang,JDN-2010-Nouns,,,
109,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,omaamaayensining,w<<maamaay1>>ensining,JDN-2010-Nouns,,,
110,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,omaamaayensining,w<<maamaay1>>ensining,GUESS,,,
139,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimaamaayensiming,n<<maamaay1>>ensiming,JDN-2010-Nouns,,,
140,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,Poss,NONE,NONE,Loc,nimaamaayensiminaang,n<<maamaay1>>ensiminaang,JDN-2010-Nouns,,,
141,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,Poss,NONE,NONE,Loc,gimaamaayensiminaang,g<<maamaay1>>ensiminaang,JDN-2010-Nouns,,,
142,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimaamaayensiming,g<<maamaay1>>ensiming,JDN-2010-Nouns,,,
143,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimaamaayensimiwaang,g<<maamaay1>>ensimiwaang,JDN-2010-Nouns,,,
144,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensiming,w<<maamaay1>>ensiming,JDN-2010-Nouns,,,
145,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensimiwaang,w<<maamaay1>>ensimiwaang,JDN-2010-Nouns,,,
146,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensimining,w<<maamaay1>>ensimining,JDN-2010-Nouns,,,
147,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omaamaayensimining,w<<maamaay1>>ensimining,GUESS,,,
176,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimaamaayishing,n<<maamaay1>>ishing,JDN-2010-Nouns,,,
177,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,NONE,Pej,NONE,Loc,nimaamaayishinaang,n<<maamaay1>>ishinaang,JDN-2010-Nouns,,,
178,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,NONE,Pej,NONE,Loc,gimaamaayishinaang,g<<maamaay1>>ishinaang,JDN-2010-Nouns,,,
179,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,NONE,Pej,NONE,Loc,gimaamaayishing,g<<maamaay1>>ishing,JDN-2010-Nouns,,,
180,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimaamaayishiwaang,g<<maamaay1>>ishiwaang,JDN-2010-Nouns,,,
181,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishing,w<<maamaay1>>ishing,JDN-2010-Nouns,,,
182,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishiwaang,w<<maamaay1>>ishiwaang,JDN-2010-Nouns,,,
183,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishining,w<<maamaay1>>ishining,JDN-2010-Nouns,,,
184,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,omaamaayishining,w<<maamaay1>>ishining,GUESS,,,
213,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,Poss,Pej,NONE,Loc,nimaamaayimishing,n<<maamaay1>>imishing,JDN-2010-Nouns,,,
214,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,Poss,Pej,NONE,Loc,nimaamaayimishinaang,n<<maamaay1>>imishinaang,JDN-2010-Nouns,,,
215,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,Poss,Pej,NONE,Loc,gimaamaayimishinaang,g<<maamaay1>>imishinaang,JDN-2010-Nouns,,,
216,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,Poss,Pej,NONE,Loc,gimaamaayimishing,g<<maamaay1>>imishing,JDN-2010-Nouns,,,
217,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,Poss,Pej,NONE,Loc,gimaamaayimishiwaang,g<<maamaay1>>imishiwaang,JDN-2010-Nouns,,,
218,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishing,w<<maamaay1>>imishing,JDN-2010-Nouns,,,
219,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishiwaang,w<<maamaay1>>imishiwaang,JDN-2010-Nouns,,,
220,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishining,w<<maamaay1>>imishining,JDN-2010-Nouns,,,
221,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,omaamaayimishining,w<<maamaay1>>imishining,GUESS,,,
362,NAD,NAD_C,maamaa,maamaay1,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimaamaayenzhishing,n<<maamaay1>>enzhishing,JDN-2010-Nouns,,,
363,NAD,NAD_C,maamaa,maamaay1,ExclPoss,Dim,NONE,Pej,NONE,Loc,nimaamaayenzhishinaang,n<<maamaay1>>enzhishinaang,JDN-2010-Nouns,,,
364,NAD,NAD_C,maamaa,maamaay1,InclPoss,Dim,NONE,Pej,NONE,Loc,gimaamaayenzhishinaang,g<<maamaay1>>enzhishinaang,JDN-2010-Nouns,,,
365,NAD,NAD_C,maamaa,maamaay1,2SgPoss,Dim,NONE,Pej,NONE,Loc,gimaamaayenzhishing,g<<maamaay1>>enzhishing,JDN-2010-Nouns,,,
366,NAD,NAD_C,maamaa,maamaay1,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimaamaayenzhishiwaang,g<<maamaay1>>enzhishiwaang,JDN-2010-Nouns,,,
367,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishing,w<<maamaay1>>enzhishing,JDN-2010-Nouns,,,
368,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishiwaang,w<<maamaay1>>enzhishiwaang,JDN-2010-Nouns,,,
369,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishining,w<<maamaay1>>enzhishining,JDN-2010-Nouns,,,
370,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,omaamaayenzhishining,w<<maamaay1>>enzhishining,GUESS,,,
