,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
28,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,ninishiing,n<<nishiw2>>V1ng,JDN-2010-Nouns,,,
29,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,NONE,NONE,NONE,NONE,Loc,ninishiinaang,n<<nishiw2>>V1naang,JDN-2010-Nouns,,,
30,NAD,NAD_Vw,nishi,nishiw2,InclPoss,NONE,NONE,NONE,NONE,Loc,ginishiinaang,g<<nishiw2>>V1naang,JDN-2010-Nouns,,,
31,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,NONE,NONE,NONE,NONE,Loc,ginishiing,g<<nishiw2>>V1ng,JDN-2010-Nouns,,,
32,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,NONE,NONE,NONE,NONE,Loc,ginishiiwaang,g<<nishiw2>>V1waang,JDN-2010-Nouns,,,
33,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,onishiing,w<<nishiw2>>V1ng,JDN-2010-Nouns,,,
34,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,onishiiwaang,w<<nishiw2>>V1waang,JDN-2010-Nouns,,,
35,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,onishiining,w<<nishiw2>>V1ning,JDN-2010-Nouns,,,
36,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,onishiining,w<<nishiw2>>V1ning,GUESS,,,
65,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,ninishiiming,n<<nishiw2>>V1ming,JDN-2010-Nouns,,,
66,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,NONE,Poss,NONE,NONE,Loc,ninishiiminaang,n<<nishiw2>>V1minaang,JDN-2010-Nouns,,,
67,NAD,NAD_Vw,nishi,nishiw2,InclPoss,NONE,Poss,NONE,NONE,Loc,ginishiiminaang,g<<nishiw2>>V1minaang,JDN-2010-Nouns,,,
68,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,NONE,Poss,NONE,NONE,Loc,ginishiiming,g<<nishiw2>>V1ming,JDN-2010-Nouns,,,
69,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,NONE,Poss,NONE,NONE,Loc,ginishiimiwaang,g<<nishiw2>>V1miwaang,JDN-2010-Nouns,,,
70,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,onishiiming,w<<nishiw2>>V1ming,JDN-2010-Nouns,,,
71,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,onishiimiwaang,w<<nishiw2>>V1miwaang,JDN-2010-Nouns,,,
72,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,onishiimining,w<<nishiw2>>V1mining,JDN-2010-Nouns,,,
73,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,onishiimining,w<<nishiw2>>V1mining,GUESS,,,
102,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,ninishiinsing,n<<nishiw2>>V1nsing,JDN-2010-Nouns,,,
103,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,Dim,NONE,NONE,NONE,Loc,ninishiinsinaang,n<<nishiw2>>V1nsinaang,JDN-2010-Nouns,,,
104,NAD,NAD_Vw,nishi,nishiw2,InclPoss,Dim,NONE,NONE,NONE,Loc,ginishiinsinaang,g<<nishiw2>>V1nsinaang,JDN-2010-Nouns,,,
105,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,Dim,NONE,NONE,NONE,Loc,ginishiinsing,g<<nishiw2>>V1nsing,JDN-2010-Nouns,,,
106,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,Dim,NONE,NONE,NONE,Loc,ginishiinsiwaang,g<<nishiw2>>V1nsiwaang,JDN-2010-Nouns,,,
107,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,onishiinsing,w<<nishiw2>>V1nsing,JDN-2010-Nouns,,,
108,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,onishiinsiwaang,w<<nishiw2>>V1nsiwaang,JDN-2010-Nouns,,,
109,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,onishiinsining,w<<nishiw2>>V1nsining,JDN-2010-Nouns,,,
110,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,onishiinsining,w<<nishiw2>>V1nsining,GUESS,,,
139,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,ninishiinsiming,n<<nishiw2>>V1nsiming,JDN-2010-Nouns,,,
140,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,Dim,Poss,NONE,NONE,Loc,ninishiinsiminaang,n<<nishiw2>>V1nsiminaang,JDN-2010-Nouns,,,
141,NAD,NAD_Vw,nishi,nishiw2,InclPoss,Dim,Poss,NONE,NONE,Loc,ginishiinsiminaang,g<<nishiw2>>V1nsiminaang,JDN-2010-Nouns,,,
142,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,Dim,Poss,NONE,NONE,Loc,ginishiinsiming,g<<nishiw2>>V1nsiming,JDN-2010-Nouns,,,
143,NAD,NAD_Vw,nishi,nishiw2,2PlPoss,Dim,Poss,NONE,NONE,Loc,ginishiinsimiwaang,g<<nishiw2>>V1nsimiwaang,JDN-2010-Nouns,,,
144,NAD,NAD_Vw,nishi,nishiw2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,onishiinsiming,w<<nishiw2>>V1nsiming,JDN-2010-Nouns,,,
145,NAD,NAD_Vw,nishi,nishiw2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,onishiinsimiwaang,w<<nishiw2>>V1nsimiwaang,JDN-2010-Nouns,,,
146,NAD,NAD_Vw,nishi,nishiw2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,onishiinsimining,w<<nishiw2>>V1nsimining,JDN-2010-Nouns,,,
147,NAD,NAD_Vw,nishi,nishiw2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,onishiinsimining,w<<nishiw2>>V1nsimining,GUESS,,,
176,NAD,NAD_Vw,nishi,nishiw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,ninishiwishing,n<<nishiw2>>ishing,JDN-2010-Nouns,,,
177,NAD,NAD_Vw,nishi,nishiw2,ExclPoss,NONE,NONE,Pej,NONE,Loc,ninishiwishinaang,n<<nishiw2>>ishinaang,JDN-2010-Nouns,,,
178,NAD,NAD_Vw,nishi,nishiw2,InclPoss,NONE,NONE,Pej,NONE,Loc,ginishiwishinaang,g<<nishiw2>>ishinaang,JDN-2010-Nouns,,,
179,NAD,NAD_Vw,nishi,nishiw2,2SgPoss,NONE,NONE,Pej,NONE,Loc,ginishiwishing,g<<nishiw2>>ishing,JDN-2010-Nouns,,,
