Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,NONE,NONE,NONE,Loc,nipigaang,n<<pigay>>aang,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,NONE,NONE,NONE,Loc,nipigaanaang,n<<pigay>>aanaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,NONE,NONE,NONE,Loc,gipigaanaang,g<<pigay>>aanaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,NONE,NONE,NONE,Loc,gipigaang,g<<pigay>>aang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,NONE,NONE,NONE,Loc,gipigaawaang,g<<pigay>>aawaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,opigaang,w<<pigay>>aang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,opigaawaang,w<<pigay>>aawaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,opigaaning,w<<pigay>>aaning,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,opigaaning,w<<pigay>>aaning,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,Poss,NONE,NONE,Loc,nipigaaming,n<<pigay>>aaming,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,Poss,NONE,NONE,Loc,nipigaaminaang,n<<pigay>>aaminaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,Poss,NONE,NONE,Loc,gipigaaminaang,g<<pigay>>aaminaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,Poss,NONE,NONE,Loc,gipigaaming,g<<pigay>>aaming,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,Poss,NONE,NONE,Loc,gipigaamiwaang,g<<pigay>>aamiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,opigaaming,w<<pigay>>aaming,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,opigaamiwaang,w<<pigay>>aamiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,opigaamining,w<<pigay>>aamining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,opigaamining,w<<pigay>>aamining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,NONE,NONE,NONE,Loc,nipigensing,n<<pigay>>ensing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,NONE,NONE,NONE,Loc,nipigensinaang,n<<pigay>>ensinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,NONE,NONE,NONE,Loc,gipigensinaang,g<<pigay>>ensinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,NONE,NONE,NONE,Loc,gipigensing,g<<pigay>>ensing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,NONE,NONE,NONE,Loc,gipigensiwaang,g<<pigay>>ensiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,opigensing,w<<pigay>>ensing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,opigensiwaang,w<<pigay>>ensiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,opigensining,w<<pigay>>ensining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,opigensining,w<<pigay>>ensining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,Poss,NONE,NONE,Loc,nipigensiming,n<<pigay>>ensiming,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,Poss,NONE,NONE,Loc,nipigensiminaang,n<<pigay>>ensiminaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,Poss,NONE,NONE,Loc,gipigensiminaang,g<<pigay>>ensiminaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,Poss,NONE,NONE,Loc,gipigensiming,g<<pigay>>ensiming,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,Poss,NONE,NONE,Loc,gipigensimiwaang,g<<pigay>>ensimiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,opigensiming,w<<pigay>>ensiming,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,opigensimiwaang,w<<pigay>>ensimiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,opigensimining,w<<pigay>>ensimining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,opigensimining,w<<pigay>>ensimining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,NONE,Pej,NONE,Loc,nipigaashing,n<<pigay>>aashing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,NONE,Pej,NONE,Loc,nipigaashinaang,n<<pigay>>aashinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,NONE,Pej,NONE,Loc,gipigaashinaang,g<<pigay>>aashinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,NONE,Pej,NONE,Loc,gipigaashing,g<<pigay>>aashing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,NONE,Pej,NONE,Loc,gipigaashiwaang,g<<pigay>>aashiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,opigaashing,w<<pigay>>aashing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,opigaashiwaang,w<<pigay>>aashiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,opigaashining,w<<pigay>>aashining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,opigaashining,w<<pigay>>aashining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,Poss,Pej,NONE,Loc,nipigaamishing,n<<pigay>>aamishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,Poss,Pej,NONE,Loc,nipigaamishinaang,n<<pigay>>aamishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,Poss,Pej,NONE,Loc,gipigaamishinaang,g<<pigay>>aamishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,Poss,Pej,NONE,Loc,gipigaamishing,g<<pigay>>aamishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,Poss,Pej,NONE,Loc,gipigaamishiwaang,g<<pigay>>aamishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,opigaamishing,w<<pigay>>aamishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,opigaamishiwaang,w<<pigay>>aamishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,opigaamishining,w<<pigay>>aamishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,opigaamishining,w<<pigay>>aamishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,NONE,Pej,NONE,Loc,nipigayenzhishing,n<<pigay>>enzhishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,NONE,Pej,NONE,Loc,nipigayenzhishinaang,n<<pigay>>enzhishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,NONE,Pej,NONE,Loc,gipigayenzhishinaang,g<<pigay>>enzhishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,NONE,Pej,NONE,Loc,gipigayenzhishing,g<<pigay>>enzhishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,NONE,Pej,NONE,Loc,gipigayenzhishiwaang,g<<pigay>>enzhishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishing,w<<pigay>>enzhishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishiwaang,w<<pigay>>enzhishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishining,w<<pigay>>enzhishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishining,w<<pigay>>enzhishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,Poss,Pej,NONE,Loc,nipigensimishing,n<<pigay>>ensimishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,Poss,Pej,NONE,Loc,nipigensimishinaang,n<<pigay>>ensimishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,Poss,Pej,NONE,Loc,gipigensimishinaang,g<<pigay>>ensimishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,Poss,Pej,NONE,Loc,gipigensimishing,g<<pigay>>ensimishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,Poss,Pej,NONE,Loc,gipigensimishiwaang,g<<pigay>>ensimishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,opigensimishing,w<<pigay>>ensimishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,opigensimishiwaang,w<<pigay>>ensimishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,opigensimishining,w<<pigay>>ensimishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,opigensimishining,w<<pigay>>ensimishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,NONE,NONE,NONE,Pl,nipigayan,n<<pigay>>an,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,NONE,NONE,NONE,Pl,nipigaanaanin,n<<pigay>>aanaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,NONE,NONE,NONE,Pl,gipigaanaanin,g<<pigay>>aanaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,NONE,NONE,NONE,Pl,gipigayan,g<<pigay>>an,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,NONE,NONE,NONE,Pl,gipigaawaan,g<<pigay>>aawaan,GUESS,,,
