Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,niniishkong,n<<niishkw2>>ong,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,niniishkoming,n<<niishkw2>>oming,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,niniishkoonsing,n<<niishkw2>>oonsing,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,niniishkoonsiming,n<<niishkw2>>oonsiming,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,niniishkoshing,n<<niishkw2>>oshing,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,Poss,Pej,NONE,Loc,niniishkomishing,n<<niishkw2>>omishing,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,niniishkoonzhishing,n<<niishkw2>>oonzhishing,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,niniishkoonsimishing,n<<niishkw2>>oonsimishing,GUESS,,,,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,niniishkwa',n<<niishkw2>>a',GUESS,nindniishkwan,ni<<niishkw2>>an,GUESS,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,niniishkoma',n<<niishkw2>>oma',GUESS,nindniishkoman,ni<<niishkw2>>oman,GUESS,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,niniishkoonsa',n<<niishkw2>>oonsa',GUESS,nindniishkoonsan,ni<<niishkw2>>oonsan,GUESS,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,niniishkoonsima',n<<niishkw2>>oonsima',GUESS,nindniishkoonsiman,ni<<niishkw2>>oonsiman,GUESS,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,niniishkosha',n<<niishkw2>>osha',GUESS,nindniishkoshan,ni<<niishkw2>>oshan,GUESS,,,
NAD,NAD_irrCw,niishkw,niishkw2,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,niniishkomisha',n<<niishkw2>>omisha',GUESS,nindniishkomishan,ni<<niishkw2>>omishan,GUESS,,,
