,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,NONE,ProxSg,zhiishiib,<<zhiishiib>>,JDN-2010-Nouns
1,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,NONE,ProxPl,zhiishiibag,<<zhiishiib>>ag,JDN-2010-Nouns
2,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,NONE,ObvSg,zhiishiiban,<<zhiishiib>>an,JDN-2010-Nouns
3,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,NONE,ObvPl,zhiishiiba',<<zhiishiib>>a',JDN-2010-Nouns
4,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,NONE,Loc,zhiishiibing,<<zhiishiib>>ing,JDN-2010-Nouns
5,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,NONE,Voc,zhiishiibidog,<<zhiishiib>>idog,JDN-2010-Nouns
6,NA,NA_C,zhiishiib,zhiishiib,NONE,Dim,NONE,NONE,NONE,ProxSg,zhiishiibens,<<zhiishiib>>ens,JDN-2010-Nouns
7,NA,NA_C,zhiishiib,zhiishiib,NONE,Dim,NONE,NONE,NONE,ProxPl,zhiishiibensag,<<zhiishiib>>ensag,JDN-2010-Nouns
8,NA,NA_C,zhiishiib,zhiishiib,NONE,Dim,NONE,NONE,NONE,ObvSg,zhiishiibensan,<<zhiishiib>>ensan,JDN-2010-Nouns
9,NA,NA_C,zhiishiib,zhiishiib,NONE,Dim,NONE,NONE,NONE,ObvPl,zhiishiibensa',<<zhiishiib>>ensa',JDN-2010-Nouns
10,NA,NA_C,zhiishiib,zhiishiib,NONE,Dim,NONE,NONE,NONE,Loc,zhiishiibensing,<<zhiishiib>>ensing,JDN-2010-Nouns
11,NA,NA_C,zhiishiib,zhiishiib,NONE,Dim,NONE,NONE,NONE,Voc,zhiishiibensidog,<<zhiishiib>>ensidog,JDN-2010-Nouns
12,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,Pej,NONE,ProxSg,zhiishiibish,<<zhiishiib>>ish,JDN-2010-Nouns
13,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,Pej,NONE,ProxPl,zhiishiibishag,<<zhiishiib>>ishag,JDN-2010-Nouns
14,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,Pej,NONE,ObvSg,zhiishiibishan,<<zhiishiib>>ishan,JDN-2010-Nouns
15,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,Pej,NONE,ObvPl,zhiishiibisha',<<zhiishiib>>isha',JDN-2010-Nouns
16,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,Pej,NONE,Loc,zhiishiibishing,<<zhiishiib>>ishing,JDN-2010-Nouns
17,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,Pej,NONE,Voc,zhiishiibishidog,<<zhiishiib>>ishidog,JDN-2010-Nouns
18,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,Pret,ProxSg,zhiishiibiban,<<zhiishiib>>iban,JDN-2010-Nouns
19,NA,NA_C,zhiishiib,zhiishiib,NONE,NONE,NONE,NONE,Pret,ProxPl,zhiishiibibaniig,<<zhiishiib>>ibaniig,JDN-2010-Nouns
