Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,NA,ProxSg,zhiishiib,<<zhiishiib>>a,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,NA,ProxPl,zhiishiibag,<<zhiishiib>>ag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,NA,ObvSg,zhiishiiban,<<zhiishiib>>an,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,NA,ObvPl,zhiishiiba',<<zhiishiib>>a',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,NA,Loc,zhiishiibing,<<zhiishiib>>ing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,NA,Voc,zhiishiibidog,<<zhiishiib>>idog,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,NA,NA,ProxSg,zhiishiibens,<<zhiishiib>>ens,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,NA,NA,ProxPl,zhiishiibensag,<<zhiishiib>>ensag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,NA,NA,ObvSg,zhiishiibensan,<<zhiishiib>>ensan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,NA,NA,ObvPl,zhiishiibensa',<<zhiishiib>>ensa',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,NA,NA,Loc,zhiishiibensing,<<zhiishiib>>ensing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,NA,NA,Voc,zhiishiibensidog,<<zhiishiib>>ensidog,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,Pej,NA,ProxSg,zhiishiibish,<<zhiishiib>>ish,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,Pej,NA,ProxPl,zhiishiibishag,<<zhiishiib>>ishag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,Pej,NA,ObvSg,zhiishiibishan,<<zhiishiib>>ishan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,Pej,NA,ObvPl,zhiishiibisha',<<zhiishiib>>isha',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,Pej,NA,Loc,zhiishiibishing,<<zhiishiib>>ishing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,Pej,NA,Voc,zhiishiibishidog,<<zhiishiib>>ishidog,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,Pret,ProxSg,zhiishiibiban,<<zhiishiib>>iban,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,Pret,ProxPl,zhiishiibibaniig,<<zhiishiib>>ibaniig,JDN-2010-Nouns,zhiishiibibaneg,<<zhiishiib>>ibaneg,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,Pret,ObvSg,zhiishiibibaniin,<<zhiishiib>>ibaniin,JDN-2010-Nouns,zhiishiibibanen,<<zhiishiib>>ibanen,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,NA,NA,NA,Pret,ObvPl,zhiishiibibanii',<<zhiishiib>>ibanii',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,Pej,NA,ProxSg,zhiishiibenzhish,<<zhiishiib>>enzhish,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,Pej,NA,ProxPl,zhiishiibenzhishag,<<zhiishiib>>enzhishag,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,Pej,NA,ObvSg,zhiishiibenzhishan,<<zhiishiib>>enzhishan,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,Pej,NA,ObvPl,zhiishiibenzhisha',<<zhiishiib>>enzhisha',JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,Pej,NA,Loc,zhiishiibenzhishing,<<zhiishiib>>enzhishing,JDN-2010-Nouns,,,
Anim,C-final,zhiishiib,<<zhiishiib>>,NA,Dim,NA,Pej,NA,Voc,zhiishiibenzhishidog,<<zhiishiib>>enzhishidog,JDN-2010-Nouns,,,
