Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_Cw,mitig,mitigw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nimitigoonsing,ni<<mitigw2>>oonsing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimitigoonsiwaang,gi<<mitigw2>>oonsiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gimitigoonsing,gi<<mitigw2>>oonsing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,omitigoonsining,o<<mitigw2>>oonsining,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,omitigoonsiwaang,o<<mitigw2>>oonsiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,omitigoonsining,o<<mitigw2>>oonsining,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,omitigoonsing,o<<mitigw2>>oonsing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nimitigoonsinaang,ni<<mitigw2>>oonsinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,InclPoss,Dim,NONE,NONE,NONE,Loc,gimitigoonsinaang,gi<<mitigw2>>oonsinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,NONE,Dim,NONE,NONE,NONE,Loc,mitigoonsing,<<mitigw2>>oonsing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimitigoonzhishing,ni<<mitigw2>>oonzhishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimitigoonzhishiwaang,gi<<mitigw2>>oonzhishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gimitigoonzhishing,gi<<mitigw2>>oonzhishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,omitigoonzhishining,o<<mitigw2>>oonzhishining,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,omitigoonzhishiwaang,o<<mitigw2>>oonzhishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,omitigoonzhishining,o<<mitigw2>>oonzhishining,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,omitigoonzhishing,o<<mitigw2>>oonzhishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nimitigoonzhishinaang,ni<<mitigw2>>oonzhishinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,InclPoss,Dim,NONE,Pej,NONE,Loc,gimitigoonzhishinaang,gi<<mitigw2>>oonzhishinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,NONE,Dim,NONE,Pej,NONE,Loc,mitigoonzhishing,<<mitigw2>>oonzhishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimitigoonsiming,ni<<mitigw2>>oonsiming,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimitigoonsimiwaang,gi<<mitigw2>>oonsimiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimitigoonsiming,gi<<mitigw2>>oonsiming,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omitigoonsimining,o<<mitigw2>>oonsimining,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omitigoonsimiwaang,o<<mitigw2>>oonsimiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omitigoonsimining,o<<mitigw2>>oonsimining,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omitigoonsiming,o<<mitigw2>>oonsiming,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nimitigoonsiminaang,ni<<mitigw2>>oonsiminaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,InclPoss,Dim,Poss,NONE,NONE,Loc,gimitigoonsiminaang,gi<<mitigw2>>oonsiminaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nimitigoonsimishing,ni<<mitigw2>>oonsimishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimitigoonsimishiwaang,gi<<mitigw2>>oonsimishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gimitigoonsimishing,gi<<mitigw2>>oonsimishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,omitigoonsimishining,o<<mitigw2>>oonsimishining,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,omitigoonsimishiwaang,o<<mitigw2>>oonsimishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,omitigoonsimishining,o<<mitigw2>>oonsimishining,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,omitigoonsimishing,o<<mitigw2>>oonsimishing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nimitigoonsimishinaang,ni<<mitigw2>>oonsimishinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,InclPoss,Dim,Poss,Pej,NONE,Loc,gimitigoonsimishinaang,gi<<mitigw2>>oonsimishinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nimitigong,ni<<mitigw2>>ong,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gimitigowaang,gi<<mitigw2>>owaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gimitigong,gi<<mitigw2>>ong,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,omitigoning,o<<mitigw2>>oning,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,omitigowaang,o<<mitigw2>>owaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,omitigoning,o<<mitigw2>>oning,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,omitigong,o<<mitigw2>>ong,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nimitigonaang,ni<<mitigw2>>onaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,InclPoss,NONE,NONE,NONE,NONE,Loc,gimitigonaang,gi<<mitigw2>>onaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,NONE,NONE,NONE,NONE,NONE,Loc,mitigong,<<mitigw2>>ong,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimitigoshing,ni<<mitigw2>>oshing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimitigoshiwaang,gi<<mitigw2>>oshiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gimitigoshing,gi<<mitigw2>>oshing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,omitigoshining,o<<mitigw2>>oshining,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,omitigoshiwaang,o<<mitigw2>>oshiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,omitigoshining,o<<mitigw2>>oshining,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,omitigoshing,o<<mitigw2>>oshing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nimitigoshinaang,ni<<mitigw2>>oshinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,InclPoss,NONE,NONE,Pej,NONE,Loc,gimitigoshinaang,gi<<mitigw2>>oshinaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,NONE,NONE,NONE,Pej,NONE,Loc,mitigoshing,<<mitigw2>>oshing,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nimitigoming,ni<<mitigw2>>oming,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gimitigomiwaang,gi<<mitigw2>>omiwaang,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gimitigoming,gi<<mitigw2>>oming,JDN-2010-Nouns,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,omitigomining,o<<mitigw2>>omining,GUESS,,,,,,
NA,NA_Cw,mitig,mitigw2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,omitigomiwaang,o<<mitigw2>>omiwaang,JDN-2010-Nouns,,,,,,
