,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
4,NA,NA_Cy,asin,asiny2,NONE,NONE,NONE,NONE,NONE,Loc,asiniing,<<asiny2>>iing,JDN-2010-Nouns,,,
10,NA,NA_Cy,asin,asiny2,NONE,Dim,NONE,NONE,NONE,Loc,asiniinsing,<<asiny2>>iinsing,JDN-2010-Nouns,,,
16,NA,NA_Cy,asin,asiny2,NONE,NONE,NONE,Pej,NONE,Loc,asiniishing,<<asiny2>>iishing,JDN-2010-Nouns,,,
26,NA,NA_Cy,asin,asiny2,NONE,Dim,NONE,Pej,NONE,Loc,asiniinzhishing,<<asiny2>>iinzhishing,JDN-2010-Nouns,,,
60,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindasiniing,ni<<asiny2>>iing,JDN-2010-Nouns,,,
61,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindasiniinaang,ni<<asiny2>>iinaang,JDN-2010-Nouns,,,
62,NA,NA_Cy,asin,asiny2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidasiniinaang,gi<<asiny2>>iinaang,JDN-2010-Nouns,,,
63,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidasiniing,gi<<asiny2>>iing,JDN-2010-Nouns,,,
64,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidasiniiwaang,gi<<asiny2>>iiwaang,JDN-2010-Nouns,,,
65,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odasiniing,o<<asiny2>>iing,JDN-2010-Nouns,,,
66,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odasiniiwaang,o<<asiny2>>iiwaang,JDN-2010-Nouns,,,
67,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odasiniining,o<<asiny2>>iining,JDN-2010-Nouns,,,
68,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odasiniining,o<<asiny2>>iining,GUESS,,,
97,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindasiniiming,ni<<asiny2>>iiming,JDN-2010-Nouns,,,
98,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,Poss,NONE,NONE,Loc,nindasiniiminaang,ni<<asiny2>>iiminaang,JDN-2010-Nouns,,,
99,NA,NA_Cy,asin,asiny2,InclPoss,NONE,Poss,NONE,NONE,Loc,gidasiniiminaang,gi<<asiny2>>iiminaang,JDN-2010-Nouns,,,
100,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidasiniiming,gi<<asiny2>>iiming,JDN-2010-Nouns,,,
101,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidasiniimiwaang,gi<<asiny2>>iimiwaang,JDN-2010-Nouns,,,
102,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odasiniiming,o<<asiny2>>iiming,JDN-2010-Nouns,,,
103,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odasiniimiwaang,o<<asiny2>>iimiwaang,JDN-2010-Nouns,,,
104,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odasiniimining,o<<asiny2>>iimining,JDN-2010-Nouns,,,
105,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odasiniimining,o<<asiny2>>iimining,GUESS,,,
134,NA,NA_Cy,asin,asiny2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindasiniinsing,ni<<asiny2>>iinsing,JDN-2010-Nouns,,,
135,NA,NA_Cy,asin,asiny2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nindasiniinsinaang,ni<<asiny2>>iinsinaang,JDN-2010-Nouns,,,
