Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NA,NA_ShortC,nika,nik,NONE,NONE,NONE,NONE,NONE,Loc,niking,<<nik>>ing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,NONE,Dim,NONE,NONE,NONE,Loc,nikensing,<<nik>>ensing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,NONE,NONE,NONE,Pej,NONE,Loc,nikishing,<<nik>>ishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,NONE,Dim,NONE,Pej,NONE,Loc,nikenzhishing,<<nik>>enzhishing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,1SgPoss,NONE,NONE,NONE,NONE,Loc,niniking,ni<<nik>>ing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,ExclPoss,NONE,NONE,NONE,NONE,Loc,ninikinaang,ni<<nik>>inaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,InclPoss,NONE,NONE,NONE,NONE,Loc,ginikinaang,gi<<nik>>inaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2SgPoss,NONE,NONE,NONE,NONE,Loc,giniking,gi<<nik>>ing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2PlPoss,NONE,NONE,NONE,NONE,Loc,ginikiwaang,gi<<nik>>iwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,oniking,o<<nik>>ing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,onikiwaang,o<<nik>>iwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,onikining,o<<nik>>ining,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,onikining,o<<nik>>ining,GUESS,,,
NA,NA_ShortC,nika,nik,1SgPoss,NONE,Poss,NONE,NONE,Loc,ninikiming,ni<<nik>>iming,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,ExclPoss,NONE,Poss,NONE,NONE,Loc,ninikiminaang,ni<<nik>>iminaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,InclPoss,NONE,Poss,NONE,NONE,Loc,ginikiminaang,gi<<nik>>iminaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2SgPoss,NONE,Poss,NONE,NONE,Loc,ginikiming,gi<<nik>>iming,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2PlPoss,NONE,Poss,NONE,NONE,Loc,ginikimiwaang,gi<<nik>>imiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,onikiming,o<<nik>>iming,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,onikimiwaang,o<<nik>>imiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,onikimining,o<<nik>>imining,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,onikimining,o<<nik>>imining,GUESS,,,
NA,NA_ShortC,nika,nik,1SgPoss,Dim,NONE,NONE,NONE,Loc,ninikensing,ni<<nik>>ensing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,ExclPoss,Dim,NONE,NONE,NONE,Loc,ninikensinaang,ni<<nik>>ensinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,InclPoss,Dim,NONE,NONE,NONE,Loc,ginikensinaang,gi<<nik>>ensinaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2SgPoss,Dim,NONE,NONE,NONE,Loc,ginikensing,gi<<nik>>ensing,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,2PlPoss,Dim,NONE,NONE,NONE,Loc,ginikensiwaang,gi<<nik>>ensiwaang,JDN-2010-Nouns,,,
NA,NA_ShortC,nika,nik,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,onikensing,o<<nik>>ensing,JDN-2010-Nouns,,,
