Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NA,NA_ShortCw,makwa,makw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nimakoonsing,ni<<makw2>>oonsing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimakoonsiwaang,gi<<makw2>>oonsiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gimakoonsing,gi<<makw2>>oonsing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,omakoonsining,o<<makw2>>oonsining,GUESS,,,
NA,NA_ShortCw,makwa,makw2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,omakoonsiwaang,o<<makw2>>oonsiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,omakoonsining,o<<makw2>>oonsining,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,omakoonsing,o<<makw2>>oonsing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nimakoonsinaang,ni<<makw2>>oonsinaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,InclPoss,Dim,NONE,NONE,NONE,Loc,gimakoonsinaang,gi<<makw2>>oonsinaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,NONE,Dim,NONE,NONE,NONE,Loc,makoonsing,<<makw2>>oonsing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimakoonzhishing,ni<<makw2>>oonzhishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimakoonzhishiwaang,gi<<makw2>>oonzhishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gimakoonzhishing,gi<<makw2>>oonzhishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,omakoonzhishining,o<<makw2>>oonzhishining,GUESS,,,
NA,NA_ShortCw,makwa,makw2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,omakoonzhishiwaang,o<<makw2>>oonzhishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,omakoonzhishining,o<<makw2>>oonzhishining,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,omakoonzhishing,o<<makw2>>oonzhishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nimakoonzhishinaang,ni<<makw2>>oonzhishinaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,InclPoss,Dim,NONE,Pej,NONE,Loc,gimakoonzhishinaang,gi<<makw2>>oonzhishinaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,NONE,Dim,NONE,Pej,NONE,Loc,makoonzhishing,<<makw2>>oonzhishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimakoonsiming,ni<<makw2>>oonsiming,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimakoonsimiwaang,gi<<makw2>>oonsimiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimakoonsiming,gi<<makw2>>oonsiming,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omakoonsimining,o<<makw2>>oonsimining,GUESS,,,
NA,NA_ShortCw,makwa,makw2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omakoonsimiwaang,o<<makw2>>oonsimiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omakoonsimining,o<<makw2>>oonsimining,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omakoonsiming,o<<makw2>>oonsiming,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nimakoonsiminaang,ni<<makw2>>oonsiminaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,InclPoss,Dim,Poss,NONE,NONE,Loc,gimakoonsiminaang,gi<<makw2>>oonsiminaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nimakoonsimishing,ni<<makw2>>oonsimishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimakoonsimishiwaang,gi<<makw2>>oonsimishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gimakoonsimishing,gi<<makw2>>oonsimishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,omakoonsimishining,o<<makw2>>oonsimishining,GUESS,,,
NA,NA_ShortCw,makwa,makw2,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,omakoonsimishiwaang,o<<makw2>>oonsimishiwaang,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,omakoonsimishining,o<<makw2>>oonsimishining,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,omakoonsimishing,o<<makw2>>oonsimishing,JDN-2010-Nouns,,,
NA,NA_ShortCw,makwa,makw2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nimakoonsimishinaang,ni<<makw2>>oonsimishinaang,JDN-2010-Nouns,,,
