,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
4,NA,NA_VV,anishinaabe,anishinaabew2,NONE,NONE,NONE,NONE,NONE,Loc,anishinaabeng,<<anishinaabew2>>ng,JDN-2010-Nouns,,,
10,NA,NA_VV,anishinaabe,anishinaabew2,NONE,Dim,NONE,NONE,NONE,Loc,anishinaabensing,<<anishinaabew2>>nsing,JDN-2010-Nouns,,,
16,NA,NA_VV,anishinaabe,anishinaabew2,NONE,NONE,NONE,Pej,NONE,Loc,anishinaabewishing,<<anishinaabew2>>ishing,JDN-2010-Nouns,,,
26,NA,NA_VV,anishinaabe,anishinaabew2,NONE,Dim,NONE,Pej,NONE,Loc,anishinaabenzhishing,<<anishinaabew2>>nzhishing,JDN-2010-Nouns,,,
60,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindanishinaabeng,ni<<anishinaabew2>>ng,JDN-2010-Nouns,,,
61,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindanishinaabenaang,ni<<anishinaabew2>>naang,JDN-2010-Nouns,,,
62,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidanishinaabenaang,gi<<anishinaabew2>>naang,JDN-2010-Nouns,,,
63,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidanishinaabeng,gi<<anishinaabew2>>ng,JDN-2010-Nouns,,,
64,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidanishinaabewaang,gi<<anishinaabew2>>waang,JDN-2010-Nouns,,,
65,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odanishinaabeng,o<<anishinaabew2>>ng,JDN-2010-Nouns,,,
66,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odanishinaabewaang,o<<anishinaabew2>>waang,JDN-2010-Nouns,,,
67,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odanishinaabening,o<<anishinaabew2>>ning,JDN-2010-Nouns,,,
68,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odanishinaabening,o<<anishinaabew2>>ning,GUESS,,,
97,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindanishinaabeming,ni<<anishinaabew2>>ming,JDN-2010-Nouns,,,
98,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,Poss,NONE,NONE,Loc,nindanishinaabeminaang,ni<<anishinaabew2>>minaang,JDN-2010-Nouns,,,
99,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,Poss,NONE,NONE,Loc,gidanishinaabeminaang,gi<<anishinaabew2>>minaang,JDN-2010-Nouns,,,
100,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidanishinaabeming,gi<<anishinaabew2>>ming,JDN-2010-Nouns,,,
101,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidanishinaabemiwaang,gi<<anishinaabew2>>miwaang,JDN-2010-Nouns,,,
102,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odanishinaabeming,o<<anishinaabew2>>ming,JDN-2010-Nouns,,,
103,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odanishinaabemiwaang,o<<anishinaabew2>>miwaang,JDN-2010-Nouns,,,
104,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odanishinaabemining,o<<anishinaabew2>>mining,JDN-2010-Nouns,,,
105,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odanishinaabemining,o<<anishinaabew2>>mining,GUESS,,,
134,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindanishinaabensing,ni<<anishinaabew2>>nsing,JDN-2010-Nouns,,,
135,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nindanishinaabensinaang,ni<<anishinaabew2>>nsinaang,JDN-2010-Nouns,,,
136,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,NONE,NONE,NONE,Loc,gidanishinaabensinaang,gi<<anishinaabew2>>nsinaang,JDN-2010-Nouns,,,
137,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gidanishinaabensing,gi<<anishinaabew2>>nsing,JDN-2010-Nouns,,,
138,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gidanishinaabensiwaang,gi<<anishinaabew2>>nsiwaang,JDN-2010-Nouns,,,
139,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensing,o<<anishinaabew2>>nsing,JDN-2010-Nouns,,,
140,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensiwaang,o<<anishinaabew2>>nsiwaang,JDN-2010-Nouns,,,
141,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensining,o<<anishinaabew2>>nsining,JDN-2010-Nouns,,,
142,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,odanishinaabensining,o<<anishinaabew2>>nsining,GUESS,,,
171,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nindanishinaabensiming,ni<<anishinaabew2>>nsiming,JDN-2010-Nouns,,,
172,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nindanishinaabensiminaang,ni<<anishinaabew2>>nsiminaang,JDN-2010-Nouns,,,
173,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,Poss,NONE,NONE,Loc,gidanishinaabensiminaang,gi<<anishinaabew2>>nsiminaang,JDN-2010-Nouns,,,
174,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidanishinaabensiming,gi<<anishinaabew2>>nsiming,JDN-2010-Nouns,,,
175,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidanishinaabensimiwaang,gi<<anishinaabew2>>nsimiwaang,JDN-2010-Nouns,,,
176,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensiming,o<<anishinaabew2>>nsiming,JDN-2010-Nouns,,,
177,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensimiwaang,o<<anishinaabew2>>nsimiwaang,JDN-2010-Nouns,,,
178,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odanishinaabensimining,o<<anishinaabew2>>nsimining,JDN-2010-Nouns,,,
