Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_VVny,giigoonh,giigoonhy1,NONE,NONE,NONE,NONE,NONE,Loc,giigoonying,<<giigoonhy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,NONE,Dim,NONE,NONE,NONE,Loc,giigoonyensing,<<giigoonhy1>>ensing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,NONE,NONE,NONE,Pej,NONE,Loc,giigoonyishing,<<giigoonhy1>>ishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,NONE,Dim,NONE,Pej,NONE,Loc,giigoonyenzhishing,<<giigoonhy1>>enzhishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,NONE,NONE,NONE,NONE,Loc,ningiigoonying,ni<<giigoonhy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,NONE,NONE,NONE,NONE,Loc,ningiigoonyinaang,ni<<giigoonhy1>>inaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,NONE,NONE,NONE,NONE,Loc,gigiigoonyinaang,gi<<giigoonhy1>>inaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,NONE,NONE,NONE,NONE,Loc,gigiigoonying,gi<<giigoonhy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,NONE,NONE,NONE,NONE,Loc,gigiigoonyiwaang,gi<<giigoonhy1>>iwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,ogiigoonying,o<<giigoonhy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,ogiigoonyiwaang,o<<giigoonhy1>>iwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,ogiigoonyining,o<<giigoonhy1>>ining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,ogiigoonyining,o<<giigoonhy1>>ining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,NONE,Poss,NONE,NONE,Loc,ningiigoonyiming,ni<<giigoonhy1>>iming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,NONE,Poss,NONE,NONE,Loc,ningiigoonyiminaang,ni<<giigoonhy1>>iminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,NONE,Poss,NONE,NONE,Loc,gigiigoonyiminaang,gi<<giigoonhy1>>iminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,NONE,Poss,NONE,NONE,Loc,gigiigoonyiming,gi<<giigoonhy1>>iming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,NONE,Poss,NONE,NONE,Loc,gigiigoonyimiwaang,gi<<giigoonhy1>>imiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,ogiigoonyiming,o<<giigoonhy1>>iming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,ogiigoonyimiwaang,o<<giigoonhy1>>imiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,ogiigoonyimining,o<<giigoonhy1>>imining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,ogiigoonyimining,o<<giigoonhy1>>imining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,NONE,NONE,NONE,Loc,ningiigoonyensing,ni<<giigoonhy1>>ensing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,NONE,NONE,NONE,Loc,ningiigoonyensinaang,ni<<giigoonhy1>>ensinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,NONE,NONE,NONE,Loc,gigiigoonyensinaang,gi<<giigoonhy1>>ensinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,NONE,NONE,NONE,Loc,gigiigoonyensing,gi<<giigoonhy1>>ensing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,NONE,NONE,NONE,Loc,gigiigoonyensiwaang,gi<<giigoonhy1>>ensiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensing,o<<giigoonhy1>>ensing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensiwaang,o<<giigoonhy1>>ensiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensining,o<<giigoonhy1>>ensining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,ogiigoonyensining,o<<giigoonhy1>>ensining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,Poss,NONE,NONE,Loc,ningiigoonyensiming,ni<<giigoonhy1>>ensiming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,Poss,NONE,NONE,Loc,ningiigoonyensiminaang,ni<<giigoonhy1>>ensiminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,Poss,NONE,NONE,Loc,gigiigoonyensiminaang,gi<<giigoonhy1>>ensiminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,Poss,NONE,NONE,Loc,gigiigoonyensiming,gi<<giigoonhy1>>ensiming,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,Poss,NONE,NONE,Loc,gigiigoonyensimiwaang,gi<<giigoonhy1>>ensimiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,ogiigoonyensiming,o<<giigoonhy1>>ensiming,JDN-2010-Nouns,,,,,,
