Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NA,VVny-final,giigoonh,<<giigoonhy1>>,DIM,giigoonhyens,<<giigoonhy>>ens,OPD
NA,VVny-final,giigoonh,<<giigoonhy1>>,PEJ,giigoonhyish,<<giigoonhy>>ish,JDN2011
NA,VVny-final,giigoonh,<<giigoonhy1>>,ProxSg,giigoonh,<<giigoonhy>>,OPD
NA,VVny-final,giigoonh,<<giigoonhy1>>,ProxPl,giigoonhyag,<<giigoonhy>>ag,OPD
NA,VVny-final,giigoonh,<<giigoonhy1>>,LOC,giigoonhying,<<giigoonhy>>ing,JDN2011
NA,VVny-final,giigoonh,<<giigoonhy1>>,PRET,giigoonhyiban,<<giigoonhy>>iban,inferred
NA,VVny-final,giigoonh,<<giigoonhy1>>,OBV,giigoonhyan,<<giigoonhy>>an,JDN2011
NA,VVny-final,giigoonh,<<giigoonhy1>>,ObvPl,giigoonhya',<<giigoonhy>>a',inferred
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,DIM,bineshiinhyens,<<bineshiinhy>>ens,OPD
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,PEJ,bineshiinhyish,<<bineshiinhy>>ish,inferred
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,ProxSg,bineshiinh,<<bineshiinhy>>,OPD
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,ProxPl,bineshiinhyag,<<bineshiinhy>>ag,OPD
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,LOC,bineshiinhying,<<bineshiinhy>>ing,inferred
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,PRET,bineshiinhyiban,<<bineshiinhy>>iban,inferred
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,ObvSg,bineshiinhyan,<<bineshiinhy>>an,inferred
NA,VVny-final,bineshiinh,<<bineshiinhy1>>,ObvPl,bineshiinhya',<<bineshiinhy>>a',inferred
