,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
4,NA,NA_VVw,ikwe,ikwew2,NONE,NONE,NONE,NONE,NONE,Loc,ikweng,<<ikwew2>>ng,JDN-2010-Nouns,,,
10,NA,NA_VVw,ikwe,ikwew2,NONE,Dim,NONE,NONE,NONE,Loc,ikwensing,<<ikwew2>>nsing,JDN-2010-Nouns,,,
16,NA,NA_VVw,ikwe,ikwew2,NONE,NONE,NONE,Pej,NONE,Loc,ikwewishing,<<ikwew2>>ishing,JDN-2010-Nouns,,,
26,NA,NA_VVw,ikwe,ikwew2,NONE,Dim,NONE,Pej,NONE,Loc,ikwenzhishing,<<ikwew2>>nzhishing,JDN-2010-Nouns,,,
60,NA,NA_VVw,ikwe,ikwew2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindikweng,ni<<ikwew2>>ng,JDN-2010-Nouns,,,
61,NA,NA_VVw,ikwe,ikwew2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindikwenaang,ni<<ikwew2>>naang,JDN-2010-Nouns,,,
62,NA,NA_VVw,ikwe,ikwew2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidikwenaang,gi<<ikwew2>>naang,JDN-2010-Nouns,,,
63,NA,NA_VVw,ikwe,ikwew2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidikweng,gi<<ikwew2>>ng,JDN-2010-Nouns,,,
64,NA,NA_VVw,ikwe,ikwew2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidikwewaang,gi<<ikwew2>>waang,JDN-2010-Nouns,,,
65,NA,NA_VVw,ikwe,ikwew2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odikweng,o<<ikwew2>>ng,JDN-2010-Nouns,,,
66,NA,NA_VVw,ikwe,ikwew2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odikwewaang,o<<ikwew2>>waang,JDN-2010-Nouns,,,
67,NA,NA_VVw,ikwe,ikwew2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odikwening,o<<ikwew2>>ning,JDN-2010-Nouns,,,
68,NA,NA_VVw,ikwe,ikwew2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odikwening,o<<ikwew2>>ning,GUESS,,,
97,NA,NA_VVw,ikwe,ikwew2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindikweming,ni<<ikwew2>>ming,JDN-2010-Nouns,,,
98,NA,NA_VVw,ikwe,ikwew2,ExclPoss,NONE,Poss,NONE,NONE,Loc,nindikweminaang,ni<<ikwew2>>minaang,JDN-2010-Nouns,,,
99,NA,NA_VVw,ikwe,ikwew2,InclPoss,NONE,Poss,NONE,NONE,Loc,gidikweminaang,gi<<ikwew2>>minaang,JDN-2010-Nouns,,,
100,NA,NA_VVw,ikwe,ikwew2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidikweming,gi<<ikwew2>>ming,JDN-2010-Nouns,,,
101,NA,NA_VVw,ikwe,ikwew2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidikwemiwaang,gi<<ikwew2>>miwaang,JDN-2010-Nouns,,,
102,NA,NA_VVw,ikwe,ikwew2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odikweming,o<<ikwew2>>ming,JDN-2010-Nouns,,,
103,NA,NA_VVw,ikwe,ikwew2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odikwemiwaang,o<<ikwew2>>miwaang,JDN-2010-Nouns,,,
104,NA,NA_VVw,ikwe,ikwew2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odikwemining,o<<ikwew2>>mining,JDN-2010-Nouns,,,
105,NA,NA_VVw,ikwe,ikwew2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odikwemining,o<<ikwew2>>mining,GUESS,,,
134,NA,NA_VVw,ikwe,ikwew2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindikwensing,ni<<ikwew2>>nsing,JDN-2010-Nouns,,,
135,NA,NA_VVw,ikwe,ikwew2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nindikwensinaang,ni<<ikwew2>>nsinaang,JDN-2010-Nouns,,,
136,NA,NA_VVw,ikwe,ikwew2,InclPoss,Dim,NONE,NONE,NONE,Loc,gidikwensinaang,gi<<ikwew2>>nsinaang,JDN-2010-Nouns,,,
137,NA,NA_VVw,ikwe,ikwew2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gidikwensing,gi<<ikwew2>>nsing,JDN-2010-Nouns,,,
138,NA,NA_VVw,ikwe,ikwew2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gidikwensiwaang,gi<<ikwew2>>nsiwaang,JDN-2010-Nouns,,,
139,NA,NA_VVw,ikwe,ikwew2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,odikwensing,o<<ikwew2>>nsing,JDN-2010-Nouns,,,
140,NA,NA_VVw,ikwe,ikwew2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,odikwensiwaang,o<<ikwew2>>nsiwaang,JDN-2010-Nouns,,,
141,NA,NA_VVw,ikwe,ikwew2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,odikwensining,o<<ikwew2>>nsining,JDN-2010-Nouns,,,
142,NA,NA_VVw,ikwe,ikwew2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,odikwensining,o<<ikwew2>>nsining,GUESS,,,
171,NA,NA_VVw,ikwe,ikwew2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nindikwensiming,ni<<ikwew2>>nsiming,JDN-2010-Nouns,,,
