Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_VVy,akiwenzii,akiwenziiy1,NONE,NONE,NONE,NONE,NONE,Loc,akiwenziiying,<<akiwenziiy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,NONE,Dim,NONE,NONE,NONE,Loc,akiwenziiyensing,<<akiwenziiy1>>ensing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,NONE,NONE,NONE,Pej,NONE,Loc,akiwenziiyishing,<<akiwenziiy1>>ishing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,NONE,Dim,NONE,Pej,NONE,Loc,akiwenziiyenzhishing,<<akiwenziiy1>>enzhishing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindakiwenziiying,ni<<akiwenziiy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindakiwenziiyinaang,ni<<akiwenziiy1>>inaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,InclPoss,NONE,NONE,NONE,NONE,Loc,gidakiwenziiyinaang,gi<<akiwenziiy1>>inaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidakiwenziiying,gi<<akiwenziiy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidakiwenziiyiwaang,gi<<akiwenziiy1>>iwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odakiwenziiying,o<<akiwenziiy1>>ing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odakiwenziiyiwaang,o<<akiwenziiy1>>iwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odakiwenziiyining,o<<akiwenziiy1>>ining,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odakiwenziiyining,o<<akiwenziiy1>>ining,GUESS,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindakiwenziiyiming,ni<<akiwenziiy1>>iming,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,ExclPoss,NONE,Poss,NONE,NONE,Loc,nindakiwenziiyiminaang,ni<<akiwenziiy1>>iminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,InclPoss,NONE,Poss,NONE,NONE,Loc,gidakiwenziiyiminaang,gi<<akiwenziiy1>>iminaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidakiwenziiyiming,gi<<akiwenziiy1>>iming,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidakiwenziiyimiwaang,gi<<akiwenziiy1>>imiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odakiwenziiyiming,o<<akiwenziiy1>>iming,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odakiwenziiyimiwaang,o<<akiwenziiy1>>imiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odakiwenziiyimining,o<<akiwenziiy1>>imining,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odakiwenziiyimining,o<<akiwenziiy1>>imining,GUESS,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindakiwenziiyensing,ni<<akiwenziiy1>>ensing,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,ExclPoss,Dim,NONE,NONE,NONE,Loc,nindakiwenziiyensinaang,ni<<akiwenziiy1>>ensinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVy,akiwenzii,akiwenziiy1,InclPoss,Dim,NONE,NONE,NONE,Loc,gidakiwenziiyensinaang,gi<<akiwenziiy1>>ensinaang,JDN-2010-Nouns,,,,,,
