,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,NONE,ProxSg,inini,<<ininiw2>>a,JDN-2010-Nouns
1,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,NONE,ProxPl,ininiwag,<<ininiw2>>ag,JDN-2010-Nouns
2,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,NONE,ObvSg,ininiwan,<<ininiw2>>an,JDN-2010-Nouns
3,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,NONE,ObvPl,ininiwa',<<ininiw2>>a',JDN-2010-Nouns
4,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,NONE,Loc,ininiing,<<ininiw2>>V1ng,JDN-2010-Nouns
5,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,NONE,Voc,ininiwidog,<<ininiw2>>idog,JDN-2010-Nouns
6,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,NONE,NONE,ProxSg,ininiins,<<ininiw2>>V1ns,JDN-2010-Nouns
7,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,NONE,NONE,ProxPl,ininiinsag,<<ininiw2>>V1nsag,JDN-2010-Nouns
8,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,NONE,NONE,ObvSg,ininiinsan,<<ininiw2>>V1nsan,JDN-2010-Nouns
9,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,NONE,NONE,ObvPl,ininiinsa',<<ininiw2>>V1nsa',JDN-2010-Nouns
10,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,NONE,NONE,Loc,ininiinsing,<<ininiw2>>V1nsing,JDN-2010-Nouns
11,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,NONE,NONE,Voc,ininiinsidog,<<ininiw2>>V1nsidog,JDN-2010-Nouns
12,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,Pej,NONE,ProxSg,ininiwish,<<ininiw2>>ish,JDN-2010-Nouns
13,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,Pej,NONE,ProxPl,ininiwishag,<<ininiw2>>ishag,JDN-2010-Nouns
14,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,Pej,NONE,ObvSg,ininiwishan,<<ininiw2>>ishan,JDN-2010-Nouns
15,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,Pej,NONE,ObvPl,ininiwisha',<<ininiw2>>isha',JDN-2010-Nouns
16,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,Pej,NONE,Loc,ininiwishing,<<ininiw2>>ishing,JDN-2010-Nouns
17,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,Pej,NONE,Voc,ininiwishidog,<<ininiw2>>ishidog,JDN-2010-Nouns
18,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,Pret,ProxSg,ininiwiban,<<ininiw2>>iban,JDN-2010-Nouns
19,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,Pret,ProxPl,ininiwibaniig,<<ininiw2>>ibaniig,JDN-2010-Nouns
20,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,Pret,ObvSg,ininiwibaniin,<<ininiw2>>ibaniin,JDN-2010-Nouns
21,NA,NA_Vw,inini,ininiw2,NONE,NONE,NONE,NONE,Pret,ObvPl,ininiwibanii',<<ininiw2>>ibanii',JDN-2010-Nouns
22,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,Pej,NONE,ProxSg,ininiinzhish,<<ininiw2>>V1nzhish,JDN-2010-Nouns
23,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,Pej,NONE,ProxPl,ininiinzhishag,<<ininiw2>>V1nzhishag,JDN-2010-Nouns
24,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,Pej,NONE,ObvSg,ininiinzhishan,<<ininiw2>>V1nzhishan,JDN-2010-Nouns
25,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,Pej,NONE,ObvPl,ininiinzhisha',<<ininiw2>>V1nzhisha',JDN-2010-Nouns
26,NA,NA_Vw,inini,ininiw2,NONE,Dim,NONE,Pej,NONE,Loc,ininiinzhishing,<<ininiw2>>V1nzhishing,JDN-2010-Nouns
