Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NA,Irregular Cw,amik,<<amikw2>>,DIM,amikoons,<<amikw2>>oons,JDN2011
NA,Irregular Cw,amik,<<amikw2>>,PEJ,amikosh,<<amikw2>>osh,JDN2011
NA,Irregular Cw,amik,<<amikw2>>,ProxSg,amik,<<amikw2>>a,OPD
NA,Irregular Cw,amik,<<amikw2>>,ProxPl,amikwag,<<amikw2>>ag,JDN2011
NA,Irregular Cw,amik,<<amikw2>>,LOC,amikong,<<amikw2>>ong,JDN2011
NA,Irregular Cw,amik,<<amikw2>>,PRET,amikoban,<<amikw2>>oban,JDN2011
NA,Irregular Cw,amik,<<amikw2>>,ObvSg,amikwan,<<amikw2>>an,JDN2011
NA,Irregular Cw,amik,<<amikw2>>,ObvPl,amikwa',<<amikw2>>a',inferred
NA,Irregular Cw,makwa,<<makw2>>,DIM,makoons,<<makw2>>oons,JDN2011
NA,Irregular Cw,makwa,<<makw2>>,PEJ,makosh,<<makw2>>osh,JDN2011
NA,Irregular Cw,makwa,<<makw2>>,ProxSg,makwa,<<makw2>>a,OPD
NA,Irregular Cw,makwa,<<makw2>>,ProxPl,makwag,<<makw2>>ag,JDN2011
NA,Irregular Cw,makwa,<<makw2>>,LOC,makong,<<makw2>>ong,JDN2011
NA,Irregular Cw,makwa,<<makw2>>,PRET,makoban,<<makw2>>oban,inferred
NA,Irregular Cw,makwa,<<makw2>>,ObvSg,makwan,<<makw2>>an,JDN2011
NA,Irregular Cw,makwa,<<makw2>>,ObvPl,makwa',<<makw2>>a',inferred
NI,AA-Augment,mashkimod,<<mashkimod>>,PRET,NA,NA,NA
