Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindamikong,ni<<amikw2>>ong,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindamikoming,ni<<amikw2>>oming,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindamikoonsing,ni<<amikw2>>oonsing,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nindamikoonsiming,ni<<amikw2>>oonsiming,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nindamikoshing,ni<<amikw2>>oshing,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nindamikomishing,ni<<amikw2>>omishing,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nindamikoonzhishing,ni<<amikw2>>oonzhishing,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nindamikoonsimishing,ni<<amikw2>>oonsimishing,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nindamikwa',ni<<amikw2>>a',JDN-2010-Nouns,nindamikwan,ni<<amikw2>>an,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nindamikoma',ni<<amikw2>>oma',JDN-2010-Nouns,nindamikoman,ni<<amikw2>>oman,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,nindamikoonsa',ni<<amikw2>>oonsa',JDN-2010-Nouns,nindamikoonsan,ni<<amikw2>>oonsan,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,nindamikoonsima',ni<<amikw2>>oonsima',JDN-2010-Nouns,nindamikoonsiman,ni<<amikw2>>oonsiman,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,nindamikosha',ni<<amikw2>>osha',JDN-2010-Nouns,nindamikoshan,ni<<amikw2>>oshan,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,nindamikomisha',ni<<amikw2>>omisha',JDN-2010-Nouns,nindamikomishan,ni<<amikw2>>omishan,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,Pej,NONE,ObvPl,nindamikoonzhisha',ni<<amikw2>>oonzhisha',JDN-2010-Nouns,nindamikoonzhishan,ni<<amikw2>>oonzhishan,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,Pej,NONE,ObvPl,nindamikoonsimisha',ni<<amikw2>>oonsimisha',JDN-2010-Nouns,nindamikoonsimishan,ni<<amikw2>>oonsimishan,JDN-2010-Nouns,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,nindamikwan,ni<<amikw2>>an,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,NONE,ObvSg,nindamikoman,ni<<amikw2>>oman,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,NONE,ObvSg,nindamikoonsan,ni<<amikw2>>oonsan,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,NONE,ObvSg,nindamikoonsiman,ni<<amikw2>>oonsiman,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,Pej,NONE,ObvSg,nindamikoshan,ni<<amikw2>>oshan,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,Pej,NONE,ObvSg,nindamikomishan,ni<<amikw2>>omishan,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,Pej,NONE,ObvSg,nindamikoonzhishan,ni<<amikw2>>oonzhishan,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,Pej,NONE,ObvSg,nindamikoonsimishan,ni<<amikw2>>oonsimishan,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,nindamikwag,ni<<amikw2>>ag,JDN-2010-Nouns,nindamikog,ni<<amikw2>>og,OPD,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,Poss,NONE,NONE,ProxPl,nindamikomag,ni<<amikw2>>omag,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,NONE,NONE,NONE,ProxPl,nindamikoonsag,ni<<amikw2>>oonsag,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,Dim,Poss,NONE,NONE,ProxPl,nindamikoonsimag,ni<<amikw2>>oonsimag,JDN-2010-Nouns,,,,,,
NA,NA_irrCw,amik,amikw2,1SgPoss,NONE,NONE,Pej,NONE,ProxPl,nindamikoshag,ni<<amikw2>>oshag,JDN-2010-Nouns,,,,,,
