Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NID,NID_C,kaad,kaad,1SgPoss,NONE,NONE,NONE,NONE,Loc,nikaading,n<<kaad>>ing,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,ExclPoss,NONE,NONE,NONE,NONE,Loc,nikaadinaang,n<<kaad>>inaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,InclPoss,NONE,NONE,NONE,NONE,Loc,gikaadinaang,g<<kaad>>inaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,2SgPoss,NONE,NONE,NONE,NONE,Loc,gikaading,g<<kaad>>ing,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,2PlPoss,NONE,NONE,NONE,NONE,Loc,gikaadiwaang,g<<kaad>>iwaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,okaading,w<<kaad>>ing,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,okaadiwaang,w<<kaad>>iwaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,okaadining,w<<kaad>>ining,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,okaadining,w<<kaad>>ining,GUESS,,,
NID,NID_C,kaad,kaad,1SgPoss,NONE,Poss,NONE,NONE,Loc,nikaadiming,n<<kaad>>iming,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,ExclPoss,NONE,Poss,NONE,NONE,Loc,nikaadiminaang,n<<kaad>>iminaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,InclPoss,NONE,Poss,NONE,NONE,Loc,gikaadiminaang,g<<kaad>>iminaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,2SgPoss,NONE,Poss,NONE,NONE,Loc,gikaadiming,g<<kaad>>iming,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,2PlPoss,NONE,Poss,NONE,NONE,Loc,gikaadimiwaang,g<<kaad>>imiwaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,okaadiming,w<<kaad>>iming,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,okaadimiwaang,w<<kaad>>imiwaang,JDN-2010-Nouns,,,
NID,NID_C,kaad,kaad,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,okaadimining,w<<kaad>>imining,JDN-2010-Nouns,,,
