Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,NONE,NONE,NONE,Pl,nigidigoon,n<<gidigw2>>oon,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,NONE,NONE,NONE,Pl,nigidigonaanin,n<<gidigw2>>onaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,NONE,NONE,NONE,Pl,gigidigonaanin,g<<gidigw2>>onaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,NONE,NONE,NONE,Pl,gigidigoon,g<<gidigw2>>oon,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,NONE,NONE,NONE,Pl,gigidigowaan,g<<gidigw2>>owaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,ogidigoon,w<<gidigw2>>oon,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,ogidigowaan,w<<gidigw2>>owaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,ogidigoni,w<<gidigw2>>oniw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,ogidigoni,w<<gidigw2>>oniw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,NONE,NONE,NONE,Sg,nigidig,n<<gidigw2>>,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,NONE,NONE,NONE,Sg,nigidigonaan,n<<gidigw2>>onaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,NONE,NONE,NONE,Sg,gigidigonaan,g<<gidigw2>>onaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,NONE,NONE,NONE,Sg,gigidig,g<<gidigw2>>,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,NONE,NONE,NONE,Sg,gigidigowaa,g<<gidigw2>>owaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,NONE,NONE,NONE,Sg,ogidig,w<<gidigw2>>,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,NONE,NONE,NONE,Sg,ogidigowaa,w<<gidigw2>>owaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,NONE,NONE,NONE,Sg,ogidigoni,w<<gidigw2>>oniw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,NONE,NONE,NONE,Sg,ogidigoni,w<<gidigw2>>oniw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,NONE,NONE,NONE,Loc,nigidigong,n<<gidigw2>>ong,JDN-2010-Nouns
