,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,NONE,NONE,Pl,nidisiin,n<<disy2>>iin,JDN-2010-Nouns
1,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,NONE,NONE,Pl,nidisiinaanin,n<<disy2>>iinaanin,JDN-2010-Nouns
2,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,NONE,NONE,Pl,gidisiinaanin,g<<disy2>>iinaanin,JDN-2010-Nouns
3,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,NONE,NONE,Pl,gidisiin,g<<disy2>>iin,JDN-2010-Nouns
4,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,NONE,NONE,Pl,gidisiiwaan,g<<disy2>>iiwaan,JDN-2010-Nouns
5,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,odisiin,w<<disy2>>iin,JDN-2010-Nouns
6,NID,NID_Cy,disy,disy2,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,odisiiwaan,w<<disy2>>iiwaan,JDN-2010-Nouns
7,NID,NID_Cy,disy,disy2,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,odisiini,w<<disy2>>iiniw1,JDN-2010-Nouns
8,NID,NID_Cy,disy,disy2,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,odisiini,w<<disy2>>iiniw1,GUESS
9,NID,NID_Cy,disy,disy2,1SgPoss,NONE,NONE,NONE,NONE,Sg,nidis,n<<disy2>>,GUESS
10,NID,NID_Cy,disy,disy2,ExclPoss,NONE,NONE,NONE,NONE,Sg,nidisiinaan,n<<disy2>>iinaan,JDN-2010-Nouns
11,NID,NID_Cy,disy,disy2,InclPoss,NONE,NONE,NONE,NONE,Sg,gidisiinaan,g<<disy2>>iinaan,JDN-2010-Nouns
12,NID,NID_Cy,disy,disy2,2SgPoss,NONE,NONE,NONE,NONE,Sg,gidis,g<<disy2>>,JDN-2010-Nouns
13,NID,NID_Cy,disy,disy2,2PlPoss,NONE,NONE,NONE,NONE,Sg,gidisiiwaa,g<<disy2>>iiwaa,JDN-2010-Nouns
14,NID,NID_Cy,disy,disy2,3SgProxPoss,NONE,NONE,NONE,NONE,Sg,odis,w<<disy2>>,JDN-2010-Nouns
