,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NID,NID_aa,denaniw,denaniw,1SgPoss,NONE,NONE,NONE,NONE,Pl,nidenaniwan,n<<denaniw>>an,JDN-2010-Nouns
1,NID,NID_aa,denaniw,denaniw,ExclPoss,NONE,NONE,NONE,NONE,Pl,nidenaniwaanaanin,n<<denaniw>>aanaanin,JDN-2010-Nouns
2,NID,NID_aa,denaniw,denaniw,InclPoss,NONE,NONE,NONE,NONE,Pl,gidenaniwaanaanin,g<<denaniw>>aanaanin,JDN-2010-Nouns
3,NID,NID_aa,denaniw,denaniw,2SgPoss,NONE,NONE,NONE,NONE,Pl,gidenaniwan,g<<denaniw>>an,JDN-2010-Nouns
4,NID,NID_aa,denaniw,denaniw,2PlPoss,NONE,NONE,NONE,NONE,Pl,gidenaniwaawaan,g<<denaniw>>aawaan,JDN-2010-Nouns
5,NID,NID_aa,denaniw,denaniw,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,odenaniwan,w<<denaniw>>an,JDN-2010-Nouns
6,NID,NID_aa,denaniw,denaniw,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,odenaniwaawaan,w<<denaniw>>aawaan,JDN-2010-Nouns
7,NID,NID_aa,denaniw,denaniw,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,odenaniwaani,w<<denaniw>>aaniw1,JDN-2010-Nouns
8,NID,NID_aa,denaniw,denaniw,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,odenaniwaani,w<<denaniw>>aaniw1,GUESS
9,NID,NID_aa,denaniw,denaniw,1SgPoss,NONE,NONE,NONE,NONE,Sg,nidenaniw,n<<denaniw>>,JDN-2010-Nouns
10,NID,NID_aa,denaniw,denaniw,ExclPoss,NONE,NONE,NONE,NONE,Sg,nidenaniwaanaan,n<<denaniw>>aanaan,JDN-2010-Nouns
11,NID,NID_aa,denaniw,denaniw,InclPoss,NONE,NONE,NONE,NONE,Sg,gidenaniwaanaan,g<<denaniw>>aanaan,JDN-2010-Nouns
12,NID,NID_aa,denaniw,denaniw,2SgPoss,NONE,NONE,NONE,NONE,Sg,gidenaniw,g<<denaniw>>,JDN-2010-Nouns
13,NID,NID_aa,denaniw,denaniw,2PlPoss,NONE,NONE,NONE,NONE,Sg,gidenaniwaawaa,g<<denaniw>>aawaa,JDN-2010-Nouns
14,NID,NID_aa,denaniw,denaniw,3SgProxPoss,NONE,NONE,NONE,NONE,Sg,odenaniw,w<<denaniw>>,JDN-2010-Nouns
15,NID,NID_aa,denaniw,denaniw,3PlProxPoss,NONE,NONE,NONE,NONE,Sg,odenaniwaawaa,w<<denaniw>>aawaa,JDN-2010-Nouns
16,NID,NID_aa,denaniw,denaniw,3SgObvPoss,NONE,NONE,NONE,NONE,Sg,odenaniwaani,w<<denaniw>>aaniw1,JDN-2010-Nouns
17,NID,NID_aa,denaniw,denaniw,3PlObvPoss,NONE,NONE,NONE,NONE,Sg,odenaniwaani,w<<denaniw>>aaniw1,GUESS
18,NID,NID_aa,denaniw,denaniw,1SgPoss,NONE,NONE,NONE,NONE,Loc,nidenaniwaang,n<<denaniw>>aang,JDN-2010-Nouns
19,NID,NID_aa,denaniw,denaniw,ExclPoss,NONE,NONE,NONE,NONE,Loc,nidenaniwaanaang,n<<denaniw>>aanaang,JDN-2010-Nouns
20,NID,NID_aa,denaniw,denaniw,InclPoss,NONE,NONE,NONE,NONE,Loc,gidenaniwaanaang,g<<denaniw>>aanaang,JDN-2010-Nouns
21,NID,NID_aa,denaniw,denaniw,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidenaniwaang,g<<denaniw>>aang,JDN-2010-Nouns
22,NID,NID_aa,denaniw,denaniw,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidenaniwaawaang,g<<denaniw>>aawaang,JDN-2010-Nouns
23,NID,NID_aa,denaniw,denaniw,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odenaniwaang,w<<denaniw>>aang,JDN-2010-Nouns
24,NID,NID_aa,denaniw,denaniw,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odenaniwaawaang,w<<denaniw>>aawaang,JDN-2010-Nouns
25,NID,NID_aa,denaniw,denaniw,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odenaniwaaning,w<<denaniw>>aaning,JDN-2010-Nouns
26,NID,NID_aa,denaniw,denaniw,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odenaniwaaning,w<<denaniw>>aaning,GUESS
27,NID,NID_aa,denaniw,denaniw,1SgPoss,NONE,Poss,NONE,NONE,Pl,nidenaniwaaman,n<<denaniw>>aaman,JDN-2010-Nouns
28,NID,NID_aa,denaniw,denaniw,ExclPoss,NONE,Poss,NONE,NONE,Pl,nidenaniwaaminaanin,n<<denaniw>>aaminaanin,JDN-2010-Nouns
29,NID,NID_aa,denaniw,denaniw,InclPoss,NONE,Poss,NONE,NONE,Pl,gidenaniwaaminaanin,g<<denaniw>>aaminaanin,JDN-2010-Nouns
30,NID,NID_aa,denaniw,denaniw,2SgPoss,NONE,Poss,NONE,NONE,Pl,gidenaniwaaman,g<<denaniw>>aaman,JDN-2010-Nouns
31,NID,NID_aa,denaniw,denaniw,2PlPoss,NONE,Poss,NONE,NONE,Pl,gidenaniwaamiwaan,g<<denaniw>>aamiwaan,JDN-2010-Nouns
32,NID,NID_aa,denaniw,denaniw,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,odenaniwaaman,w<<denaniw>>aaman,JDN-2010-Nouns
33,NID,NID_aa,denaniw,denaniw,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,odenaniwaamiwaan,w<<denaniw>>aamiwaan,JDN-2010-Nouns
34,NID,NID_aa,denaniw,denaniw,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,odenaniwaamini,w<<denaniw>>aaminiw1,JDN-2010-Nouns
35,NID,NID_aa,denaniw,denaniw,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,odenaniwaamini,w<<denaniw>>aaminiw1,GUESS
36,NID,NID_aa,denaniw,denaniw,1SgPoss,NONE,Poss,NONE,NONE,Sg,nidenaniwaam,n<<denaniw>>aam,JDN-2010-Nouns
37,NID,NID_aa,denaniw,denaniw,ExclPoss,NONE,Poss,NONE,NONE,Sg,nidenaniwaaminaan,n<<denaniw>>aaminaan,JDN-2010-Nouns
38,NID,NID_aa,denaniw,denaniw,InclPoss,NONE,Poss,NONE,NONE,Sg,gidenaniwaaminaan,g<<denaniw>>aaminaan,JDN-2010-Nouns
39,NID,NID_aa,denaniw,denaniw,2SgPoss,NONE,Poss,NONE,NONE,Sg,gidenaniwaam,g<<denaniw>>aam,JDN-2010-Nouns
40,NID,NID_aa,denaniw,denaniw,2PlPoss,NONE,Poss,NONE,NONE,Sg,gidenaniwaamiwaa,g<<denaniw>>aamiwaa,JDN-2010-Nouns
41,NID,NID_aa,denaniw,denaniw,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,odenaniwaam,w<<denaniw>>aam,JDN-2010-Nouns
42,NID,NID_aa,denaniw,denaniw,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,odenaniwaamiwaa,w<<denaniw>>aamiwaa,JDN-2010-Nouns
43,NID,NID_aa,denaniw,denaniw,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,odenaniwaamini,w<<denaniw>>aaminiw1,JDN-2010-Nouns
44,NID,NID_aa,denaniw,denaniw,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,odenaniwaamini,w<<denaniw>>aaminiw1,GUESS
45,NID,NID_aa,denaniw,denaniw,1SgPoss,NONE,Poss,NONE,NONE,Loc,nidenaniwaaming,n<<denaniw>>aaming,JDN-2010-Nouns
46,NID,NID_aa,denaniw,denaniw,ExclPoss,NONE,Poss,NONE,NONE,Loc,nidenaniwaaminaang,n<<denaniw>>aaminaang,JDN-2010-Nouns
47,NID,NID_aa,denaniw,denaniw,InclPoss,NONE,Poss,NONE,NONE,Loc,gidenaniwaaminaang,g<<denaniw>>aaminaang,JDN-2010-Nouns
48,NID,NID_aa,denaniw,denaniw,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidenaniwaaming,g<<denaniw>>aaming,JDN-2010-Nouns
49,NID,NID_aa,denaniw,denaniw,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidenaniwaamiwaang,g<<denaniw>>aamiwaang,JDN-2010-Nouns
50,NID,NID_aa,denaniw,denaniw,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odenaniwaaming,w<<denaniw>>aaming,JDN-2010-Nouns
51,NID,NID_aa,denaniw,denaniw,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odenaniwaamiwaang,w<<denaniw>>aamiwaang,JDN-2010-Nouns
52,NID,NID_aa,denaniw,denaniw,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odenaniwaamining,w<<denaniw>>aamining,JDN-2010-Nouns
53,NID,NID_aa,denaniw,denaniw,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odenaniwaamining,w<<denaniw>>aamining,GUESS
54,NID,NID_aa,denaniw,denaniw,1SgPoss,Dim,NONE,NONE,NONE,Pl,nidenaniwensan,n<<denaniw>>ensan,JDN-2010-Nouns
55,NID,NID_aa,denaniw,denaniw,ExclPoss,Dim,NONE,NONE,NONE,Pl,nidenaniwensinaanin,n<<denaniw>>ensinaanin,JDN-2010-Nouns
56,NID,NID_aa,denaniw,denaniw,InclPoss,Dim,NONE,NONE,NONE,Pl,gidenaniwensinaanin,g<<denaniw>>ensinaanin,JDN-2010-Nouns
57,NID,NID_aa,denaniw,denaniw,2SgPoss,Dim,NONE,NONE,NONE,Pl,gidenaniwensan,g<<denaniw>>ensan,JDN-2010-Nouns
58,NID,NID_aa,denaniw,denaniw,2PlPoss,Dim,NONE,NONE,NONE,Pl,gidenaniwensiwaan,g<<denaniw>>ensiwaan,JDN-2010-Nouns
