,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,NONE,NONE,Sg,jiimaan,<<jiimaan>>,JDN-2010-Nouns
1,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,NONE,NONE,Pl,jiimaanan,<<jiimaan>>an,JDN-2010-Nouns
2,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,NONE,NONE,Loc,jiimaaning,<<jiimaan>>ing,JDN-2010-Nouns
3,NI,NI_C,jiimaan,jiimaan,NONE,Dim,NONE,NONE,NONE,Sg,jiimaanens,<<jiimaan>>ens,JDN-2010-Nouns
4,NI,NI_C,jiimaan,jiimaan,NONE,Dim,NONE,NONE,NONE,Pl,jiimaanensan,<<jiimaan>>ensan,JDN-2010-Nouns
5,NI,NI_C,jiimaan,jiimaan,NONE,Dim,NONE,NONE,NONE,Loc,jiimaanensing,<<jiimaan>>ensing,JDN-2010-Nouns
6,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,Pej,NONE,Sg,jiimaanish,<<jiimaan>>ish,JDN-2010-Nouns
7,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,Pej,NONE,Pl,jiimaanishan,<<jiimaan>>ishan,JDN-2010-Nouns
8,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,Pej,NONE,Loc,jiimaanishing,<<jiimaan>>ishing,JDN-2010-Nouns
9,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,NONE,Pret,Sg,jiimaaniban,<<jiimaan>>iban,JDN-2010-Nouns
10,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,NONE,Pret,Pl,jiimaanibaniin,<<jiimaan>>ibaniin,JDN-2010-Nouns
11,NI,NI_C,jiimaan,jiimaan,NONE,NONE,NONE,NONE,Pret,Loc,jiimaanibaning,<<jiimaan>>ibaning,JDN-2010-Nouns
12,NI,NI_C,jiimaan,jiimaan,NONE,Dim,NONE,Pej,NONE,Sg,jiimaanenzhish,<<jiimaan>>enzhish,JDN-2010-Nouns
