Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,NA,NA,Sg,jiimaan,<<jiimaan>>,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,NA,NA,Pl,jiimaanan,<<jiimaan>>an,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,NA,NA,Loc,jiimaaning,<<jiimaan>>ing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,Dim,NA,NA,NA,Sg,jiimaanens,<<jiimaan>>ens,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,Dim,NA,NA,NA,Pl,jiimaanensan,<<jiimaan>>ensan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,Dim,NA,NA,NA,Loc,jiimaanensing,<<jiimaan>>ensing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,Pej,NA,Sg,jiimaanish,<<jiimaan>>ish,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,Pej,NA,Pl,jiimaanishan,<<jiimaan>>ishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,Pej,NA,Loc,jiimaanishing,<<jiimaan>>ishing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,NA,Pret,Sg,jiimaaniban,<<jiimaan>>iban,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,NA,Pret,Pl,jiimaanibaniin,<<jiimaan>>ibaniin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,NA,NA,NA,Pret,Loc,jiimaanibaning,<<jiimaan>>ibaning,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,Dim,NA,Pej,NA,Sg,jiimaanenzhish,<<jiimaan>>enzhish,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,Dim,NA,Pej,NA,Pl,jiimaanenzhishan,<<jiimaan>>enzhishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,NA,Dim,NA,Pej,NA,Loc,jiimaanenzhishing,<<jiimaan>>enzhishing,JDN-2010-Nouns
