Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,NONE,NONE,NONE,NONE,Loc,aniibiishibagong,<<aniibiishibagw2>>ong,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,Dim,NONE,NONE,NONE,Loc,aniibiishibagoonsing,<<aniibiishibagw2>>oonsing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,NONE,NONE,Pej,NONE,Loc,aniibiishibagoshing,<<aniibiishibagw2>>oshing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,Dim,NONE,Pej,NONE,Loc,aniibiishibagoonzhishing,<<aniibiishibagw2>>oonzhishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindaniibiishibagong,ni<<aniibiishibagw2>>ong,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindaniibiishibagonaang,ni<<aniibiishibagw2>>onaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidaniibiishibagonaang,gi<<aniibiishibagw2>>onaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidaniibiishibagong,gi<<aniibiishibagw2>>ong,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidaniibiishibagowaang,gi<<aniibiishibagw2>>owaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odaniibiishibagong,o<<aniibiishibagw2>>ong,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odaniibiishibagowaang,o<<aniibiishibagw2>>owaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odaniibiishibagoning,o<<aniibiishibagw2>>oning,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odaniibiishibagoning,o<<aniibiishibagw2>>oning,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindaniibiishibagoming,ni<<aniibiishibagw2>>oming,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,NONE,Poss,NONE,NONE,Loc,nindaniibiishibagominaang,ni<<aniibiishibagw2>>ominaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,NONE,Poss,NONE,NONE,Loc,gidaniibiishibagominaang,gi<<aniibiishibagw2>>ominaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidaniibiishibagoming,gi<<aniibiishibagw2>>oming,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidaniibiishibagomiwaang,gi<<aniibiishibagw2>>omiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odaniibiishibagoming,o<<aniibiishibagw2>>oming,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odaniibiishibagomiwaang,o<<aniibiishibagw2>>omiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odaniibiishibagomining,o<<aniibiishibagw2>>omining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odaniibiishibagomining,o<<aniibiishibagw2>>omining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindaniibiishibagoonsing,ni<<aniibiishibagw2>>oonsing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nindaniibiishibagoonsinaang,ni<<aniibiishibagw2>>oonsinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,Dim,NONE,NONE,NONE,Loc,gidaniibiishibagoonsinaang,gi<<aniibiishibagw2>>oonsinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gidaniibiishibagoonsing,gi<<aniibiishibagw2>>oonsing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gidaniibiishibagoonsiwaang,gi<<aniibiishibagw2>>oonsiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,odaniibiishibagoonsing,o<<aniibiishibagw2>>oonsing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,odaniibiishibagoonsiwaang,o<<aniibiishibagw2>>oonsiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,odaniibiishibagoonsining,o<<aniibiishibagw2>>oonsining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,odaniibiishibagoonsining,o<<aniibiishibagw2>>oonsining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nindaniibiishibagoonsiming,ni<<aniibiishibagw2>>oonsiming,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,Dim,Poss,NONE,NONE,Loc,nindaniibiishibagoonsiminaang,ni<<aniibiishibagw2>>oonsiminaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,Dim,Poss,NONE,NONE,Loc,gidaniibiishibagoonsiminaang,gi<<aniibiishibagw2>>oonsiminaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,Dim,Poss,NONE,NONE,Loc,gidaniibiishibagoonsiming,gi<<aniibiishibagw2>>oonsiming,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gidaniibiishibagoonsimiwaang,gi<<aniibiishibagw2>>oonsimiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,odaniibiishibagoonsiming,o<<aniibiishibagw2>>oonsiming,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,odaniibiishibagoonsimiwaang,o<<aniibiishibagw2>>oonsimiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odaniibiishibagoonsimining,o<<aniibiishibagw2>>oonsimining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,odaniibiishibagoonsimining,o<<aniibiishibagw2>>oonsimining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nindaniibiishibagoshing,ni<<aniibiishibagw2>>oshing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nindaniibiishibagoshinaang,ni<<aniibiishibagw2>>oshinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,NONE,NONE,Pej,NONE,Loc,gidaniibiishibagoshinaang,gi<<aniibiishibagw2>>oshinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gidaniibiishibagoshing,gi<<aniibiishibagw2>>oshing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gidaniibiishibagoshiwaang,gi<<aniibiishibagw2>>oshiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,odaniibiishibagoshing,o<<aniibiishibagw2>>oshing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,odaniibiishibagoshiwaang,o<<aniibiishibagw2>>oshiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,odaniibiishibagoshining,o<<aniibiishibagw2>>oshining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,odaniibiishibagoshining,o<<aniibiishibagw2>>oshining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nindaniibiishibagomishing,ni<<aniibiishibagw2>>omishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,NONE,Poss,Pej,NONE,Loc,nindaniibiishibagomishinaang,ni<<aniibiishibagw2>>omishinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,NONE,Poss,Pej,NONE,Loc,gidaniibiishibagomishinaang,gi<<aniibiishibagw2>>omishinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,NONE,Poss,Pej,NONE,Loc,gidaniibiishibagomishing,gi<<aniibiishibagw2>>omishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gidaniibiishibagomishiwaang,gi<<aniibiishibagw2>>omishiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishing,o<<aniibiishibagw2>>omishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishiwaang,o<<aniibiishibagw2>>omishiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishining,o<<aniibiishibagw2>>omishining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishining,o<<aniibiishibagw2>>omishining,GUESS,,,
