Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cy,anit,anity2,NONE,NONE,NONE,NONE,NONE,Loc,anitiing,<<anity2>>iing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,NONE,Dim,NONE,NONE,NONE,Loc,anitiinsing,<<anity2>>iinsing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,NONE,NONE,NONE,Pej,NONE,Loc,anitiishing,<<anity2>>iishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,NONE,Dim,NONE,Pej,NONE,Loc,anitiinzhishing,<<anity2>>iinzhishing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nindanitiing,ni<<anity2>>iing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nindanitiinaang,ni<<anity2>>iinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,NONE,NONE,NONE,Loc,gidanitiinaang,gi<<anity2>>iinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gidanitiing,gi<<anity2>>iing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gidanitiiwaang,gi<<anity2>>iiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,odanitiing,o<<anity2>>iing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,odanitiiwaang,o<<anity2>>iiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,odanitiining,o<<anity2>>iining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,odanitiining,o<<anity2>>iining,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nindanitiiming,ni<<anity2>>iiming,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,Poss,NONE,NONE,Loc,nindanitiiminaang,ni<<anity2>>iiminaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,Poss,NONE,NONE,Loc,gidanitiiminaang,gi<<anity2>>iiminaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,Poss,NONE,NONE,Loc,gidanitiiming,gi<<anity2>>iiming,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gidanitiimiwaang,gi<<anity2>>iimiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,odanitiiming,o<<anity2>>iiming,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,odanitiimiwaang,o<<anity2>>iimiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,odanitiimining,o<<anity2>>iimining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,odanitiimining,o<<anity2>>iimining,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nindanitiinsing,ni<<anity2>>iinsing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,Dim,NONE,NONE,NONE,Loc,nindanitiinsinaang,ni<<anity2>>iinsinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,Dim,NONE,NONE,NONE,Loc,gidanitiinsinaang,gi<<anity2>>iinsinaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,Dim,NONE,NONE,NONE,Loc,gidanitiinsing,gi<<anity2>>iinsing,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gidanitiinsiwaang,gi<<anity2>>iinsiwaang,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,odanitiinsing,o<<anity2>>iinsing,JDN-2010-Nouns,,,
