Paradigm,Class,Lemma,Stem,Suffix,Form1Surface,Form1Split,Form1Source
NI,Cy-final,anit,<<anity2>>,DIM,anitiins,<<anity2>>iins,JDN2011
NI,Cy-final,anit,<<anity2>>,PEJ,anitiish,<<anity2>>iish,JDN2011
NI,Cy-final,anit,<<anity2>>,Sg,anit,<<anity2>>i,OPD
NI,Cy-final,anit,<<anity2>>,Pl,anitiin,<<anity2>>iin,JDN2011
NI,Cy-final,anit,<<anity2>>,LOC,anitiing,<<anity2>>iing,inferred
NI,Cy-final,anit,<<anity2>>,PRET,anitiiban,<<anity2>>iiban,inferred
NI,CY-final,aki,<<aky2>>,DIM,akiins,<<aky2>>iins,JDN2011
NI,CY-final,aki,<<aky2>>,PEJ,akiish,<<aky2>>iish,JDN2011
NI,CY-final,aki,<<aky2>>,Sg,aki,<<aky2>>i,OPD
NI,CY-final,aki,<<aky2>>,Pl,akiin,<<aky2>>iin,JDN2011
NI,CY-final,aki,<<aky2>>,LOC,akiing,<<aky2>>iing,JDN2011
NI,CY-final,aki,<<aky2>>,PRET,akiiban,<<aky2>>iiban,inferred
