,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
0,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,NONE,NONE,Sg,miikana,<<miikan>>a1,OPD,,,
1,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,NONE,NONE,Pl,miikanan,<<miikan>>an,OPD,,,
2,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,NONE,NONE,Loc,miikanaang,<<miikan>>aang,OPD,,,
3,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,NONE,NONE,Sg,miikanens,<<miikan>>ens,OPD,,<<miikan>>aans,OPD
4,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,NONE,NONE,Pl,miikanensan,<<miikan>>ensan,OPD,,<<miikan>>aansan,OPD
5,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,NONE,NONE,Loc,miikanensing,<<miikan>>ensing,OPD,,<<miikan>>aansing,OPD
6,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,Pej,NONE,Sg,miikanaash,<<miikan>>aash,OPD,,,
7,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,Pej,NONE,Pl,miikanaashan,<<miikan>>aashan,OPD,,,
8,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,Pej,NONE,Loc,miikanaashing,<<miikan>>aashing,OPD,,,
9,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,NONE,Pret,Sg,miikanaaban,<<miikan>>aaban,OPD,,,
10,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,NONE,Pret,Pl,miikanaabaniin,<<miikan>>aabaniin,OPD,,,
11,NI,NI_kana,miikana,miikan,NONE,NONE,NONE,NONE,Pret,Loc,miikanaabaning,<<miikan>>aabaning,OPD,,,
12,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,Pej,NONE,Sg,miikanenzhish,<<miikan>>enzhish,OPD,,<<miikan>>aanzhish,OPD
13,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,Pej,NONE,Pl,miikanenzhishan,<<miikan>>enzhishan,OPD,,<<miikan>>aanzhishan,OPD
14,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,Pej,NONE,Loc,miikanenzhishing,<<miikan>>enzhishing,OPD,,<<miikan>>aanzhishing,OPD
15,NI,NI_kana,miikana,miikan,NONE,Dim,NONE,NONE,Pret,Sg,miikanensiban,<<miikan>>ensiban,OPD,,<<miikan>>aansiban,OPD
