,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
0,NI,NI_C,mishi,mis1,NONE,NONE,NONE,NONE,NONE,Sg,mishi,<<mis1>>i2,JDN-2010-Nouns
1,NI,NI_C,mishi,mis1,NONE,NONE,NONE,NONE,NONE,Pl,misan,<<mis1>>an,JDN-2010-Nouns
2,NI,NI_C,mishi,mis1,NONE,NONE,NONE,NONE,NONE,Loc,mising,<<mis1>>ing,JDN-2010-Nouns
3,NI,NI_C,mishi,mis1,NONE,Dim,NONE,NONE,NONE,Sg,misens,<<mis1>>ens,JDN-2010-Nouns
4,NI,NI_C,mishi,mis1,NONE,Dim,NONE,NONE,NONE,Pl,misensan,<<mis1>>ensan,JDN-2010-Nouns
5,NI,NI_C,mishi,mis1,NONE,Dim,NONE,NONE,NONE,Loc,misensing,<<mis1>>ensing,JDN-2010-Nouns
6,NI,NI_C,mishi,mis1,NONE,NONE,NONE,Pej,NONE,Sg,misish,<<mis1>>ish,JDN-2010-Nouns
7,NI,NI_C,mishi,mis1,NONE,NONE,NONE,Pej,NONE,Pl,misishan,<<mis1>>ishan,JDN-2010-Nouns
8,NI,NI_C,mishi,mis1,NONE,NONE,NONE,Pej,NONE,Loc,misishing,<<mis1>>ishing,JDN-2010-Nouns
9,NI,NI_C,mishi,mis1,NONE,NONE,NONE,NONE,Pret,Sg,misiban,<<mis1>>iban,JDN-2010-Nouns
10,NI,NI_C,mishi,mis1,NONE,NONE,NONE,NONE,Pret,Pl,misibaniin,<<mis1>>ibaniin,JDN-2010-Nouns
11,NI,NI_C,mishi,mis1,NONE,NONE,NONE,NONE,Pret,Loc,misibaning,<<mis1>>ibaning,JDN-2010-Nouns
12,NI,NI_C,mishi,mis1,NONE,Dim,NONE,Pej,NONE,Sg,misenzhish,<<mis1>>enzhish,JDN-2010-Nouns
13,NI,NI_C,mishi,mis1,NONE,Dim,NONE,Pej,NONE,Pl,misenzhishan,<<mis1>>enzhishan,JDN-2010-Nouns
14,NI,NI_C,mishi,mis1,NONE,Dim,NONE,Pej,NONE,Loc,misenzhishing,<<mis1>>enzhishing,JDN-2010-Nouns
15,NI,NI_C,mishi,mis1,NONE,Dim,NONE,NONE,Pret,Sg,misensiban,<<mis1>>ensiban,JDN-2010-Nouns
16,NI,NI_C,mishi,mis1,NONE,Dim,NONE,NONE,Pret,Pl,misensibaniin,<<mis1>>ensibaniin,JDN-2010-Nouns
17,NI,NI_C,mishi,mis1,NONE,Dim,NONE,NONE,Pret,Loc,misensibaning,<<mis1>>ensibaning,JDN-2010-Nouns
18,NI,NI_C,mishi,mis1,1SgPoss,NONE,NONE,NONE,NONE,Pl,nimisan,ni<<mis1>>an,JDN-2010-Nouns
19,NI,NI_C,mishi,mis1,ExclPoss,NONE,NONE,NONE,NONE,Pl,nimisinaanin,ni<<mis1>>inaanin,JDN-2010-Nouns
20,NI,NI_C,mishi,mis1,InclPoss,NONE,NONE,NONE,NONE,Pl,gimisinaanin,gi<<mis1>>inaanin,JDN-2010-Nouns
21,NI,NI_C,mishi,mis1,2SgPoss,NONE,NONE,NONE,NONE,Pl,gimisan,gi<<mis1>>an,JDN-2010-Nouns
22,NI,NI_C,mishi,mis1,2PlPoss,NONE,NONE,NONE,NONE,Pl,gimisiwaan,gi<<mis1>>iwaan,JDN-2010-Nouns
23,NI,NI_C,mishi,mis1,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,omisan,o<<mis1>>an,JDN-2010-Nouns
24,NI,NI_C,mishi,mis1,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,omisiwaan,o<<mis1>>iwaan,JDN-2010-Nouns
25,NI,NI_C,mishi,mis1,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,omisini,o<<mis1>>iniw1,JDN-2010-Nouns
26,NI,NI_C,mishi,mis1,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,omisini,o<<mis1>>iniw1,GUESS
27,NI,NI_C,mishi,mis1,1SgPoss,NONE,NONE,NONE,NONE,Sg,nimishi,ni<<mis1>>i2,JDN-2010-Nouns
28,NI,NI_C,mishi,mis1,ExclPoss,NONE,NONE,NONE,NONE,Sg,nimisinaan,ni<<mis1>>inaan,JDN-2010-Nouns
29,NI,NI_C,mishi,mis1,InclPoss,NONE,NONE,NONE,NONE,Sg,gimisinaan,gi<<mis1>>inaan,JDN-2010-Nouns
30,NI,NI_C,mishi,mis1,2SgPoss,NONE,NONE,NONE,NONE,Sg,gimishi,gi<<mis1>>i2,JDN-2010-Nouns
31,NI,NI_C,mishi,mis1,2PlPoss,NONE,NONE,NONE,NONE,Sg,gimisiwaa,gi<<mis1>>iwaa,JDN-2010-Nouns
32,NI,NI_C,mishi,mis1,3SgProxPoss,NONE,NONE,NONE,NONE,Sg,omishi,o<<mis1>>i2,JDN-2010-Nouns
33,NI,NI_C,mishi,mis1,3PlProxPoss,NONE,NONE,NONE,NONE,Sg,omisiwaa,o<<mis1>>iwaa,JDN-2010-Nouns
34,NI,NI_C,mishi,mis1,3SgObvPoss,NONE,NONE,NONE,NONE,Sg,omisini,o<<mis1>>iniw1,JDN-2010-Nouns
