,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
0,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,NONE,NONE,Sg,wiiyagasenh,<<wiiyagasenhy1>>,JDN-2010-Nouns,,,
1,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,NONE,NONE,Pl,wiiyagasenyan,<<wiiyagasenhy1>>an,JDN-2010-Nouns,,,
2,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,NONE,NONE,Loc,wiiyagasenying,<<wiiyagasenhy1>>ing,JDN-2010-Nouns,,,
3,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,Dim,NONE,NONE,NONE,Sg,wiiyagasenyens,<<wiiyagasenhy1>>ens,JDN-2010-Nouns,,,
4,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,Dim,NONE,NONE,NONE,Pl,wiiyagasenyensan,<<wiiyagasenhy1>>ensan,JDN-2010-Nouns,,,
5,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,Dim,NONE,NONE,NONE,Loc,wiiyagasenyensing,<<wiiyagasenhy1>>ensing,JDN-2010-Nouns,,,
6,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,Pej,NONE,Sg,wiiyagasenyish,<<wiiyagasenhy1>>ish,JDN-2010-Nouns,,,
7,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,Pej,NONE,Pl,wiiyagasenyishan,<<wiiyagasenhy1>>ishan,JDN-2010-Nouns,,,
8,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,Pej,NONE,Loc,wiiyagasenyishing,<<wiiyagasenhy1>>ishing,JDN-2010-Nouns,,,
9,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,NONE,Pret,Sg,wiiyagasenyiban,<<wiiyagasenhy1>>iban,JDN-2010-Nouns,,,
10,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,NONE,Pret,Pl,wiiyagasenyibaniin,<<wiiyagasenhy1>>ibaniin,JDN-2010-Nouns,,,
11,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,NONE,NONE,NONE,Pret,Loc,wiiyagasenyibaning,<<wiiyagasenhy1>>ibaning,JDN-2010-Nouns,,,
12,NI,NI_VVny,wiiyagasenh,wiiyagasenhy1,NONE,Dim,NONE,Pej,NONE,Sg,wiiyagasenyenzhish,<<wiiyagasenhy1>>enzhish,JDN-2010-Nouns,,,
