Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nimoong,ni<<moow2>>ng,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,NONE,Loc,nimooming,ni<<moow2>>ming,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,NONE,Loc,nimoonsing,ni<<moow2>>nsing,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimoonsiming,ni<<moow2>>nsiming,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimoowishing,ni<<moow2>>ishing,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nimoomishing,ni<<moow2>>mishing,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimoonzhishing,ni<<moow2>>nzhishing,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nimoonsimishing,ni<<moow2>>nsimishing,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nimoowa',ni<<moow2>>a',GUESS,nimoowan,ni<<moow2>>an,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nimooma',ni<<moow2>>ma',GUESS,nimooman,ni<<moow2>>man,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,nimoonsa',ni<<moow2>>nsa',GUESS,nimoonsan,ni<<moow2>>nsan,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,nimoonsima',ni<<moow2>>nsima',GUESS,nimoonsiman,ni<<moow2>>nsiman,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,nimoowisha',ni<<moow2>>isha',GUESS,nimoowishan,ni<<moow2>>ishan,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,nimoomisha',ni<<moow2>>misha',GUESS,nimoomishan,ni<<moow2>>mishan,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,Pej,NONE,ObvPl,nimoonzhisha',ni<<moow2>>nzhisha',GUESS,nimoonzhishan,ni<<moow2>>nzhishan,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,Pej,NONE,ObvPl,nimoonsimisha',ni<<moow2>>nsimisha',GUESS,nimoonsimishan,ni<<moow2>>nsimishan,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,NONE,ObvSg,nimoowan,ni<<moow2>>an,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,NONE,ObvSg,nimooman,ni<<moow2>>man,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,NONE,ObvSg,nimoonsan,ni<<moow2>>nsan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,NONE,ObvSg,nimoonsiman,ni<<moow2>>nsiman,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,Pej,NONE,ObvSg,nimoowishan,ni<<moow2>>ishan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,Pej,NONE,ObvSg,nimoomishan,ni<<moow2>>mishan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,Pej,NONE,ObvSg,nimoonzhishan,ni<<moow2>>nzhishan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,Pej,NONE,ObvSg,nimoonsimishan,ni<<moow2>>nsimishan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,NONE,ProxPl,nimoowag,ni<<moow2>>ag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,NONE,ProxPl,nimoomag,ni<<moow2>>mag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,NONE,ProxPl,nimoonsag,ni<<moow2>>nsag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,NONE,ProxPl,nimoonsimag,ni<<moow2>>nsimag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,Pej,NONE,ProxPl,nimoowishag,ni<<moow2>>ishag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,Pej,NONE,ProxPl,nimoomishag,ni<<moow2>>mishag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,Pej,NONE,ProxPl,nimoonzhishag,ni<<moow2>>nzhishag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,Pej,NONE,ProxPl,nimoonsimishag,ni<<moow2>>nsimishag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,NONE,ProxSg,nimoo,ni<<moow2>>,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,NONE,ProxSg,nimoom,ni<<moow2>>m,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,NONE,ProxSg,nimoons,ni<<moow2>>ns,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,NONE,ProxSg,nimoonsim,ni<<moow2>>nsim,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,Pej,NONE,ProxSg,nimoowish,ni<<moow2>>ish,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,Pej,NONE,ProxSg,nimoomish,ni<<moow2>>mish,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,Pej,NONE,ProxSg,nimoonzhish,ni<<moow2>>nzhish,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,Pej,NONE,ProxSg,nimoonsimish,ni<<moow2>>nsimish,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,NONE,LocDist,nimookaang,ni<<moow2>>kaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,NONE,LocDist,nimoomikaang,ni<<moow2>>mikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,NONE,LocDist,nimoonsikaang,ni<<moow2>>nsikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,NONE,LocDist,nimoonsimikaang,ni<<moow2>>nsimikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,Pej,NONE,LocDist,nimoowishikaang,ni<<moow2>>ishikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,Pej,NONE,LocDist,nimoomishikaang,ni<<moow2>>mishikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,Pej,NONE,LocDist,nimoonzhishikaang,ni<<moow2>>nzhishikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,Pej,NONE,LocDist,nimoonsimishikaang,ni<<moow2>>nsimishikaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,Pret,ObvPl,nimoobanii',ni<<moow2>>banii',GUESS,nimoobaniin,ni<<moow2>>baniin,GUESS,nimoobanen,ni<<moow2>>banen,GUESS
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,Pret,ObvPl,nimoomibanii',ni<<moow2>>mibanii',GUESS,nimoomibaniin,ni<<moow2>>mibaniin,GUESS,nimoomibanen,ni<<moow2>>mibanen,GUESS
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,Pret,ObvPl,nimoonsibanii',ni<<moow2>>nsibanii',GUESS,nimoonsibaniin,ni<<moow2>>nsibaniin,GUESS,nimoonsibanen,ni<<moow2>>nsibanen,GUESS
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,Pret,ObvPl,nimoonsimibanii',ni<<moow2>>nsimibanii',GUESS,nimoonsimibaniin,ni<<moow2>>nsimibaniin,GUESS,nimoonsimibanen,ni<<moow2>>nsimibanen,GUESS
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,Pret,ObvSg,nimoobaniin,ni<<moow2>>baniin,GUESS,nimoobanen,ni<<moow2>>banen,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,Pret,ObvSg,nimoomibaniin,ni<<moow2>>mibaniin,GUESS,nimoomibanen,ni<<moow2>>mibanen,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,Pret,ObvSg,nimoonsibaniin,ni<<moow2>>nsibaniin,GUESS,nimoonsibanen,ni<<moow2>>nsibanen,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,Pret,ObvSg,nimoonsimibaniin,ni<<moow2>>nsimibaniin,GUESS,nimoonsimibanen,ni<<moow2>>nsimibanen,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,Pret,ProxPl,nimoobaniig,ni<<moow2>>baniig,GUESS,nimoobaneg,ni<<moow2>>baneg,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,Pret,ProxPl,nimoomibaniig,ni<<moow2>>mibaniig,GUESS,nimoomibaneg,ni<<moow2>>mibaneg,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,Pret,ProxPl,nimoonsibaniig,ni<<moow2>>nsibaniig,GUESS,nimoonsibaneg,ni<<moow2>>nsibaneg,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,Pret,ProxPl,nimoonsimibaniig,ni<<moow2>>nsimibaniig,GUESS,nimoonsimibaneg,ni<<moow2>>nsimibaneg,GUESS,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,NONE,NONE,Pret,ProxSg,nimooban,ni<<moow2>>ban,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,NONE,Poss,NONE,Pret,ProxSg,nimoomiban,ni<<moow2>>miban,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,NONE,NONE,Pret,ProxSg,nimoonsiban,ni<<moow2>>nsiban,GUESS,,,,,,
NI,NI_VVw,moo,moow2,1SgPoss,Dim,Poss,NONE,Pret,ProxSg,nimoonsimiban,ni<<moow2>>nsimiban,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gimoowaang,gi<<moow2>>waang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gimoomiwaang,gi<<moow2>>miwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimoonsiwaang,gi<<moow2>>nsiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimoonsimiwaang,gi<<moow2>>nsimiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimoowishiwaang,gi<<moow2>>ishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gimoomishiwaang,gi<<moow2>>mishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimoonzhishiwaang,gi<<moow2>>nzhishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimoonsimishiwaang,gi<<moow2>>nsimishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gimoowaa',gi<<moow2>>waa',GUESS,gimoowaan,gi<<moow2>>waan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gimoomiwaa',gi<<moow2>>miwaa',GUESS,gimoomiwaan,gi<<moow2>>miwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gimoonsiwaa',gi<<moow2>>nsiwaa',GUESS,gimoonsiwaan,gi<<moow2>>nsiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gimoonsimiwaa',gi<<moow2>>nsimiwaa',GUESS,gimoonsimiwaan,gi<<moow2>>nsimiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,gimoowishiwaa',gi<<moow2>>ishiwaa',GUESS,gimoowishiwaan,gi<<moow2>>ishiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,ObvPl,gimoomishiwaa',gi<<moow2>>mishiwaa',GUESS,gimoomishiwaan,gi<<moow2>>mishiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,ObvPl,gimoonzhishiwaa',gi<<moow2>>nzhishiwaa',GUESS,gimoonzhishiwaan,gi<<moow2>>nzhishiwaan,GUESS,,,
