Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Vw,mashkiki,mashkikiw2,NONE,NONE,NONE,NONE,NONE,Loc,mashkikiing,<<mashkikiw2>>V1ng,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,NONE,Dim,NONE,NONE,NONE,Loc,mashkikiinsing,<<mashkikiw2>>V1nsing,JDN-2010-Nouns,mashkikiwensing,<<mashkikiw2>>ensing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,NONE,NONE,NONE,Pej,NONE,Loc,mashkikiwishing,<<mashkikiw2>>ishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,NONE,NONE,NONE,NONE,Pret,Loc,mashkikiwibaning,<<mashkikiw2>>ibaning,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,NONE,Dim,NONE,Pej,NONE,Loc,mashkikiinzhishing,<<mashkikiw2>>V1nzhishing,JDN-2010-Nouns,mashkikiwenzhishing,<<mashkikiw2>>enzhishing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,NONE,Dim,NONE,NONE,Pret,Loc,mashkikiinsibaning,<<mashkikiw2>>V1nsibaning,JDN-2010-Nouns,mashkikiwensibaning,<<mashkikiw2>>ensibaning,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,1SgPoss,NONE,NONE,NONE,NONE,Loc,nimashkikiing,ni<<mashkikiw2>>V1ng,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,ExclPoss,NONE,NONE,NONE,NONE,Loc,nimashkikiinaang,ni<<mashkikiw2>>V1naang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,InclPoss,NONE,NONE,NONE,NONE,Loc,gimashkikiinaang,gi<<mashkikiw2>>V1naang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,NONE,NONE,NONE,NONE,Loc,gimashkikiing,gi<<mashkikiw2>>V1ng,JDN-2010-Nouns,,,
