Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NI,NI_aa,mashkimod,mashkimod,NONE,NONE,NONE,NONE,NONE,Loc,mashkimodaang,<<mashkimod>>aang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,Dim,NONE,NONE,NONE,Loc,mashkimodensing,<<mashkimod>>ensing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,NONE,NONE,Pej,NONE,Loc,mashkimodaashing,<<mashkimod>>aashing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,NONE,NONE,NONE,Pret,Loc,mashkimodaabaning,<<mashkimod>>aabaning,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,Dim,NONE,Pej,NONE,Loc,mashkimodenzhishing,<<mashkimod>>enzhishing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,NONE,Dim,NONE,NONE,Pret,Loc,mashkimodensibaning,<<mashkimod>>ensibaning,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,NONE,NONE,NONE,Loc,nimashkimodaang,ni<<mashkimod>>aang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,NONE,NONE,NONE,Loc,nimashkimodaanaang,ni<<mashkimod>>aanaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,NONE,NONE,NONE,Loc,gimashkimodaanaang,gi<<mashkimod>>aanaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,NONE,NONE,NONE,Loc,gimashkimodaang,gi<<mashkimod>>aang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,NONE,NONE,NONE,Loc,gimashkimodaawaang,gi<<mashkimod>>aawaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,omashkimodaang,o<<mashkimod>>aang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,omashkimodaawaang,o<<mashkimod>>aawaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,omashkimodaaning,o<<mashkimod>>aaning,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,omashkimodaaning,o<<mashkimod>>aaning,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,Poss,NONE,NONE,Loc,nimashkimodaaming,ni<<mashkimod>>aaming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,Poss,NONE,NONE,Loc,nimashkimodaaminaang,ni<<mashkimod>>aaminaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,Poss,NONE,NONE,Loc,gimashkimodaaminaang,gi<<mashkimod>>aaminaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,Poss,NONE,NONE,Loc,gimashkimodaaming,gi<<mashkimod>>aaming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,Poss,NONE,NONE,Loc,gimashkimodaamiwaang,gi<<mashkimod>>aamiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,omashkimodaaming,o<<mashkimod>>aaming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,omashkimodaamiwaang,o<<mashkimod>>aamiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,omashkimodaamining,o<<mashkimod>>aamining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,omashkimodaamining,o<<mashkimod>>aamining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,NONE,NONE,NONE,Loc,nimashkimodensing,ni<<mashkimod>>ensing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,NONE,NONE,NONE,Loc,nimashkimodensinaang,ni<<mashkimod>>ensinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,NONE,NONE,NONE,Loc,gimashkimodensinaang,gi<<mashkimod>>ensinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,NONE,NONE,NONE,Loc,gimashkimodensing,gi<<mashkimod>>ensing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimashkimodensiwaang,gi<<mashkimod>>ensiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,omashkimodensing,o<<mashkimod>>ensing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,omashkimodensiwaang,o<<mashkimod>>ensiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,omashkimodensining,o<<mashkimod>>ensining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,omashkimodensining,o<<mashkimod>>ensining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,Poss,NONE,NONE,Loc,nimashkimodensiming,ni<<mashkimod>>ensiming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,Poss,NONE,NONE,Loc,nimashkimodensiminaang,ni<<mashkimod>>ensiminaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,Poss,NONE,NONE,Loc,gimashkimodensiminaang,gi<<mashkimod>>ensiminaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,Poss,NONE,NONE,Loc,gimashkimodensiming,gi<<mashkimod>>ensiming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimashkimodensimiwaang,gi<<mashkimod>>ensimiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensiming,o<<mashkimod>>ensiming,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensimiwaang,o<<mashkimod>>ensimiwaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensimining,o<<mashkimod>>ensimining,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omashkimodensimining,o<<mashkimod>>ensimining,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimashkimodaashing,ni<<mashkimod>>aashing,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,NONE,Pej,NONE,Loc,nimashkimodaashinaang,ni<<mashkimod>>aashinaang,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,NONE,Pej,NONE,Loc,gimashkimodaashinaang,gi<<mashkimod>>aashinaang,JDN-2010-Nouns
