Paradigm,Class,Lemma,Stem,Form1Surface,Form1Split,Form1Source
PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,wa'aw,wa'aw,wa'aw,<<wa'aw>>,OPD
PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,ongow,ongow,ongow,<<ongow>>,OPD
PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,onow,onow,onow,<<onow>>,OPD
PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,onow,onow,onow,<<onow>>,OPD
PRONDem+NI+Sg,PRONDem+NI+Sg,o'ow,o'ow,o'ow,<<o'ow>>,OPD
PRONDem+NI+Pl,PRONDem+NI+Pl,onow,onow,onow,<<onow>>,OPD
PRONDub+NI+Sg,PRONDub+NI+Sg,awegodogwen,awegodogwen,awegodogwen,<<awegodogwen>>,https://ojibwe.lib.umn.edu/main-entry/awegodogwen-pron-dub
PRONDub+NI+Pl,PRONDub+NI+Pl,awegodogwenan,awegodogwenan,awegodogwenan,<<awegodogwenan>>,https://ojibwe.lib.umn.edu/main-entry/awegodogwen-pron-dub
PRONDub+NA+ProxSg,PRONDub+NA+ProxSg,awegwen,awegwen,awegwen,<<awegwen>>,https://ojibwe.lib.umn.edu/main-entry/awegwen-pron-dub
PRONDub+NA+ProxPl,PRONDub+NA+ProxPl,awegwenag,awegwenag,awegwenag,<<awegwenag>>,https://ojibwe.lib.umn.edu/main-entry/awegwen-pron-dub
PRONDub+NA+ObvSg,PRONDub+NA+ObvSg,awegwenan,awegwenan,awegwenan,<<awegwenan>>,https://ojibwe.lib.umn.edu/main-entry/awegwen-pron-dub
PRONDub+NA+ObvPl,PRONDub+NA+ObvPl,awegwenan,awegwenan,awegwenan,<<awegwenan>>,https://ojibwe.lib.umn.edu/main-entry/awegwen-pron-dub
PRONIndf+NA,PRONIndf+NA,awiya,awiyaw2,awiyaw2,<<awiyaw2>>,https://ojibwe.lib.umn.edu/main-entry/awiya-pron-indf
PRONIndf+NI,PRONIndf+NI,gegoo,gegoo,gegoo,<<gegoo>>,https://ojibwe.lib.umn.edu/main-entry/gegoo-pron-indf
PRONInter+NA,PRONInter+NA,awenesh,awenesh,awenesh,<<awenesh>>,https://ojibwe.lib.umn.edu/main-entry/awenesh-pron-inter
PRONInter+NI+Sg,PRONInter+NI+Sg,wegonesh,wegonesh,wegonesh,<<wegonesh>>,https://ojibwe.lib.umn.edu/main-entry/wegonesh-pron-inter
PRONInter+NI+Pl,PRONInter+NI+Pl,wegonenan,wegonenan,wegonenan,<<wegonenan>>,https://ojibwe.lib.umn.edu/main-entry/wegonen-pron-inter
PRONInter+NA+ProxSg,PRONInter+NA+ProxSg,awenen,awenen,awenen,<<awenen>>,https://ojibwe.lib.umn.edu/main-entry/awenen-pron-inter
PRONInter+NA+ObvSg,PRONInter+NA+ObvSg,awenenan,awenenan,awenenan,<<awenenan>>,https://ojibwe.lib.umn.edu/main-entry/awenen-pron-inter
PRONInter+NA+ObvPl,PRONInter+NA+ObvPl,awenenan,awenenan,awenenan,<<awenenan>>,https://ojibwe.lib.umn.edu/main-entry/awenen-pron-inter
PRONInter+NA+ProxPl,PRONInter+NA+ProxPl,awenenag,awenenag,awenenag,<<awenenag>>,https://ojibwe.lib.umn.edu/main-entry/awenen-pron-inter
PRONPret+NA,PRONPret+NA,aweniban,aweniban,aweniban,<<aweniban>>,https://ojibwe.lib.umn.edu/main-entry/aweniban-pron-pret
PRONSim+NI+Sg,PRONSim+NI+Sg,dino,dinow2,dinow2,<<dinow2>>,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
PRONSim+NI+Pl,PRONSim+NI+Pl,dinowan,dinowan,dinowan,<<dinowan>>,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
PRONSim+NA+ProxSg,PRONSim+NA+ProxSg,dino,dinow2,dinow2,<<dinow2>>,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
PRONSim+NA+ProxPl,PRONSim+NA+ProxPl,dinowag,dinowag,dinowag,<<dinowag>>,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
PRONSim+NA+ObvSg,PRONSim+NA+ObvSg,dinowan,dinowan,dinowan,<<dinowan>>,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
PRONSim+NA+ObvPl,PRONSim+NA+ObvPl,dinowan,dinowan,dinowan,<<dinowan>>,https://ojibwe.lib.umn.edu/main-entry/dino-pron-sim
PRONPer+NA+1Sg,PRONPer+NA+1Sg,niin,niin,niin,<<niin>>,https://ojibwe.lib.umn.edu/main-entry/niin-pron-per
PRONPer+NA+2Pl,PRONPer+NA+2Pl,giinawaa,giinawaa,giinawaa,<<giinawaa>>,https://ojibwe.lib.umn.edu/main-entry/gegiinawaa-pron-per
PRONPer+NA+2Sg,PRONPer+NA+2Sg,giin,giin,giin,<<giin>>,https://ojibwe.lib.umn.edu/main-entry/giineta-pron-per
PRONPer+NA+3Pl,PRONPer+NA+3Pl,wiinawaa,wiinawaa,wiinawaa,<<wiinawaa>>,https://ojibwe.lib.umn.edu/main-entry/wiinawaa-pron-per
PRONPer+NA+3Sg,PRONPer+NA+3Sg,wiin,wiin,wiin,<<wiin>>,https://ojibwe.lib.umn.edu/main-entry/wiin-pron-per
PRONPer+NA+Excl,PRONPer+NA+Excl,niinawind,niinawind,niinawind,<<niinawind>>,https://ojibwe.lib.umn.edu/main-entry/niinawind-pron-per
PRONPer+NA+Incl,PRONPer+NA+Incl,giinawind,giinawind,giinawind,<<giinawind>>,https://ojibwe.lib.umn.edu/main-entry/giinawind-pron-per
