Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,Dub,Neg,maajiibatoosiiwaanen,<<maajiibatoo>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,Dub,Neg,madaabiisiiwaanen,<<madaabii>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,Dub,Neg,minongwaanziiwaanen,<<minongwaan>>ziiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,Dub,Neg,nagamosiiwaanen,<<nagamo>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,Dub,Neg,nibaasiiwaanen,<<nibaa>>siiwaanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,Dub,Neg,niimisiiwaanen,<<niimi>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,Dub,Neg,wanishinziiwaanen,<<wanishin>>ziiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,Dub,Neg,webinigesiiwaanen,<<webinige>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,Dub,Neg,zaaga'anziiwaanen,<<zaaga'>>anziiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,Dub,Pos,maajiibatoowaanen,<<maajiibatoo>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,Dub,Pos,madaabiiwaanen,<<madaabii>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,Dub,Pos,minongwaamowaanen,<<minongwaam>>owaanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,Dub,Pos,nagamowaanen,<<nagamo>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,Dub,Pos,nibaawaanen,<<nibaa>>waanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,Dub,Pos,niimiwaanen,<<niimi>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,Dub,Pos,wanishinowaanen,<<wanishin>>owaanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,Dub,Pos,webinigewaanen,<<webinige>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,Dub,Pos,zaaga'amowaanen,<<zaaga'>>amowaanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,DubPrt,Neg,maajiibatoosiiwaambaanen,<<maajiibatoo>>siiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,DubPrt,Neg,madaabiisiiwaambaanen,<<madaabii>>siiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,DubPrt,Neg,minongwaanziiwaambaanen,<<minongwaan>>ziiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,DubPrt,Neg,nagamosiiwaambaanen,<<nagamo>>siiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,DubPrt,Neg,nibaasiiwaambaanen,<<nibaa>>siiwaambaanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,DubPrt,Neg,niimisiiwaambaanen,<<niimi>>siiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,DubPrt,Neg,wanishinziiwaambaanen,<<wanishin>>ziiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,DubPrt,Neg,webinigesiiwaambaanen,<<webinige>>siiwaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,DubPrt,Neg,zaaga'amowaambaanen,<<zaaga'>>amowaambaanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,DubPrt,Pos,maajiibatoowaambaanen,<<maajiibatoo>>waambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,DubPrt,Pos,madaabiiwaambaanen,<<madaabii>>waambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,DubPrt,Pos,minongwaamowaambaanen,<<minongwaam>>owaambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,DubPrt,Pos,nagamowaambaanen,<<nagamo>>waambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,DubPrt,Pos,nibaawaambaanen,<<nibaa>>waambaanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,DubPrt,Pos,niimiwaambaanen,<<niimi>>waambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,DubPrt,Pos,wanishinowaambaanen,<<wanishin>>owaambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,DubPrt,Pos,webinigewaambaanen,<<webinige>>waambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,DubPrt,Pos,zaaga'amowaambaanen,<<zaaga'>>amowaambaanen,JDN-2010-MS-VAI-p35,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,Neu,Neg,maajiibatoosiwaan,<<maajiibatoo>>siwaan,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,Neu,Neg,madaabiisiwaan,<<madaabii>>siwaan,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,Neu,Neg,minongwaanziwaan,<<minongwaan>>ziwaan,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,Neu,Neg,nagamosiwaan,<<nagamo>>siwaan,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,Neu,Neg,nibaasiwaan,<<nibaa>>siwaan,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,Neu,Neg,niimisiwaan,<<niimi>>siwaan,JDN-2010-MS-VAI-p24,,,
