Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Imp,VAI_VV,nibaa,nibaa,2Sg,NA,Sim,NA,nibaan,<<nibaa>>n,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2Pl,NA,Sim,NA,nibaag,<<nibaa>>g,JDN-PC,nibaak,<<nibaa>>k,JDN-PC,nibaayok,<<nibaa>>yok,JDN-PC
VAI,Imp,VAI_VV,nibaa,nibaa,Incl,NA,Sim,NA,nibaadaa,<<nibaa>>daa,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2Sg,NA,Del,NA,nibaakan,<<nibaa>>kan,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2Pl,NA,Del,NA,nibaakeg,<<nibaa>>keg,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,Incl,NA,Del,NA,nibaakang,<<nibaa>>kang,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2Sg,NA,Prb,NA,nibaaken,<<nibaa>>ken,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2Pl,NA,Prb,NA,nibaakegon,<<nibaa>>kegon,JDN-PC,,,,,,
VAI,Imp,VAI_VV,nibaa,nibaa,Incl,NA,Prb,NA,nibaasiidaa,<<nibaa>>siidaa,JDN-PC,,,,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2Sg,NA,Sim,NA,zaaga'an,<<zaaga'>>an,JDN-PC,,,,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2Pl,NA,Sim,NA,zaaga'amog,<<zaaga'>>amog,JDN-PC,zaaga'amok,<<zaaga'>>amok,JDN-PC,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',Incl,NA,Sim,NA,zaaga'andaa,<<zaaga'>>andaa,JDN-PC,,,,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2Sg,NA,Del,NA,zaaga'amookan,<<zaaga'>>amookan,JDN-PC,,,,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2Pl,NA,Del,NA,zaaga'amookeg,<<zaaga'>>amookeg,JDN-PC,,,,,,
