Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlProx,NA,Neu,Neg,okogesigwaa,<<okoge>>sigwaa,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlObv,NA,Neu,Neg,okogesinig,<<okoge>>sinig,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,Excl,NA,Neu,Neg,okogesiwaang,<<okoge>>siwaang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,Incl,NA,Neu,Neg,okogesiwang,<<okoge>>siwang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,2Pl,NA,Neu,Neg,okogesiweg,<<okoge>>siweg,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlProx,NA,Neu,Pos,okogewaad,<<okoge>>waad,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlObv,NA,Neu,Pos,okogenid,<<okoge>>nid,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,Excl,NA,Neu,Pos,okogeyaang,<<okoge>>yaang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,Incl,NA,Neu,Pos,okogeyang,<<okoge>>yang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,2Pl,NA,Neu,Pos,okogeyeg,<<okoge>>yeg,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlProx,NA,Neu,Neg,okogesiiwag,<<okoge>>siiwag,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlObv,NA,Neu,Neg,okogesiiwa',<<okoge>>siiwa',GUESS,okogesiiwan,<<okoge>>siiwan,GUESS
VAI_Pl,Ind,VAI_VV,okogewag,okoge,Excl,NA,Neu,Neg,nindookogesiimin,ni<<okoge>>siimin,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,Incl,NA,Neu,Neg,gidookogesiimin,gi<<okoge>>siimin,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,2Pl,NA,Neu,Neg,gidookogesiim,gi<<okoge>>siim,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlProx,NA,Neu,Pos,okogewag,<<okoge>>wag,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlObv,NA,Neu,Pos,okogewa',<<okoge>>wa',GUESS,okogewan,<<okoge>>wan,GUESS
VAI_Pl,Ind,VAI_VV,okogewag,okoge,Excl,NA,Neu,Pos,nindookogemin,ni<<okoge>>min,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,Incl,NA,Neu,Pos,gidookogemin,gi<<okoge>>min,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,2Pl,NA,Neu,Pos,gidookogem,gi<<okoge>>m,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,3PlProx,NA,Neu,Neg,maamawoobisigwaa,<<maamawoobi>>sigwaa,GUESS,,,
