Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,
VII,Ind,VII_VV,ate,ate,0PlObv,NA,Neu,Pos,ateniwan,<<ate>>niwan,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_VV,ate,ate,0PlProx,NA,Neu,Pos,atewan,<<ate>>wan,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_VV,ate,ate,0SgObv,NA,Neu,Pos,ateni,<<ate>>niw,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_VV,ate,ate,0SgProx,NA,Neu,Pos,ate,<<ate>>,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_VV,ate,ate,0PlObv,NA,Neu,Neg,atesininiwan,<<ate>>sininiwan,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_VV,ate,ate,0PlProx,NA,Neu,Neg,atesinoon,<<ate>>sinoon,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_VV,ate,ate,0SgObv,NA,Neu,Neg,atesinini,<<ate>>sininiw,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_VV,ate,ate,0SgProx,NA,Neu,Neg,atesinoon,<<ate>>sinoon,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_VV,ate,ate,0PlObv,NA,Prt,Pos,ateniibaniin,<<ate>>niibaniin,JDN-2010-MS-VII-p6,ateniibanen,<<ate>>niibanen,JDN-2010-MS-VII-p6
VII,Ind,VII_VV,ate,ate,0PlProx,NA,Prt,Pos,atebaniin,<<ate>>baniin,JDN-2010-MS-VII-p6,atebanen,<<ate>>banen,JDN-2010-MS-VII-p6
VII,Ind,VII_VV,ate,ate,0SgObv,NA,Prt,Pos,ateniiban,<<ate>>niiban,JDN-2010-MS-VII-p6,,,
VII,Ind,VII_VV,ate,ate,0SgProx,NA,Prt,Pos,ateban,<<ate>>ban,JDN-2010-MS-VII-p6,,,
