Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,Neu,Pos,niibidegoodenig,<<niibidegoode>>nig,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,Neu,Pos,niibidegoodeg,<<niibidegoode>>g,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,Neu,Neg,niibidegoodesininig,<<niibidegoode>>sininig,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,Neu,Neg,niibidegoodesinog,<<niibidegoode>>sinog,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,Prt,Pos,niibidegoodenigiban,<<niibidegoode>>nigiban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,Prt,Pos,niibidegoodegiban,<<niibidegoode>>giban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,Prt,Neg,niibidegoodesininigiban,<<niibidegoode>>sininigiban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,Prt,Neg,niibidegoodesinoogiban,<<niibidegoode>>sinoogiban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,Dub,Pos,niibidegoodenigwen,<<niibidegoode>>nigwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,Dub,Pos,niibidegoodegwen,<<niibidegoode>>gwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,Dub,Neg,niibidegoodesininiigwen,<<niibidegoode>>sininiigwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,Dub,Neg,niibidegoodesinoogwen,<<niibidegoode>>sinoogwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,DubPrt,Pos,niibidegoodenigobanen,<<niibidegoode>>nigobanen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,DubPrt,Pos,niibidegoodegobanen,<<niibidegoode>>gobanen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObv,NA,DubPrt,Neg,niibidegoodesininigobanen,<<niibidegoode>>sininigobanen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0Pl,NA,DubPrt,Neg,niibidegoodesinoogobanen,<<niibidegoode>>sinoogobanen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObv,NA,Neu,Pos,dadaakwaakwadinig,<<dadaakwaakwad>>inig,GUESS,,,
