Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,1Sg,Dub,Neg,mikaagosiiwaanen,<<mikaa>>gosiiwaanen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,1Sg,Dub,Pos,mikaagowaanen,<<mikaa>>gowaanen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Pl,1Sg,Dub,Neg,mikawisiiwegwen,<<mikaw>>i1siiwegwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Pl,1Sg,Dub,Pos,mikawiwegwen,<<mikaw>>i1wegwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Sg,1Sg,Dub,Neg,mikawisiiwanen,<<mikaw>>i1siiwanen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Sg,1Sg,Dub,Pos,mikawiwanen,<<mikaw>>i1wanen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,1Sg,Dub,Neg,mikawisiiwaagwen,<<mikaw>>i1siiwaagwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,1Sg,Dub,Pos,mikawiwaagwen,<<mikaw>>i1waagwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,1Sg,Dub,Neg,mikawisiigwen,<<mikaw>>i1siigwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,1Sg,Dub,Pos,mikawigwen,<<mikaw>>i1gwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,X,1Sg,Dub,Neg,mikaagoosiiwaanen,<<mikaa>>goosiiwaanen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,X,1Sg,Dub,Pos,mikaagoowaanen,<<mikaa>>goowaanen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,1Sg,Neu,Neg,mikaagosiwaan,<<mikaa>>gosiwaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,1Sg,Neu,Pos,mikaagoyaan,<<mikaa>>goyaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Pl,1Sg,Neu,Neg,mikawisiweg,<<mikaw>>i1siweg,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Pl,1Sg,Neu,Pos,mikawiyeg,<<mikaw>>i1yeg,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Sg,1Sg,Neu,Neg,mikawisiwan,<<mikaw>>i1siwan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Sg,1Sg,Neu,Pos,mikawiyan,<<mikaw>>i1yan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,1Sg,Neu,Neg,mikawisigwaa,<<mikaw>>i1sigwaa,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,1Sg,Neu,Pos,mikawiwaad,<<mikaw>>i1waad,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,1Sg,Neu,Neg,mikawisig,<<mikaw>>i1sig,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,1Sg,Neu,Pos,mikawid,<<mikaw>>i1d,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,X,1Sg,Neu,Neg,mikaagoosiwaan,<<mikaa>>goosiwaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,X,1Sg,Neu,Pos,mikaagooyaan,<<mikaa>>gooyaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,1Sg,Prt,Neg,mikaagosiwaambaan,<<mikaa>>gosiwaambaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,1Sg,Prt,Pos,mikaagoyaambaan,<<mikaa>>goyaambaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Pl,1Sg,Prt,Neg,mikawisiwegiban,<<mikaw>>i1siwegiban,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Pl,1Sg,Prt,Pos,mikawiyegiban,<<mikaw>>i1yegiban,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Sg,1Sg,Prt,Neg,mikawisiwamban,<<mikaw>>i1siwamban,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,2Sg,1Sg,Prt,Pos,mikawiyamban,<<mikaw>>i1yamban,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,1Sg,Prt,Neg,mikawisigwaaban,<<mikaw>>i1sigwaaban,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,1Sg,Prt,Pos,mikawiwaapan,<<mikaw>>i1waapan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,1Sg,Prt,Neg,mikawisigoban,<<mikaw>>i1sigoban,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,1Sg,Prt,Pos,mikawipan,<<mikaw>>i1pan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,X,1Sg,Prt,Neg,mikaagoosiwaambaan,<<mikaa>>goosiwaambaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,X,1Sg,Prt,Pos,mikaagooyaambaan,<<mikaa>>gooyaambaan,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,2Pl,Dub,Neg,mikaagosiiwegwen,<<mikaa>>gosiiwegwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,0Sg/0Pl,2Pl,Dub,Pos,mikaagowegwen,<<mikaa>>gowegwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,1Sg,2Pl,Dub,Neg,mikoosinowagoogwen,<<mikoo>>sinowagoogwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,1Sg,2Pl,Dub,Pos,mikoonagoogwen,<<mikoo>>nagoogwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,2Pl,Dub,Neg,mikaagoosiiwegwen,<<mikaa>>goosiiwegwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3PlProx,2Pl,Dub,Pos,mikaagoowegwen,<<mikaa>>goowegwen,GUESS,,,
VTA,Cnj,VTA_aw,mikaw,mikaw,3SgProx,2Pl,Dub,Neg,mikaagoosiiwanen,<<mikaa>>goosiiwanen,GUESS,,,
