Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,1Sg,Del,,ganawaabamishiikeg,<<ganawaabam>>i1shiikeg,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3SgObv,Del,,ganawaabamishiikeg,<<ganawaabam>>i1shiikeg,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3PlObv,Del,,ganawaabamishiikeg,<<ganawaabam>>i1shiikeg,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3SgProx,Del,,ganawaabamaakang,<<ganawaabam>>aakang,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3PlProx,Del,,ganawaabamaakang,<<ganawaabam>>aakang,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,1Sg,Del,,ganawaabamishiikan,<<ganawaabam>>i1shiikan,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3SgObv,Del,,ganawaabamimaakan,<<ganawaabam>>imaakan,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3PlObv,Del,,ganawaabamimaakan,<<ganawaabam>>imaakan,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3SgProx,Del,,ganawaabamaakan,<<ganawaabam>>aakan,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3PlProx,Del,,ganawaabamaakan,<<ganawaabam>>aakan,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,Excl,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,Excl,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3PlProx,Del,,ganawaabamaakang,<<ganawaabam>>aakang,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3SgObv,Del,,ganawaabamimaakang,<<ganawaabam>>imaakang,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3PlObv,Del,,ganawaabamimaakang,<<ganawaabam>>imaakang,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3SgProx,Del,,ganawaabamaakang,<<ganawaabam>>aakang,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,1Sg,Prb,,ganawaabamishikegon,<<ganawaabam>>i1shikegon,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3SgObv,Prb,,ganawaabamimaakegon,<<ganawaabam>>imaakegon,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3PlObv,Prb,,ganawaabamimaakegon,<<ganawaabam>>imaakegon,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3SgProx,Prb,,ganawaabamaakegon,<<ganawaabam>>aakegon,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3PlProx,Prb,,ganawaabamaakegon,<<ganawaabam>>aakegon,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,1Sg,Prb,,ganawaabamishiken,<<ganawaabam>>i1shiken,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3SgObv,Prb,,ganawaabamimaaken,<<ganawaabam>>imaaken,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3PlObv,Prb,,ganawaabamimaaken,<<ganawaabam>>imaaken,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3SgProx,Prb,,ganawaabamaaken,<<ganawaabam>>aaken,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3PlProx,Prb,,ganawaabamaaken,<<ganawaabam>>aaken,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,Excl,Prb,,ganawaabamishikaangen,<<ganawaabam>>i1shikaangen,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,Excl,Prb,,ganawaabamishikaangen,<<ganawaabam>>i1shikaangen,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3PlProx,Prb,,ganawaabamaasiwaadaanig,<<ganawaabam>>aasiwaadaanig,JDN-2010-MS-VTA-p20,ganawaabamaasiidaanig,<<ganawaabam>>aasiidaanig,JDN-2010-MS-VTA-p20,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3SgObv,Prb,,ganawaabamimaasiwaadaa,<<ganawaabam>>imaasiwaadaa,GUESS,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3PlObv,Prb,,ganawaabamimaasiwaadaa,<<ganawaabam>>imaasiwaadaa,GUESS,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3SgProx,Prb,,ganawaabamaasiwaadaa,<<ganawaabam>>aasiwaadaa,JDN-2010-MS-VTA-p20,ganawaabamaasiidaa,<<ganawaabam>>aasiidaa,JDN-2010-MS-VTA-p20,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,1Sg,Sim,,ganawaabamishik,<<ganawaabam>>i1shik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3SgObv,Sim,,ganawaabamimik,<<ganawaabam>>imik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3PlObv,Sim,,ganawaabamimik,<<ganawaabam>>imik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3SgProx,Sim,,ganawaabamik,<<ganawaabam>>ik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,3PlProx,Sim,,ganawaabamik,<<ganawaabam>>ik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,1Sg,Sim,,ganawaabamishin,<<ganawaabam>>ishin,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3SgObv,Sim,,ganawaabamim,<<ganawaabam>>im,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3PlObv,Sim,,ganawaabamim,<<ganawaabam>>im,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3SgProx,Sim,,ganawaabam,<<ganawaabam>>i1,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,3PlProx,Sim,,ganawaabam,<<ganawaabam>>i1,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Sg,Excl,Sim,,ganawaabamishinaan,<<ganawaabam>>i1shinaan,JDN-2010-MS-VTA-p20,ganawaabamishinaang,<<ganawaabam>>i1shinaang,JDN-2010-MS-VTA-p20,ganawaabamishinaam,<<ganawaabam>>i1shinaam,JDN-2010-MS-VTA-p20
VTA,Imp,VTA_C,ganawaabam,ganawaabam,2Pl,Excl,Sim,,ganawaabamishinaan,<<ganawaabam>>i1shinaan,JDN-2010-MS-VTA-p20,ganawaabamishinaang,<<ganawaabam>>i1shinaang,JDN-2010-MS-VTA-p20,ganawaabamishinaam,<<ganawaabam>>i1shinaam,JDN-2010-MS-VTA-p20
