Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,1Sg,Dub,Neg,nimawadisigosiinaadogenan,ni<<mawadis>>igosiinaadogenan,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,1Sg,Dub,Neg,nimawadisigosiinaadog,ni<<mawadis>>igosiinaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Pl,1Sg,Dub,Neg,gimawadishisiimwaadog,gi<<mawadish>>i1siimwaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Sg,1Sg,Dub,Neg,gimawadishisiinaadog,gi<<mawadish>>i1siinaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,1Sg,Dub,Neg,nimawadisigosiidogenag,ni<<mawadis>>igosiidogenag,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,1Sg,Dub,Neg,nimawadisigosiidog,ni<<mawadis>>igosiidog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,1Sg,Dub,Neg,nimawadisigoosiinaadog,ni<<mawadis>>igoosiinaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,1Sg,Dub,Pos,nimawadisigonaadogenan,ni<<mawadis>>igonaadogenan,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,1Sg,Dub,Pos,nimawadisigonaadog,ni<<mawadis>>igonaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Pl,1Sg,Dub,Pos,gimawadishimwaadog,gi<<mawadish>>i1mwaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Sg,1Sg,Dub,Pos,gimawadishinaadog,gi<<mawadish>>i1naadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,1Sg,Dub,Pos,nimawadisigodogenag,ni<<mawadis>>igodogenag,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,1Sg,Dub,Pos,nimawadisigodog,ni<<mawadis>>igodog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,1Sg,Dub,Pos,nimawadisigoonaadog,ni<<mawadis>>igoonaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,1Sg,Neu,Neg,nimawadisigosiinan,ni<<mawadis>>igosiinan,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,1Sg,Neu,Neg,nimawadisigosiin,ni<<mawadis>>igosiin,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Pl,1Sg,Neu,Neg,gimawadishisiim,gi<<mawadish>>i1siim,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Sg,1Sg,Neu,Neg,gimawadishisiin,gi<<mawadish>>i1siin,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,1Sg,Neu,Neg,nimawadisigosiig,ni<<mawadis>>igosiig,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,1Sg,Neu,Neg,nimawadisigosiin,ni<<mawadis>>igosiin,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,1Sg,Neu,Neg,nimawadisigoosiin,ni<<mawadis>>igoosiin,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,1Sg,Neu,Pos,nimawadisigonan,ni<<mawadis>>igonan,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,1Sg,Neu,Pos,nimawadisigon,ni<<mawadis>>igon,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Pl,1Sg,Neu,Pos,gimawadishim,gi<<mawadish>>i1m,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Sg,1Sg,Neu,Pos,gimawadish,gi<<mawadish>>i1,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,1Sg,Neu,Pos,nimawadisigoog,ni<<mawadis>>igoog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,1Sg,Neu,Pos,nimawadisig,ni<<mawadis>>ig,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,1Sg,Neu,Pos,nimawadisigoo,ni<<mawadis>>igoo,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,1Sg,Prt,Neg,nimawadisigosiinaabanen,ni<<mawadis>>igosiinaabanen,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,1Sg,Prt,Neg,nimawadisigosiinaaban,ni<<mawadis>>igosiinaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Pl,1Sg,Prt,Neg,gimawadishisiimwaaban,gi<<mawadish>>i1siimwaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Sg,1Sg,Prt,Neg,gimawadishisiinaaban,gi<<mawadish>>i1siinaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,1Sg,Prt,Neg,nimawadisigosiibaneg,ni<<mawadis>>igosiibaneg,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,1Sg,Prt,Neg,nimawadisigosiiban,ni<<mawadis>>igosiiban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,1Sg,Prt,Neg,nimawadisigoosiinaaban,ni<<mawadis>>igoosiinaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,1Sg,Prt,Pos,nimawadisigonaabanen,ni<<mawadis>>igonaabanen,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,1Sg,Prt,Pos,nimawadisigonaaban,ni<<mawadis>>igonaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Pl,1Sg,Prt,Pos,gimawadishimwaaban,gi<<mawadish>>i1mwaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,2Sg,1Sg,Prt,Pos,gimawadishinaaban,gi<<mawadish>>i1naaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,1Sg,Prt,Pos,nimawadisigobaneg,ni<<mawadis>>igobaneg,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,1Sg,Prt,Pos,nimawadisigoban,ni<<mawadis>>igoban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,1Sg,Prt,Pos,nimawadisigoonaaban,ni<<mawadis>>igoonaaban,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Pl,2Pl,Dub,Neg,gimawadisigosiinaawaadogenan,gi<<mawadis>>igosiinaawaadogenan,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,0Sg,2Pl,Dub,Neg,gimawadisigosiinaawaadog,gi<<mawadis>>igosiinaawaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,1Sg,2Pl,Dub,Neg,gimawadisisinooninimwaadog,gi<<mawadis>>isinooninimwaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3PlProx,2Pl,Dub,Neg,gimawadisigosiiwaadogenag,gi<<mawadis>>igosiiwaadogenag,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,3SgProx,2Pl,Dub,Neg,gimawadisigosiiwaadog,gi<<mawadis>>igosiiwaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,Excl,2Pl,Dub,Neg,gimawadisigoosiimwaadog,gi<<mawadis>>igoosiimwaadog,JRV-Web-ANISH
VTA,Ind,VTA_s,mawadish,mawadis1,X,2Pl,Dub,Neg,gimawadisigoosiimwaadog,gi<<mawadis>>igoosiimwaadog,JRV-Web-ANISH
