Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VTA,Cnj,S,mawadish,mawadis,1Sg,1Sg,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,2Sg,2Sg,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,3PlProx,3PlProx,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,3SgProx,3SgProx,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,Excl,Excl,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,Incl,Incl,Neu,Neg,MISSING,,
VTA,Cnj,S,mawadish,mawadis,1Sg,1Sg,Neu,Pos,MISSING,,
VTA,Cnj,S,mawadish,mawadis,2Sg,2Sg,Neu,Pos,MISSING,,
VTA,Cnj,S,mawadish,mawadis,3PlProx,3PlProx,Neu,Pos,MISSING,,
VTA,Cnj,S,mawadish,mawadis,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Pos,MISSING,,
VTA,Cnj,S,mawadish,mawadis,3SgProx,3SgProx,Neu,Pos,MISSING,,
VTA,Cnj,S,mawadish,mawadis,Excl,Excl,Neu,Pos,MISSING,,
VTA,Cnj,S,mawadish,mawadis,Incl,Incl,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,1Sg,1Sg,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,2Sg,2Sg,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,3PlProx,3PlProx,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,3SgProx,3SgProx,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,Excl,Excl,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,Incl,Incl,Neu,Neg,MISSING,,
VTA,Cnj,N,miizh,miin,1Sg,1Sg,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,2Sg,2Sg,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,3PlProx,3PlProx,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,3SgProx,3SgProx,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,Excl,Excl,Neu,Pos,MISSING,,
VTA,Cnj,N,miizh,miin,Incl,Incl,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,1Sg,1Sg,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,2Sg,2Sg,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,3PlProx,3PlProx,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,3SgProx,3SgProx,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,Excl,Excl,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,Incl,Incl,Neu,Neg,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,1Sg,1Sg,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,2Sg,2Sg,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,3PlProx,3PlProx,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,3SgProx,3SgProx,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,Excl,Excl,Neu,Pos,MISSING,,
VTA,Cnj,aw,mikaw,mikaw,Incl,Incl,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,1Sg,1Sg,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,2Sg,2Sg,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,3PlProx,3PlProx,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,3SgProx,3SgProx,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,Excl,Excl,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,Incl,Incl,Neu,Neg,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,1Sg,1Sg,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,2Sg,2Sg,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,3PlProx,3PlProx,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,3SgProx,3SgProx,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,Excl,Excl,Neu,Pos,MISSING,,
VTA,Cnj,Cw,mizho,mizhw,Incl,Incl,Neu,Pos,MISSING,,
VTA,Cnj,Regular,waabam,waabam,1Sg,1Sg,Neu,Neg,waabandizosiwaan,,RV-Web
VTA,Cnj,Regular,waabam,waabam,2Sg,2Sg,Neu,Neg,waabandizosiwan,,RV-Web
VTA,Cnj,Regular,waabam,waabam,3PlProx,3PlProx,Neu,Neg,waabandizosigwaa,,RV-Web
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Neg,waabandizosinig,,RV-Web
VTA,Cnj,Regular,waabam,waabam,3SgProx,3SgProx,Neu,Neg,waabandizosig,,RV-Web
VTA,Cnj,Regular,waabam,waabam,Excl,Excl,Neu,Neg,waabandizosiwaang,,RV-Web
VTA,Cnj,Regular,waabam,waabam,Incl,Incl,Neu,Neg,waabandizosiwang,,RV-Web
VTA,Cnj,Regular,waabam,waabam,1Sg,1Sg,Neu,Pos,waabandizoyaan,,RV-Web
VTA,Cnj,Regular,waabam,waabam,2Sg,2Sg,Neu,Pos,waabandizoyan,,RV-Web
VTA,Cnj,Regular,waabam,waabam,3PlProx,3PlProx,Neu,Pos,waabandizowaad,,RV-Web
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3SgObv/3PlObv,Neu,Pos,waabandizonid,,RV-Web
VTA,Cnj,Regular,waabam,waabam,3SgProx,3SgProx,Neu,Pos,waabandizod,,RV-Web
VTA,Cnj,Regular,waabam,waabam,Excl,Excl,Neu,Pos,waabandizoyaang,,RV-Web
VTA,Cnj,Regular,waabam,waabam,Incl,Incl,Neu,Pos,waabandizoyang,,RV-Web
VTA,Ind,S,mawadish,mawadis,1Sg,1Sg,Neu,Pos,nimawadisidiz,,RV-Web
VTA,Ind,S,mawadish,mawadis,2Sg,2Sg,Neu,Pos,gimawadisidiz,,RV-Web
VTA,Ind,S,mawadish,mawadis,3PlProx,3PlProx,Neu,Pos,mawadisidizowag,,RV-Web
VTA,Ind,S,mawadish,mawadis,3SgObv,3SgObv,Neu,Pos,mawadisidizowan,,RV-Web
VTA,Ind,S,mawadish,mawadis,3SgObv,3PlObv,Neu,Pos,mawadisidizowa',,GUESS
VTA,Ind,S,mawadish,mawadis,3SgProx,3SgProx,Neu,Pos,mawadisidizo,,RV-Web
VTA,Ind,S,mawadish,mawadis,Excl,Excl,Neu,Pos,nimawadisidizomin,,RV-Web
VTA,Ind,S,mawadish,mawadis,Incl,Incl,Neu,Pos,gimawadisidizomin,,RV-Web
VTA,Ind,S,mawadish,mawadis,1Sg,1Sg,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,2Sg,2Sg,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,3PlProx,3PlProx,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,3SgObv,3SgObv,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,3SgObv,3PlObv,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,3SgProx,3SgProx,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,Excl,Excl,Neu,Neg,MISSING,,
VTA,Ind,S,mawadish,mawadis,Incl,Incl,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,1Sg,1Sg,Neu,Pos,nimiinidiz,,RV-Web
VTA,Ind,N,miizh,miin,2Sg,2Sg,Neu,Pos,gimiinidiz,,RV-Web
VTA,Ind,N,miizh,miin,3PlProx,3PlProx,Neu,Pos,miinidizowag,,RV-Web
VTA,Ind,N,miizh,miin,3SgObv,3SgObv,Neu,Pos,miinidizowan,,RV-Web
VTA,Ind,N,miizh,miin,3SgObv,3PlObv,Neu,Pos,miinidizowa',,GUESS
VTA,Ind,N,miizh,miin,3SgProx,3SgProx,Neu,Pos,miinidizo,,RV-Web
VTA,Ind,N,miizh,miin,Excl,Excl,Neu,Pos,nimiinidizomin,,RV-Web
VTA,Ind,N,miizh,miin,Incl,Incl,Neu,Pos,gimiinidizomin,,RV-Web
VTA,Ind,N,miizh,miin,1Sg,1Sg,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,2Sg,2Sg,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,3PlProx,3PlProx,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,3SgObv,3SgObv,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,3SgObv,3PlObv,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,3SgProx,3SgProx,Neu,Neg,MISSING,,
VTA,Ind,N,miizh,miin,Excl,Excl,Neu,Neg,MISSING,,
