Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Imp,VTI_aa,ayaan,ayaa,2Sg,0Sg,Del,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Sg,0Pl,Del,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Pl,0Sg,Del,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Pl,0Pl,Del,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,Incl,0Sg,Del,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,Incl,0Pl,Del,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Sg,0Sg,Prb,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Sg,0Pl,Prb,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Pl,0Sg,Prb,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Pl,0Pl,Prb,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,Incl,0Sg,Prb,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,Incl,0Pl,Prb,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Sg,0Sg,Sim,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Sg,0Pl,Sim,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Pl,0Sg,Sim,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,2Pl,0Pl,Sim,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,Incl,0Sg,Sim,NA,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,Incl,0Pl,Sim,NA,MISSING,,,,,
VTI,Imp,VTI_i,miijin,miiji,2Sg,0Sg,Del,NA,miijiikan,<<miiji>>ikan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,2Sg,0Pl,Del,NA,miijiikan,<<miiji>>ikan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,2Pl,0Sg,Del,NA,miijiikeg,<<miiji>>ikeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,2Pl,0Pl,Del,NA,miijiikeg,<<miiji>>ikeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,Incl,0Sg,Del,NA,miijiikang,<<miiji>>ikang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,Incl,0Pl,Del,NA,miijiikang,<<miiji>>ikang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,2Sg,0Sg,Prb,NA,miijiken,<<miiji>>ken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,2Sg,0Pl,Prb,NA,miijiken,<<miiji>>ken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,2Pl,0Sg,Prb,NA,miijikegon,<<miiji>>kegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,2Pl,0Pl,Prb,NA,miijikegon,<<miiji>>kegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,Incl,0Sg,Prb,NA,miijisiidaa,<<miiji>>siidaa,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,Incl,0Pl,Prb,NA,miijisiidaanin,<<miiji>>siidaanin,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,2Sg,0Sg,Sim,NA,miijin,<<miiji>>n,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_i,miijin,miiji,2Sg,0Pl,Sim,NA,miijin,<<miiji>>n,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_i,miijin,miiji,2Pl,0Sg,Sim,NA,miijig,<<miiji>>g,JDN-2010-MS-VTI-p43,miijik,<<miiji>>k,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_i,miijin,miiji,2Pl,0Pl,Sim,NA,miijig,<<miiji>>g,JDN-2010-MS-VTI-p43,miijik,<<miiji>>k,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_i,miijin,miiji,Incl,0Sg,Sim,NA,miijidaa,<<miiji>>daa,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_i,miijin,miiji,Incl,0Pl,Sim,NA,miijidaanin,<<miiji>>daanin,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,2Sg,0Sg,Del,NA,waabandamookan,<<waaband>>amookan,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,2Sg,0Pl,Del,NA,waabandamookan,<<waaband>>amookan,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Sg,Del,NA,waabandamookeg,<<waaband>>amookeg,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Pl,Del,NA,waabandamookeg,<<waaband>>amookeg,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,Incl,0Sg,Del,NA,waabandamookang,<<waaband>>amookang,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,Incl,0Pl,Del,NA,waabandamookang,<<waaband>>amookang,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,2Sg,0Sg,Prb,NA,waabandangen,<<waaband>>angen,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,2Sg,0Pl,Prb,NA,waabandangen,<<waaband>>angen,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,2Pl,0Sg,Prb,NA,waabandangegon,<<waaband>>angegon,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
