Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTI,Ind,VTI_aa,ayaan,ayaa,1Sg,0Pl,Neu,Pos,nidayaanan,ni<<ayaa>>nan,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,1Sg,0Sg,Neu,Pos,nidayaan,ni<<ayaa>>n,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Pl,0Pl,Neu,Pos,gidayaanaawaan,gi<<ayaa>>naawaan,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Pl,0Sg,Neu,Pos,gidayaanaawaa,gi<<ayaa>>naawaa,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Sg,0Pl,Neu,Pos,gidayaanan,gi<<ayaa>>nan,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Sg,0Sg,Neu,Pos,gidayaan,gi<<ayaa>>n,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Neu,Pos,odayaanaawaan,o<<ayaa>>naawaan,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Neu,Pos,odayaanaawaa,o<<ayaa>>naawaa,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Neu,Pos,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Neu,Pos,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Neu,Pos,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Neu,Pos,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Neu,Pos,odayaanan,o<<ayaa>>nan,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Neu,Pos,odayaan,o<<ayaa>>n,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Excl,0Pl,Neu,Pos,nidayaamin,ni<<ayaa>>min,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Excl,0Sg,Neu,Pos,nidayaamin,ni<<ayaa>>min,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Incl,0Pl,Neu,Pos,gidayaamin,gi<<ayaa>>min,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Incl,0Sg,Neu,Pos,gidayaamin,gi<<ayaa>>min,JDN-2010-MS-VTI-p7,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,X,0Pl,Neu,Pos,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,X,0Sg,Neu,Pos,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,1Sg,0Pl,Neu,Neg,nidayaasiinan,ni<<ayaa>>siinan,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,1Sg,0Sg,Neu,Neg,nidayaasiin,ni<<ayaa>>siin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Pl,0Pl,Neu,Neg,gidayaasiinaawaan,gi<<ayaa>>siinaawaan,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Pl,0Sg,Neu,Neg,gidayaasiinaawaa,gi<<ayaa>>siinaawaa,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Sg,0Pl,Neu,Neg,gidayaasiinan,gi<<ayaa>>siinan,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Sg,0Sg,Neu,Neg,gidayaasiin,gi<<ayaa>>siin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Neu,Neg,odayaasiinaawaan,o<<ayaa>>siinaawaan,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Neu,Neg,odayaasiinaawaa,o<<ayaa>>siinaawaa,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Neu,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Neu,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Neu,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Neu,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Neu,Neg,odayaasiinan,o<<ayaa>>siinan,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Neu,Neg,odayaasiin,o<<ayaa>>siin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Excl,0Pl,Neu,Neg,nidayaasiimin,ni<<ayaa>>siimin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Excl,0Sg,Neu,Neg,nidayaasiimin,ni<<ayaa>>siimin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Incl,0Pl,Neu,Neg,gidayaasiimin,gi<<ayaa>>siimin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Incl,0Sg,Neu,Neg,gidayaasiimin,gi<<ayaa>>siimin,JDN-2010-MS-VTI-p8,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,X,0Pl,Neu,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,X,0Sg,Neu,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,1Sg,0Pl,Prt,Pos,nidayaanaabaniin,ni<<ayaa>>naabaniin,JDN-2010-MS-VTI-p13,nidayaanaabanen,ni<<ayaa>>naabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,1Sg,0Sg,Prt,Pos,nidayaanaaban,ni<<ayaa>>naaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Pl,0Pl,Prt,Pos,gidayaanaawaabaniin,gi<<ayaa>>naawaabaniin,JDN-2010-MS-VTI-p13,gidayaanaawaabanen,gi<<ayaa>>naawaabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Pl,0Sg,Prt,Pos,gidayaanaawaaban,gi<<ayaa>>naawaaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Sg,0Pl,Prt,Pos,gidayaanaabaniin,gi<<ayaa>>naabaniin,JDN-2010-MS-VTI-p13,gidayaanaabanen,gi<<ayaa>>naabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,2Sg,0Sg,Prt,Pos,gidayaanaaban,gi<<ayaa>>naaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Prt,Pos,odayaanaawaabaniin,o<<ayaa>>naawaabaniin,JDN-2010-MS-VTI-p13,odayaanaawaabanen,o<<ayaa>>naawaabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Prt,Pos,odayaanaawaaban,o<<ayaa>>naawaaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Prt,Pos,odayaaninaabaniin,o<<ayaa>>ninaabaniin,JDN-2010-MS-VTI-p13,odayaaninaabanen,o<<ayaa>>ninaabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Prt,Pos,odayaaninaabaniin,o<<ayaa>>ninaabaniin,JDN-2010-MS-VTI-p13,odayaaninaabanen,o<<ayaa>>ninaabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Prt,Pos,odayaaninaaban,o<<ayaa>>ninaaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Prt,Pos,odayaaninaaban,o<<ayaa>>ninaaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Prt,Pos,odayaanaabaniin,o<<ayaa>>naabaniin,JDN-2010-MS-VTI-p13,odayaanaabanen,o<<ayaa>>naabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Prt,Pos,odayaanaaban,o<<ayaa>>naaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Excl,0Pl,Prt,Pos,nidayaaminaabaniin,ni<<ayaa>>minaabaniin,JDN-2010-MS-VTI-p13,nidayaaminaabanen,ni<<ayaa>>minaabanen,JDN-2010-MS-VTI-p13,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Excl,0Sg,Prt,Pos,nidayaaminaaban,ni<<ayaa>>minaaban,JDN-2010-MS-VTI-p13,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,Incl,0Pl,Prt,Pos,gidayaaminaabaniin,gi<<ayaa>>minaabaniin,JDN-2010-MS-VTI-p13,gidayaaminaabanen,gi<<ayaa>>minaabanen,JDN-2010-MS-VTI-p13,,,
