Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Dub,Neg,nindadaawesiinaadogenan,ni<<adaawe>>siinaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Dub,Pos,nindadaawenaadogenan,ni<<adaawe>>naadogenan,JDN-2010-MS-VTI-p19,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,DubPrt,Neg,MISSING,,,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,DubPrt,Pos,MISSING,,,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Neu,Neg,nindadaawesiinan,ni<<adaawe>>siinan,JDN-2010-MS-VTI-p8,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Neu,Pos,nindadaawenan,ni<<adaawe>>nan,JDN-2010-MS-VTI-p7,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Prt,Neg,nindadaawesiinaabaniin,ni<<adaawe>>siinaabaniin,JDN-2010-MS-VTI-p14,nindadaawesiinaabanen,ni<<adaawe>>siinaabanen,JDN-2010-MS-VTI-p14,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Prt,Pos,nindadaawenaabaniin,ni<<adaawe>>naabaniin,JDN-2010-MS-VTI-p13,nindadaawenaabanen,ni<<adaawe>>naabanen,JDN-2010-MS-VTI-p13,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Dub,Neg,gidadaawesiinaawaadogenan,gi<<adaawe>>siinaawaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Dub,Pos,gidwadaawenaawaadogenan,gidw<<adaawe>>naawaadogenan,JDN-2010-MS-VTI-p19,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,DubPrt,Neg,MISSING,,,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,DubPrt,Pos,MISSING,,,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Neu,Neg,gidadaawesiinaawaan,gi<<adaawe>>siinaawaan,JDN-2010-MS-VTI-p8,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Neu,Pos,gidadaawenaawaan,gi<<adaawe>>naawaan,JDN-2010-MS-VTI-p7,,,,,,
VAIO,Ind,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Prt,Neg,gidadaawesiinaawaabaniin,gi<<adaawe>>siinaawaabaniin,JDN-2010-MS-VTI-p14,gidadaawesiinaawaabanen,gi<<adaawe>>siinaawaabanen,JDN-2010-MS-VTI-p14,,,
