Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,1SgSubj,NONE,Dub,Neg,zaaga'anziiwaanen,<<zaaga'>>anziiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,1SgSubj,NONE,Dub,Neg,minongwaanziiwaanen,<<minongwaan>>ziiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,1SgSubj,NONE,Dub,Neg,wanishinziiwaanen,<<wanishin>>ziiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,1SgSubj,NONE,Dub,Neg,nagamosiiwaanen,<<nagamo>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,1SgSubj,NONE,Dub,Neg,niimisiiwaanen,<<niimi>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,1SgSubj,NONE,Dub,Neg,maajiibatoosiiwaanen,<<maajiibatoo>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,1SgSubj,NONE,Dub,Neg,madaabiisiiwaanen,<<madaabii>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,1SgSubj,NONE,Dub,Neg,nibaasiiwaanen,<<nibaa>>siiwaanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,1SgSubj,NONE,Dub,Neg,webinigesiiwaanen,<<webinige>>siiwaanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,2PlSubj,NONE,Dub,Neg,zaaga'anziiwegwen,<<zaaga'>>anziiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,2PlSubj,NONE,Dub,Neg,minongwaanziiwegwen,<<minongwaan>>ziiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,2PlSubj,NONE,Dub,Neg,wanishinziiwegwen,<<wanishin>>ziiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,2PlSubj,NONE,Dub,Neg,nagamosiiwegwen,<<nagamo>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,2PlSubj,NONE,Dub,Neg,niimisiiwegwen,<<niimi>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,2PlSubj,NONE,Dub,Neg,maajiibatoosiiwegwen,<<maajiibatoo>>siiwegwen,JDN-2010-MS-VAI-p32,,,
