Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Imp,VAI_VV,maajiibatoo,maajiibatoo,2PlSubj,NAObj,Del,NA,maajiibatookegon,<<maajiibatoo>>kegon,NJ-ngs-2023Aug18,maajiibatookeg,<<maajiibatoo>>keg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_VV,madaabii,madaabii,2PlSubj,NAObj,Del,NA,madaabiikegon,<<madaabii>>kegon,NJ-ngs-2023Aug18,madaabiikeg,<<madaabii>>keg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_m,minongwaam,minongwaam,2PlSubj,NAObj,Del,NA,minongwaamookegon,<<minongwaam>>ookegon,NJ-ngs-2023Aug18,minongwaamookeg,<<minongwaam>>ookeg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_V,nagamo,nagamo,2PlSubj,NAObj,Del,NA,nagamookegon,<<nagamo>>V1kegon,NJ-ngs-2023Aug18,nagamookeg,<<nagamo>>V1keg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_VV,nibaa,nibaa,2PlSubj,NAObj,Del,NA,nibaakegon,<<nibaa>>kegon,NJ-ngs-2023Aug18,nibaakeg,<<nibaa>>keg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_V,niimi,niimi,2PlSubj,NAObj,Del,NA,niimiikegon,<<niimi>>V1kegon,NJ-ngs-2023Aug18,niimiikeg,<<niimi>>V1keg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_n,wanishin,wanishin,2PlSubj,NAObj,Del,NA,wanishinookegon,<<wanishin>>ookegon,NJ-ngs-2023Aug18,wanishinookeg,<<wanishin>>ookeg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_VV,webinige,webinige,2PlSubj,NAObj,Del,NA,webinigekegon,<<webinige>>kegon,NJ-ngs-2023Aug18,webinigekeg,<<webinige>>keg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_am,zaaga'am,zaaga',2PlSubj,NAObj,Del,NA,zaaga'amookegon,<<zaaga'>>amookegon,NJ-ngs-2023Aug18,zaaga'amookeg,<<zaaga'>>amookeg,JDN-2010-MS-VAI-p39,,,
VAI,Imp,VAI_VV,maajiibatoo,maajiibatoo,2PlSubj,NAObj,Prb,NA,maajiibatookegon,<<maajiibatoo>>kegon,GUESS,,,,,,
