Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlProxSubj,NAObj,Neu,Neg,okogesigwaa,<<okoge>>sigwaa,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlObvSubj,NAObj,Neu,Neg,okogesinig,<<okoge>>sinig,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,ExclSubj,NAObj,Neu,Neg,okogesiwaang,<<okoge>>siwaang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,InclSubj,NAObj,Neu,Neg,okogesiwang,<<okoge>>siwang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,2PlSubj,NAObj,Neu,Neg,okogesiweg,<<okoge>>siweg,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlProxSubj,NAObj,Neu,Pos,okogewaad,<<okoge>>waad,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,3PlObvSubj,NAObj,Neu,Pos,okogenid,<<okoge>>nid,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,ExclSubj,NAObj,Neu,Pos,okogeyaang,<<okoge>>yaang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,InclSubj,NAObj,Neu,Pos,okogeyang,<<okoge>>yang,GUESS,,,
VAI_Pl,Cnj,VAI_VV,okogewag,okoge,2PlSubj,NAObj,Neu,Pos,okogeyeg,<<okoge>>yeg,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlProxSubj,NAObj,Neu,Neg,okogesiiwag,<<okoge>>siiwag,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlObvSubj,NAObj,Neu,Neg,okogesiiwa',<<okoge>>siiwa',GUESS,okogesiiwan,<<okoge>>siiwan,GUESS
VAI_Pl,Ind,VAI_VV,okogewag,okoge,ExclSubj,NAObj,Neu,Neg,nindookogesiimin,ni<<okoge>>siimin,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,InclSubj,NAObj,Neu,Neg,gidookogesiimin,gi<<okoge>>siimin,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,2PlSubj,NAObj,Neu,Neg,gidookogesiim,gi<<okoge>>siim,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlProxSubj,NAObj,Neu,Pos,okogewag,<<okoge>>wag,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,3PlObvSubj,NAObj,Neu,Pos,okogewa',<<okoge>>wa',GUESS,okogewan,<<okoge>>wan,GUESS
VAI_Pl,Ind,VAI_VV,okogewag,okoge,ExclSubj,NAObj,Neu,Pos,nindookogemin,ni<<okoge>>min,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,InclSubj,NAObj,Neu,Pos,gidookogemin,gi<<okoge>>min,GUESS,,,
VAI_Pl,Ind,VAI_VV,okogewag,okoge,2PlSubj,NAObj,Neu,Pos,gidookogem,gi<<okoge>>m,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,3PlProxSubj,NAObj,Neu,Neg,maamawoobisigwaa,<<maamawoobi>>sigwaa,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,3PlObvSubj,NAObj,Neu,Neg,maamawoobisinig,<<maamawoobi>>sinig,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,ExclSubj,NAObj,Neu,Neg,maamawoobisiwaang,<<maamawoobi>>siwaang,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,InclSubj,NAObj,Neu,Neg,maamawoobisiwang,<<maamawoobi>>siwang,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,2PlSubj,NAObj,Neu,Neg,maamawoobisiweg,<<maamawoobi>>siweg,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,3PlProxSubj,NAObj,Neu,Pos,maamawoobiwaad,<<maamawoobi>>waad,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,3PlObvSubj,NAObj,Neu,Pos,maamawoobinid,<<maamawoobi>>nid,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,ExclSubj,NAObj,Neu,Pos,maamawoobiyaang,<<maamawoobi>>yaang,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,InclSubj,NAObj,Neu,Pos,maamawoobiyang,<<maamawoobi>>yang,GUESS,,,
VAI_Pl,Cnj,VAI_V,maamawoobiwag,maamawoobi,2PlSubj,NAObj,Neu,Pos,maamawoobiyeg,<<maamawoobi>>yeg,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,3PlProxSubj,NAObj,Neu,Neg,maamawoobisiiwag,<<maamawoobi>>siiwag,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,3PlObvSubj,NAObj,Neu,Neg,maamawoobisiiwa',<<maamawoobi>>siiwa',GUESS,maamawoobisiiwan,<<maamawoobi>>siiwan,GUESS
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,ExclSubj,NAObj,Neu,Neg,nimaamawoobisiimin,ni<<maamawoobi>>siimin,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,InclSubj,NAObj,Neu,Neg,gimaamawoobisiimin,gi<<maamawoobi>>siimin,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,2PlSubj,NAObj,Neu,Neg,gimaamawoobisiim,gi<<maamawoobi>>siim,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,3PlProxSubj,NAObj,Neu,Pos,maamawoobiwag,<<maamawoobi>>wag,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,3PlObvSubj,NAObj,Neu,Pos,maamawoobiwa',<<maamawoobi>>wa',GUESS,maamawoobiwan,<<maamawoobi>>wan,GUESS
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,ExclSubj,NAObj,Neu,Pos,nimaamawoobimin,ni<<maamawoobi>>min,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,InclSubj,NAObj,Neu,Pos,gimaamawoobimin,gi<<maamawoobi>>min,GUESS,,,
VAI_Pl,Ind,VAI_V,maamawoobiwag,maamawoobi,2PlSubj,NAObj,Neu,Pos,gimaamawoobim,gi<<maamawoobi>>m,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,3PlProxSubj,NAObj,Neu,Neg,okoshinzigwaa,<<okoshin>>zigwaa,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,3PlObvSubj,NAObj,Neu,Neg,okoshinzinig,<<okoshin>>zinig,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,ExclSubj,NAObj,Neu,Neg,okoshinziwaang,<<okoshin>>ziwaang,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,InclSubj,NAObj,Neu,Neg,okoshinziwang,<<okoshin>>ziwang,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,2PlSubj,NAObj,Neu,Neg,okoshinziweg,<<okoshin>>ziweg,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,3PlProxSubj,NAObj,Neu,Pos,okoshinowaad,<<okoshin>>owaad,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,3PlObvSubj,NAObj,Neu,Pos,okoshininid,<<okoshin>>inid,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,ExclSubj,NAObj,Neu,Pos,okoshinaang,<<okoshin>>aang,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,InclSubj,NAObj,Neu,Pos,okoshinang,<<okoshin>>ang,GUESS,,,
VAI_Pl,Cnj,VAI_V,okoshinoog,okoshin,2PlSubj,NAObj,Neu,Pos,okoshineg,<<okoshin>>eg,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,3PlProxSubj,NAObj,Neu,Neg,okoshinziiwag,<<okoshin>>ziiwag,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,3PlObvSubj,NAObj,Neu,Neg,okoshinziiwa',<<okoshin>>ziiwa',GUESS,okoshinziiwan,<<okoshin>>ziiwan,GUESS
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,ExclSubj,NAObj,Neu,Neg,nindookoshinziimin,ni<<okoshin>>ziimin,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,InclSubj,NAObj,Neu,Neg,gidookoshinziimin,gi<<okoshin>>ziimin,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,2PlSubj,NAObj,Neu,Neg,gidookoshinziim,gi<<okoshin>>ziim,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,3PlProxSubj,NAObj,Neu,Pos,okoshinoog,<<okoshin>>oog,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,3PlObvSubj,NAObj,Neu,Pos,okoshinoo',<<okoshin>>oo',GUESS,okoshinoon,<<okoshin>>oon,GUESS
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,ExclSubj,NAObj,Neu,Pos,nindookoshinimin,ni<<okoshin>>imin,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,InclSubj,NAObj,Neu,Pos,gidookoshinimin,gi<<okoshin>>imin,GUESS,,,
VAI_Pl,Ind,VAI_V,okoshinoog,okoshin,2PlSubj,NAObj,Neu,Pos,gidookoshinim,gi<<okoshin>>im,GUESS,,,
