Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,3PlProxObj,Neu,Neg,waabandisigwaa,<<waabandi>>sigwaa,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,3PlObvObj,Neu,Neg,waabandisinig,<<waabandi>>sinig,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,ExclObj,Neu,Neg,waabandisiwaang,<<waabandi>>siwaang,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,InclObj,Neu,Neg,waabandisiwang,<<waabandi>>siwang,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,2PlObj,Neu,Neg,waabandisiweg,<<waabandi>>siweg,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlProxSubj,3PlProxObj,Neu,Pos,waabandiwaad,<<waabandi>>waad,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,3PlObvSubj,3PlObvObj,Neu,Pos,waabandinid,<<waabandi>>nid,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,ExclSubj,ExclObj,Neu,Pos,waabandiyaang,<<waabandi>>yaang,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,InclObj,Neu,Pos,waabandiyang,<<waabandi>>yang,GUESS,,,,,,
VAI,Cnj,VAI_rcp,waabandiwag,waabandi,NONE,2PlSubj,2PlObj,Neu,Pos,waabandiyeg,<<waabandi>>yeg,GUESS,,,,,,
VAI,Imp,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,InclObj,Sim,NONE,waabandidaa,<<waabandi>>daa,GUESS,,,,,,
VAI,Imp,VAI_rcp,waabandiwag,waabandi,NONE,InclSubj,InclObj,Prb,NONE,waabandisiidaa,<<waabandi>>siidaa,GUESS,,,,,,
