Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Dub,Neg,dadaakwaakwasininiigwen,<<dadaakwaakwa>>sininiigwen,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p19,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Dub,Pos,dadaakwaakwadinigwen,<<dadaakwaakwad>>inigwen,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p18,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,DubPrt,Neg,dadaakwaakwasininigobanen,<<dadaakwaakwa>>sininigobanen,JDN-2010-MS-VII-p21,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,DubPrt,Pos,dadaakwaakwadinigobanen,<<dadaakwaakwad>>inigobanen,JDN-2010-MS-VII-p20,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Neu,Neg,dadaakwaakwasininig,<<dadaakwaakwa>>sininig,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p15,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Neu,Pos,dadaakwaakwadininig,<<dadaakwaakwad>>ininig,NJ-zoom-2023Sep19,dadaakwaakwadinig,<<dadaakwaakwad>>inig,JDN-2010-MS-VII-p14
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Prt,Neg,dadaakwaakwasininigiban,<<dadaakwaakwa>>sininigiban,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p17,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Prt,Pos,dadaakwaakwadininigiban,<<dadaakwaakwad>>ininigiban,NJ-zoom-2023Sep19; NJ-zoom-2023Sep19,dadaakwaakwadinigiban,<<dadaakwaakwad>>inigiban,JDN-2010-MS-VII-p16
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Dub,Neg,dadaakwaakwasinoogwen,<<dadaakwaakwa>>sinoogwen,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p19,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Dub,Pos,dadaakwaakwadogwen,<<dadaakwaakwad>>ogwen,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p18,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,DubPrt,Neg,dadaakwaakwasinoogobanen,<<dadaakwaakwa>>sinoogobanen,JDN-2010-MS-VII-p21,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,DubPrt,Pos,dadaakwaakwadogobanen,<<dadaakwaakwad>>ogobanen,JDN-2010-MS-VII-p20,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Neu,Neg,dadaakwaakwasinok,<<dadaakwaakwa>>sinok,NJ-zoom-2023Sep19,dadaakwaakwasinog,<<dadaakwaakwa>>sinog,JDN-2010-MS-VII-p15
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Neu,Pos,dadaakwaakwakin,<<dadaakwaakwa>>kin,NJ-zoom-2023Sep19,dadaakwaakwak,<<dadaakwaakwa>>k,JDN-2010-MS-VII-p14
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Prt,Neg,dadaakwaakwasinoogiban,<<dadaakwaakwa>>sinoogiban,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p17,,,
VIIPL,Cnj,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Prt,Pos,dadaakwaakwakiban,<<dadaakwaakwa>>kiban,NJ-zoom-2023Sep19; JDN-2010-MS-VII-p16,,,
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Dub,Neg,dadaakwaakwasininiwidogenan,<<dadaakwaakwa>>sininiwidogenan,GUESS,dadaakwaakwasininiwidogen,<<dadaakwaakwa>>sininiwidogen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Dub,Pos,dadaakwaakwadiniwidogenan,<<dadaakwaakwad>>iniwidogenan,GUESS,dadaakwaakwadiniwidogen,<<dadaakwaakwad>>iniwidogen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,DubPrt,Neg,dadaakwaakwasininigobaniin,<<dadaakwaakwa>>sininigobaniin,GUESS,dadaakwaakwasininigobanen,<<dadaakwaakwa>>sininigobanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,DubPrt,Pos,dadaakwaakwadinigobaniin,<<dadaakwaakwad>>inigobaniin,GUESS,dadaakwaakwadinigobanen,<<dadaakwaakwad>>inigobanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Neu,Neg,dadaakwaakwasininiwan,<<dadaakwaakwa>>sininiwan,GUESS,,,
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Neu,Pos,dadaakwaakwadiniwan,<<dadaakwaakwad>>iniwan,GUESS,,,
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Prt,Neg,dadaakwaakwasininiibaniin,<<dadaakwaakwa>>sininiibaniin,GUESS,dadaakwaakwasininiibanen,<<dadaakwaakwa>>sininiibanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlObvSubj,NONE,Prt,Pos,dadaakwaakwadiniibaniin,<<dadaakwaakwad>>iniibaniin,GUESS,dadaakwaakwadiniibanen,<<dadaakwaakwad>>iniibanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Dub,Neg,dadaakwaakwasinodogenan,<<dadaakwaakwa>>sinodogenan,GUESS,dadaakwaakwasinodogen,<<dadaakwaakwa>>sinodogen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Dub,Pos,dadaakwaakwadodogenan,<<dadaakwaakwad>>odogenan,GUESS,dadaakwaakwadodogen,<<dadaakwaakwad>>odogen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,DubPrt,Neg,dadaakwaakwasinoogobaniin,<<dadaakwaakwa>>sinoogobaniin,GUESS,dadaakwaakwasinoogobanen,<<dadaakwaakwa>>sinoogobanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,DubPrt,Pos,dadaakwaakwadogobaniin,<<dadaakwaakwad>>ogobaniin,GUESS,dadaakwaakwadogobanen,<<dadaakwaakwad>>ogobanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Neu,Neg,dadaakwaakwasinoon,<<dadaakwaakwa>>sinoon,GUESS,,,
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Neu,Pos,dadaakwaakwadoon,<<dadaakwaakwad>>oon,GUESS,,,
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Prt,Neg,dadaakwaakwasinoobaniin,<<dadaakwaakwa>>sinoobaniin,GUESS,dadaakwaakwasinoobanen,<<dadaakwaakwa>>sinoobanen,GUESS
VIIPL,Ind,VIIPL_d,dadaakwaakwadoon,dadaakwaakwad,NONE,0PlSubj,NONE,Prt,Pos,dadaakwaakwadoobaniin,<<dadaakwaakwad>>oobaniin,GUESS,dadaakwaakwadoobanen,<<dadaakwaakwad>>oobanen,GUESS
VIIPL,Cnj,VIIPL_VV,niibidegoodewan,niibidegoode,NONE,0PlObvSubj,NONE,Dub,Neg,niibidegoodesininiigwen,<<niibidegoode>>sininiigwen,JDN-2010-MS-VII-p19,,,
VIIPL,Cnj,VIIPL_VV,niibidegoodewan,niibidegoode,NONE,0PlObvSubj,NONE,Dub,Pos,niibidegoodenigwen,<<niibidegoode>>nigwen,JDN-2010-MS-VII-p18,,,
VIIPL,Cnj,VIIPL_VV,niibidegoodewan,niibidegoode,NONE,0PlObvSubj,NONE,DubPrt,Neg,niibidegoodesininigobanen,<<niibidegoode>>sininigobanen,JDN-2010-MS-VII-p21,,,
VIIPL,Cnj,VIIPL_VV,niibidegoodewan,niibidegoode,NONE,0PlObvSubj,NONE,DubPrt,Pos,niibidegoodenigobanen,<<niibidegoode>>nigobanen,JDN-2010-MS-VII-p20,,,
VIIPL,Cnj,VIIPL_VV,niibidegoodewan,niibidegoode,NONE,0PlObvSubj,NONE,Neu,Neg,niibidegoodesininig,<<niibidegoode>>sininig,JDN-2010-MS-VII-p15,,,
VIIPL,Cnj,VIIPL_VV,niibidegoodewan,niibidegoode,NONE,0PlObvSubj,NONE,Neu,Pos,niibidegoodeninig,<<niibidegoode>>ninig,GUESS,niibidegoodenig,<<niibidegoode>>nig,JDN-2010-MS-VII-p14
