Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VII,Ind,VII_d,atemagad,atemagad,NONE,0PlObvSubj,NONE,Dub,Neg,atemagasininiwidogenan,<<atemaga>>sininiwidogenan,GUESS,,,
VII,Ind,VII_d,zanagad,zanagad,NONE,0PlObvSubj,NONE,Dub,Neg,zanagasininiwidogenan,<<zanaga>>sininiwidogenan,NJ-zoom-2023-Sep14,,,
VII,Ind,VII_n,bangisin,bangisin,NONE,0PlObvSubj,NONE,Dub,Neg,bangisinzininiwidogenan,<<bangisin>>zininiwidogenan,GUESS,,,
VII,Ind,VII_V,dakaagami,dakaagami,NONE,0PlObvSubj,NONE,Dub,Neg,dakaagamisininiwidogenanan,<<dakaagami>>sininiwidogenan,GUESS,,,
VII,Ind,VII_V,imo,imo,NONE,0PlObvSubj,NONE,Dub,Neg,imosininiwidogenanan,<<imo>>sininiwidogenan,GUESS,,,
VII,Ind,VII_VV,ate,ate,NONE,0PlObvSubj,NONE,Dub,Neg,atesininiwidogenanan,<<ate>>sininiwidogenan,GUESS,,,
VII,Ind,VII_VV,gonzaabii,gonzaabii,NONE,0PlObvSubj,NONE,Dub,Neg,gonzaabiisininiwidogenan,<<gonzaabii>>sininiwidogenan,GUESS,,,
VII,Ind,VII_VV,michaa,michaa,NONE,0PlObvSubj,NONE,Dub,Neg,michaasininiwidogenan,<<michaa>>sininiwidogenan,GUESS,,,
VII,Ind,VII_d,atemagad,atemagad,NONE,0PlSubj,NONE,Dub,Neg,atemagasinodogenan,<<atemaga>>sinodogenan,GUESS,,,
VII,Ind,VII_d,zanagad,zanagad,NONE,0PlSubj,NONE,Dub,Neg,zanagasinodogenan,<<zanaga>>sinodogenan,NJ-zoom-2023-Sep14,,,
VII,Ind,VII_n,bangisin,bangisin,NONE,0PlSubj,NONE,Dub,Neg,bangisinzinodogenan,<<bangisin>>zinodogenan,GUESS,,,
VII,Ind,VII_V,dakaagami,dakaagami,NONE,0PlSubj,NONE,Dub,Neg,dakaagamisinodogenan,<<dakaagami>>sinodogenan,GUESS,,,
VII,Ind,VII_V,imo,imo,NONE,0PlSubj,NONE,Dub,Neg,imosinodogenan,<<imo>>sinodogenan,GUESS,,,
VII,Ind,VII_VV,ate,ate,NONE,0PlSubj,NONE,Dub,Neg,atesinodogenan,<<ate>>sinodogenan,GUESS,,,
VII,Ind,VII_VV,gonzaabii,gonzaabii,NONE,0PlSubj,NONE,Dub,Neg,gonzaabiisinodogenan,<<gonzaabii>>sinodogenan,NJ-zoom-2023-Sep14,,,
VII,Ind,VII_VV,michaa,michaa,NONE,0PlSubj,NONE,Dub,Neg,michaasinodogenan,<<michaa>>sinodogenan,GUESS,,,
