Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Neu,Pos,niibidegoodenig,<<niibidegoode>>nig,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,Neu,Pos,niibidegoodeg,<<niibidegoode>>g,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Neu,Neg,niibidegoodesininig,<<niibidegoode>>sininig,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,Neu,Neg,niibidegoodesinog,<<niibidegoode>>sinog,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Prt,Pos,niibidegoodenigiban,<<niibidegoode>>nigiban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,Prt,Pos,niibidegoodegiban,<<niibidegoode>>giban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Prt,Neg,niibidegoodesininigiban,<<niibidegoode>>sininigiban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,Prt,Neg,niibidegoodesinoogiban,<<niibidegoode>>sinoogiban,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Dub,Pos,niibidegoodenigwen,<<niibidegoode>>nigwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,Dub,Pos,niibidegoodegwen,<<niibidegoode>>gwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Dub,Neg,niibidegoodesininiigwen,<<niibidegoode>>sininiigwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,Dub,Neg,niibidegoodesinoogwen,<<niibidegoode>>sinoogwen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,DubPrt,Pos,niibidegoodenigobanen,<<niibidegoode>>nigobanen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,DubPrt,Pos,niibidegoodegobanen,<<niibidegoode>>gobanen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,DubPrt,Neg,niibidegoodesininigobanen,<<niibidegoode>>sininigobanen,GUESS,,,
VII_Pl,Cnj,VII_VV,niibidegoodewan,niibidegoode,0PlSubj,NAObj,DubPrt,Neg,niibidegoodesinoogobanen,<<niibidegoode>>sinoogobanen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,Neu,Pos,dadaakwaakwadinig,<<dadaakwaakwad>>inig,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,Neu,Pos,dadaakwaakwak,<<dadaakwaakwa>>k,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,Neu,Neg,dadaakwaakwasininig,<<dadaakwaakwa>>sininig,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,Neu,Neg,dadaakwaakwasinog,<<dadaakwaakwa>>sinog,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,Prt,Pos,dadaakwaakwadinigiban,<<dadaakwaakwad>>inigiban,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,Prt,Pos,dadaakwaakwakiban,<<dadaakwaakwa>>kiban,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,Prt,Neg,dadaakwaakwasininigiban,<<dadaakwaakwa>>sininigiban,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,Prt,Neg,dadaakwaakwasinoogiban,<<dadaakwaakwa>>sinoogiban,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,Dub,Pos,dadaakwaakwadinigwen,<<dadaakwaakwad>>inigwen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,Dub,Pos,dadaakwaakwadogwen,<<dadaakwaakwad>>ogwen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,Dub,Neg,dadaakwaakwasininiigwen,<<dadaakwaakwa>>sininiigwen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,Dub,Neg,dadaakwaakwasinoogwen,<<dadaakwaakwa>>sinoogwen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,DubPrt,Pos,dadaakwaakwadinigobanen,<<dadaakwaakwad>>inigobanen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,DubPrt,Pos,dadaakwaakwadogobanen,<<dadaakwaakwad>>ogobanen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlObvSubj,NAObj,DubPrt,Neg,dadaakwaakwasininigobanen,<<dadaakwaakwa>>sininigobanen,GUESS,,,
VII_Pl,Cnj,VII_d,dadaakwaakwadoon,dadaakwaakwad,0PlSubj,NAObj,DubPrt,Neg,dadaakwaakwasinoogobanen,<<dadaakwaakwa>>sinoogobanen,GUESS,,,
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Dub,Neg,niibidegoodesininiwidogen,<<niibidegoode>>sininiwidogen,GUESS,,,
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Dub,Pos,niibidegoodeniwidogen,<<niibidegoode>>niwidogen,GUESS,,,
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,DubPrt,Neg,niibidegoodesininigobaniin,<<niibidegoode>>sininigobaniin,GUESS,niibidegoodesininigobanen,<<niibidegoode>>sininigobanen,GUESS
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,DubPrt,Pos,niibidegoodenigobaniin,<<niibidegoode>>nigobaniin,GUESS,niibidegoodenigobanen,<<niibidegoode>>nigobanen,GUESS
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Neu,Neg,niibidegoodesininiwan,<<niibidegoode>>sininiwan,GUESS,,,
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Neu,Pos,niibidegoodeniwan,<<niibidegoode>>niwan,GUESS,,,
VII_Pl,Ind,VII_VV,niibidegoodewan,niibidegoode,0PlObvSubj,NAObj,Prt,Neg,niibidegoodesininiibaniin,<<niibidegoode>>sininiibaniin,GUESS,niibidegoodesininiibanen,<<niibidegoode>>sininiibanen,GUESS
