Paradigm,Order,Class,Lemma,Stem,Subj,Obj,Mode,Neg,Surface,Split,Source
VTA,Cnj,VTA_C,waabam,waabam,1Sg,3PlObv,Neu,Neg,waabamimaasiwag,<<waabam>>imaasiwag,GUESS
VTA,Cnj,VTA_C,waabam,waabam,2Pl,3PlObv,Neu,Neg,waabamimaasiweg,<<waabam>>imaasiweg,GUESS
VTA,Cnj,VTA_C,waabam,waabam,2Sg,3PlObv,Neu,Neg,waabamimaasiwad,<<waabam>>imaasiwad,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3PlProx,3PlObv,Neu,Neg,waabamaasigwaa,<<waabam>>aasigwaa,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3SgProx,3PlObv,Neu,Neg,waabamaasig,<<waabam>>aasig,GUESS
VTA,Cnj,VTA_C,waabam,waabam,Excl,3PlObv,Neu,Neg,waabamaasiwangidwaa,<<waabam>>aasiwangidwaa,GUESS
VTA,Cnj,VTA_C,waabam,waabam,Incl,3PlObv,Neu,Neg,waabamaasiwangwaa,<<waabam>>aasiwangwaa,GUESS
VTA,Cnj,VTA_C,waabam,waabam,X,3PlObv,Neu,Neg,waabamaasiwindwaa,<<waabam>>aasiwindwaa,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3PlObv,3PlProx,Neu,Neg,waabamigosigwaa,<<waabam>>igosigwaa,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3PlObv,3SgProx,Neu,Neg,waabamigosig,<<waabam>>igosig,GUESS
VTA,Cnj,VTA_C,waabam,waabam,0Pl,3PlObv,Neu,Pos,waabamgonid,<<waabam>>igonid,GUESS
VTA,Cnj,VTA_C,waabam,waabam,0Sg,3PlObv,Neu,Pos,waabamgonid,<<waabam>>igonid,GUESS
VTA,Cnj,VTA_C,waabam,waabam,1Sg,3PlObv,Neu,Pos,waabamimag,<<waabam>>imag,GUESS
VTA,Cnj,VTA_C,waabam,waabam,2Pl,3PlObv,Neu,Pos,waabamimeg,<<waabam>>imeg,GUESS
VTA,Cnj,VTA_C,waabam,waabam,2Sg,3PlObv,Neu,Pos,waabamimad,<<waabam>>imad,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3PlProx,3PlObv,Neu,Pos,waabamaawaad,<<waabam>>aawaad,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3SgProx,3PlObv,Neu,Pos,waabamaad,<<waabam>>aad,GUESS
VTA,Cnj,VTA_C,waabam,waabam,Excl,3PlObv,Neu,Pos,waabamimangid,<<waabam>>imangid,GUESS
VTA,Cnj,VTA_C,waabam,waabam,Incl,3PlObv,Neu,Pos,waabamimang,<<waabam>>imang,GUESS
VTA,Cnj,VTA_C,waabam,waabam,X,3PlObv,Neu,Pos,waabamimind,<<waabam>>imind,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3PlObv,3PlProx,Neu,Pos,waabamigowaad,<<waabam>>igowaad,GUESS
VTA,Cnj,VTA_C,waabam,waabam,3PlObv,3SgProx,Neu,Pos,waabamigod,<<waabam>>igod,GUESS
VTA,Ind,VTA_C,waabam,waabam,0Pl,3PlObv,Neu,Neg,waabamgosinig,<<waabam>>igosinig,GUESS
VTA,Ind,VTA_C,waabam,waabam,0Sg,3PlObv,Neu,Neg,waabamgosinig,<<waabam>>igosinig,GUESS
