Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,FormSurface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,1SgObj,Neu,Pos,waabamigoyaan,<<waabam>>igoyaan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,2PlObj,Neu,Pos,waabamigoyeg,<<waabam>>igoyeg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,2SgObj,Neu,Pos,waabamigoyan,<<waabam>>igoyan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3PlObvObj,Neu,Pos,waabamigonid,<<waabam>>igonid,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3PlProxObj,Neu,Pos,waabamigowaad,<<waabam>>igowaad,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3SgObvObj,Neu,Pos,waabamigonid,<<waabam>>igonid,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3SgProxObj,Neu,Pos,waabamigod,<<waabam>>igod,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,ExclObj,Neu,Pos,waabamigoyaang,<<waabam>>igoyaang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,InclObj,Neu,Pos,waabamigoyang,<<waabam>>igoyang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,1SgObj,Neu,Neg,waabamigosiwaan,<<waabam>>igosiwaan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,2PlObj,Neu,Neg,waabamigosiweg,<<waabam>>igosiweg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,2SgObj,Neu,Neg,waabamigosiwan,<<waabam>>igosiwan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3PlObvObj,Neu,Neg,waabamigosinig,<<waabam>>igosinig,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3PlProxObj,Neu,Neg,waabamigosigwaa,<<waabam>>igosigwaa,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3SgObvObj,Neu,Neg,waabamigosinig,<<waabam>>igosinig,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,3SgProxObj,Neu,Neg,waabamigosig,<<waabam>>igosig,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,ExclObj,Neu,Neg,waabamigosiwaang,<<waabam>>igosiwaang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0PlSubj,InclObj,Neu,Neg,waabamigosiwang,<<waabam>>igosiwang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,1SgObj,Neu,Pos,waabamigoyaan,<<waabam>>igoyaan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,2PlObj,Neu,Pos,waabamigoyeg,<<waabam>>igoyeg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,2SgObj,Neu,Pos,waabamigoyan,<<waabam>>igoyan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3PlObvObj,Neu,Pos,waabamigonid,<<waabam>>igonid,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3PlProxObj,Neu,Pos,waabamigowaad,<<waabam>>igowaad,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3SgObvObj,Neu,Pos,waabamigonid,<<waabam>>igonid,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3SgProxObj,Neu,Pos,waabamigod,<<waabam>>igod,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,ExclObj,Neu,Pos,waabamigoyaang,<<waabam>>igoyaang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,InclObj,Neu,Pos,waabamigoyang,<<waabam>>igoyang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,1SgObj,Neu,Neg,waabamigosiwaan,<<waabam>>igosiwaan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,2PlObj,Neu,Neg,waabamigosiweg,<<waabam>>igosiweg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,2SgObj,Neu,Neg,waabamigosiwan,<<waabam>>igosiwan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3PlObvObj,Neu,Neg,waabamigosinig,<<waabam>>igosinig,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3PlProxObj,Neu,Neg,waabamigosigwaa,<<waabam>>igosigwaa,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3SgObvObj,Neu,Neg,waabamigosinig,<<waabam>>igosinig,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,3SgProxObj,Neu,Neg,waabamigosig,<<waabam>>igosig,NJ-ngs-2023-Aug19,,,
