Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTA,Ind,VTA_irr,izhi,in,NONE,2PlSubj,1SgObj,Neu,Pos,gidizhim,gi<<izh>>i1m,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2SgSubj,1SgObj,Neu,Pos,gidizh,gi<<izh>>i1,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlProxSubj,1SgObj,Neu,Pos,nindigoog,ni<<>>igoog,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3SgProxSubj,1SgObj,Neu,Pos,nindig,ni<<>>ig,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,XSubj,1SgObj,Neu,Pos,nindigoo,ni<<>>igoo,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,1SgSubj,2PlObj,Neu,Pos,gidinininim,gi<<in>>ininim,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlProxSubj,2PlObj,Neu,Pos,gidigowaag,gi<<>>igowaag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3SgProxSubj,2PlObj,Neu,Pos,gidigowaa,gi<<>>igowaa,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,ExclSubj,2PlObj,Neu,Pos,gidigoom,gi<<>>igoom,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,XSubj,2PlObj,Neu,Pos,gidigoom,gi<<>>igoom,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,1SgSubj,2SgObj,Neu,Pos,gidinin,gi<<in>>in,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlProxSubj,2SgObj,Neu,Pos,gidigoog,gi<<>>igoog,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3SgProxSubj,2SgObj,Neu,Pos,gidig,gi<<>>ig,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,ExclSubj,2SgObj,Neu,Pos,gidigoo,gi<<>>igoo,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,XSubj,2SgObj,Neu,Pos,gidigoo,gi<<>>igoo,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,1SgSubj,3PlObvObj,Neu,Pos,nindinaag,ni<<in>>aag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2PlSubj,3PlObvObj,Neu,Pos,gidinimaawaag,gi<<in>>imaawaag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2SgSubj,3PlObvObj,Neu,Pos,gidinaag,gi<<in>>aag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlProxSubj,3PlObvObj,Neu,Pos,odinaawaa',o<<in>>aawaa',NJ-zoom-2023-sep11,odinaawaan,od<<in>>aawaan,GUESS
VTA,Ind,VTA_irr,izhi,in,NONE,3SgProxSubj,3PlObvObj,Neu,Pos,odinaa',o<<in>>aa',NJ-zoom-2023-sep11,odinaan,od<<in>>aan,GUESS
VTA,Ind,VTA_irr,izhi,in,NONE,ExclSubj,3PlObvObj,Neu,Pos,nindinaanaanig,ni<<in>>aanaanig,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,InclSubj,3PlObvObj,Neu,Pos,gidinaanaanig,gi<<in>>aanaanig,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,XSubj,3PlObvObj,Neu,Pos,inimaawa',<<in>>imaawa',NJ-zoom-2023-sep11,inimaawan,<<in>>imaawan,GUESS
VTA,Ind,VTA_irr,izhi,in,NONE,1SgSubj,3PlProxObj,Neu,Pos,nindinaag,ni<<in>>aag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2PlSubj,3PlProxObj,Neu,Pos,gidinaawaag,gi<<in>>aawaag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2SgSubj,3PlProxObj,Neu,Pos,gidinaag,gi<<in>>aag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlObvSubj,3PlProxObj,Neu,Pos,odigowaa',o<<>>igowaa',NJ-zoom-2023-sep11,odigowaan,od<<>>igowaan,GUESS
VTA,Ind,VTA_irr,izhi,in,NONE,3SgObvSubj,3PlProxObj,Neu,Pos,odigowaan,o<<>>igowaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,ExclSubj,3PlProxObj,Neu,Pos,nindinaanaanig,ni<<in>>aanaanig,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,InclSubj,3PlProxObj,Neu,Pos,gidinaanaanig,gi<<in>>aanaanig,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,XSubj,3PlProxObj,Neu,Pos,inaawag,<<in>>aawag,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,1SgSubj,3SgObvObj,Neu,Pos,nindinimaan,ni<<in>>imaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2PlSubj,3SgObvObj,Neu,Pos,gidinaawaan,gi<<in>>aawaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2SgSubj,3SgObvObj,Neu,Pos,gidinimaan,gi<<in>>imaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlProxSubj,3SgObvObj,Neu,Pos,odinaawaan,o<<in>>aawaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3SgProxSubj,3SgObvObj,Neu,Pos,odinaan,o<<in>>aan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,ExclSubj,3SgObvObj,Neu,Pos,nindinimaanaan,ni<<in>>imaanaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,InclSubj,3SgObvObj,Neu,Pos,gidinimaanaan,gi<<in>>imaanaan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,XSubj,3SgObvObj,Neu,Pos,inimaawan,<<in>>imaawan,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,1SgSubj,3SgProxObj,Neu,Pos,nindinaa,ni<<in>>aa,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2PlSubj,3SgProxObj,Neu,Pos,gidinaawaa,gi<<in>>aawaa,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,2SgSubj,3SgProxObj,Neu,Pos,gidinaa,gi<<in>>aa,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,3PlObvSubj,3SgProxObj,Neu,Pos,odigoo',o<<>>igoo',NJ-zoom-2023-sep11,odigoon,od<<>>igoon,GUESS
VTA,Ind,VTA_irr,izhi,in,NONE,3SgObvSubj,3SgProxObj,Neu,Pos,odigoon,o<<>>igoon,NJ-zoom-2023-sep11,,,
VTA,Ind,VTA_irr,izhi,in,NONE,ExclSubj,3SgProxObj,Neu,Pos,nindinaanaan,ni<<in>>aanaan,NJ-zoom-2023-sep11,,,
