Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,1SgSubj,3PlObvObj,Dub,Neg,mewadisaasiwaawagenan,<ChCnj><<mawadis>>aasiwaawagenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,1SgSubj,3PlObvObj,Dub,Pos,mewadisaawagenan,<ChCnj><<mawadis>>aawagenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,1SgSubj,3PlObvObj,Dub,Neg,maanaasiwaawagenan,<ChCnj><<miin>>aasiwaawagenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,1SgSubj,3PlObvObj,Dub,Pos,maanaawagenan,<ChCnj><<miin>>aawagenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,1SgSubj,3PlObvObj,Dub,Neg,mekawaasiwaawagenan,<ChCnj><<mikaw>>aasiwaawagenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,1SgSubj,3PlObvObj,Dub,Pos,mekawaawagenan,<ChCnj><<mikaw>>aawagenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,1SgSubj,3PlObvObj,Dub,Neg,mezhwaasiwaawagenan,<ChCnj><<mizhw>>aasiwaawagenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,1SgSubj,3PlObvObj,Dub,Pos,mezhwaawagenan,<ChCnj><<mizhw>>aawagenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,1SgSubj,3PlObvObj,Dub,Neg,wayaabamaasiwaawagenan,<ChCnj><<waabam>>aasiwaawagenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,1SgSubj,3PlObvObj,Dub,Pos,wayaabamaawagenan,<ChCnj><<waabam>>aawagenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,2PlSubj,3PlObvObj,Dub,Neg,mewadisaasiwaawegwenan,<ChCnj><<mawadis>>aasiwaawegwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,2PlSubj,3PlObvObj,Dub,Pos,mewadisaawegwenan,<ChCnj><<mawadis>>aawegwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,2PlSubj,3PlObvObj,Dub,Neg,maanaasiwaawegwenan,<ChCnj><<miin>>aasiwaawegwenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,2PlSubj,3PlObvObj,Dub,Pos,maanaawegwenan,<ChCnj><<miin>>aawegwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,2PlSubj,3PlObvObj,Dub,Neg,mekawaasiwaawegwenan,<ChCnj><<mikaw>>aasiwaawegwenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,2PlSubj,3PlObvObj,Dub,Pos,mekawaawegwenan,<ChCnj><<mikaw>>aawegwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,2PlSubj,3PlObvObj,Dub,Neg,mezhwaasiwaawegwenan,<ChCnj><<mizhw>>aasiwaawegwenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,2PlSubj,3PlObvObj,Dub,Pos,mezhwaawegwenan,<ChCnj><<mizhw>>aawegwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,2PlSubj,3PlObvObj,Dub,Neg,wayaabamaasiwaawegwenan,<ChCnj><<waabam>>aasiwaawegwenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,2PlSubj,3PlObvObj,Dub,Pos,wayaabamaawegwenan,<ChCnj><<waabam>>aawegwenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,2SgSubj,3PlObvObj,Dub,Neg,mewadisaasiwaawadenan,<ChCnj><<mawadis>>aasiwaawadenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,2SgSubj,3PlObvObj,Dub,Pos,mewadisaawadenan,<ChCnj><<mawadis>>aawadenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,2SgSubj,3PlObvObj,Dub,Neg,maanaasiwaawadenan,<ChCnj><<miin>>aasiwaawadenan,GUESS
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,2SgSubj,3PlObvObj,Dub,Pos,maanaawadenan,<ChCnj><<miin>>aawadenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,2SgSubj,3PlObvObj,Dub,Neg,mekawaasiwaawadenan,<ChCnj><<mikaw>>aasiwaawadenan,GUESS
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,2SgSubj,3PlObvObj,Dub,Pos,mekawaawadenan,<ChCnj><<mikaw>>aawadenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,2SgSubj,3PlObvObj,Dub,Neg,mezhwaasiwaawadenan,<ChCnj><<mizhw>>aasiwaawadenan,GUESS
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,2SgSubj,3PlObvObj,Dub,Pos,mezhwaawadenan,<ChCnj><<mizhw>>aawadenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,2SgSubj,3PlObvObj,Dub,Neg,wayaabamaasiwaawadenan,<ChCnj><<waabam>>aasiwaawadenan,GUESS
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,2SgSubj,3PlObvObj,Dub,Pos,wayaabamaawadenan,<ChCnj><<waabam>>aawadenan,GUESS
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,1SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,1SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,1SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,1SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,1SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,1SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,1SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,1SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,1SgObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_C,waabam,waabam,3PlObvHead,3PlObvSubj,1SgObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,2PlObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_s,mawadish,mawadis1,3PlObvHead,3PlObvSubj,2PlObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,2PlObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_n,miizh,miin1,3PlObvHead,3PlObvSubj,2PlObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,2PlObj,Dub,Neg,MISSING,,
VTA,Pcp,VTA_aw,mikaw,mikaw,3PlObvHead,3PlObvSubj,2PlObj,Dub,Pos,MISSING,,
VTA,Pcp,VTA_Cw,mizho,mizhw1,3PlObvHead,3PlObvSubj,2PlObj,Dub,Neg,MISSING,,
